dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
butyrate_assembly_2021,AC,BA,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BF,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BH,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BO,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BT,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BU,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BV,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,BY,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,CA,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,CC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,CG,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,CH,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,DF,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,DL,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,DP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,EL,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,HB,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,AC,PC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,AC,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BA,CC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BA,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BA,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BA,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BC,CC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BC,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BC,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BF,CC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BF,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BF,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BF,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BH,CC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BH,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BH,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BH,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BL,CC,0,tested_neutral,1.0,4.001347545611472,0.0449215143688734,4.0
butyrate_assembly_2021,BO,CC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BO,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BO,FP,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BO,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BP,CC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BP,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BP,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BP,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BT,CC,1,positive,1.0,4.002479477164139,0.003315300017026,4.0
butyrate_assembly_2021,BT,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BT,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BT,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BU,CC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BU,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BU,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BV,CC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BV,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BV,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BY,CC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,BY,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,BY,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CA,CC,0,tested_neutral,1.0,4.001834017325231,0.0146548937728901,4.0
butyrate_assembly_2021,CA,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CA,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CC,CG,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,CH,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,DF,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,DL,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,DP,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,EL,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CC,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CC,HB,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,PC,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,PJ,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CC,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CG,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CG,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CG,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CH,ER,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,CH,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,CH,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DF,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DF,FP,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,DF,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DL,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DL,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DP,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DP,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,DP,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,EL,ER,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,EL,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,EL,RI,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,ER,FP,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,ER,HB,0,tested_neutral,1.0,4.0083581658771505,4.383632346005584e-09,4.0
butyrate_assembly_2021,ER,PC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,ER,PJ,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,ER,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,FP,HB,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,FP,PC,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,FP,PJ,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,FP,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,HB,RI,0,tested_neutral,0.0,0.0,,0.0
butyrate_assembly_2021,PC,RI,1,positive,0.0,0.0,,0.0
butyrate_assembly_2021,PJ,RI,1,positive,0.0,0.0,,0.0
