"dataset","taxon_1","taxon_2","onenet_score"
"butyrate_assembly_2021","ER","FP",0.411111111111111
"butyrate_assembly_2021","ER","AC",0.577777777777778
"butyrate_assembly_2021","FP","AC",0.494444444444444
"butyrate_assembly_2021","ER","HB",0.538888888888889
"butyrate_assembly_2021","FP","HB",0.616666666666667
"butyrate_assembly_2021","AC","HB",0.294444444444444
"butyrate_assembly_2021","ER","CC",0.577777777777778
"butyrate_assembly_2021","FP","CC",0.555555555555556
"butyrate_assembly_2021","AC","CC",0.627777777777778
"butyrate_assembly_2021","HB","CC",0.527777777777778
"butyrate_assembly_2021","ER","RI",0.611111111111111
"butyrate_assembly_2021","FP","RI",0.466666666666667
"butyrate_assembly_2021","AC","RI",0.622222222222222
"butyrate_assembly_2021","HB","RI",0.316666666666667
"butyrate_assembly_2021","CC","RI",0.522222222222222
"butyrate_assembly_2021","ER","DP",0.355555555555556
"butyrate_assembly_2021","FP","DP",0.344444444444444
"butyrate_assembly_2021","AC","DP",0.344444444444444
"butyrate_assembly_2021","HB","DP",0.116666666666667
"butyrate_assembly_2021","CC","DP",0.333333333333333
"butyrate_assembly_2021","RI","DP",0.333333333333333
"butyrate_assembly_2021","ER","BH",0.311111111111111
"butyrate_assembly_2021","FP","BH",0.305555555555556
"butyrate_assembly_2021","AC","BH",0.588888888888889
"butyrate_assembly_2021","HB","BH",0.261111111111111
"butyrate_assembly_2021","CC","BH",0.311111111111111
"butyrate_assembly_2021","RI","BH",0.305555555555556
"butyrate_assembly_2021","DP","BH",0.711111111111111
"butyrate_assembly_2021","ER","CA",0.244444444444444
"butyrate_assembly_2021","FP","CA",0.416666666666667
"butyrate_assembly_2021","AC","CA",0.266666666666667
"butyrate_assembly_2021","HB","CA",0.2
"butyrate_assembly_2021","CC","CA",0.438888888888889
"butyrate_assembly_2021","RI","CA",0.316666666666667
"butyrate_assembly_2021","DP","CA",0.422222222222222
"butyrate_assembly_2021","BH","CA",0.788888888888889
"butyrate_assembly_2021","ER","PC",0.238888888888889
"butyrate_assembly_2021","FP","PC",0.588888888888889
"butyrate_assembly_2021","AC","PC",0.283333333333333
"butyrate_assembly_2021","HB","PC",0.194444444444444
"butyrate_assembly_2021","CC","PC",0.616666666666667
"butyrate_assembly_2021","RI","PC",0.333333333333333
"butyrate_assembly_2021","DP","PC",0.588888888888889
"butyrate_assembly_2021","BH","PC",0.216666666666667
"butyrate_assembly_2021","CA","PC",0.716666666666667
"butyrate_assembly_2021","ER","DL",0.283333333333333
"butyrate_assembly_2021","FP","DL",0.238888888888889
"butyrate_assembly_2021","AC","DL",0.305555555555556
"butyrate_assembly_2021","HB","DL",0.427777777777778
"butyrate_assembly_2021","CC","DL",0.433333333333333
"butyrate_assembly_2021","RI","DL",0.394444444444444
"butyrate_assembly_2021","DP","DL",0.183333333333333
"butyrate_assembly_2021","BH","DL",0.183333333333333
"butyrate_assembly_2021","CA","DL",0.266666666666667
"butyrate_assembly_2021","PC","DL",0.15
"butyrate_assembly_2021","ER","CG",0.266666666666667
"butyrate_assembly_2021","FP","CG",0.416666666666667
"butyrate_assembly_2021","AC","CG",0.372222222222222
"butyrate_assembly_2021","HB","CG",0.366666666666667
"butyrate_assembly_2021","CC","CG",0.477777777777778
"butyrate_assembly_2021","RI","CG",0.3
"butyrate_assembly_2021","DP","CG",0.294444444444444
"butyrate_assembly_2021","BH","CG",0.216666666666667
"butyrate_assembly_2021","CA","CG",0.211111111111111
"butyrate_assembly_2021","PC","CG",0.161111111111111
"butyrate_assembly_2021","DL","CG",0.533333333333333
"butyrate_assembly_2021","ER","BF",0.355555555555556
"butyrate_assembly_2021","FP","BF",0.388888888888889
"butyrate_assembly_2021","AC","BF",0.305555555555556
"butyrate_assembly_2021","HB","BF",0.4
"butyrate_assembly_2021","CC","BF",0.438888888888889
"butyrate_assembly_2021","RI","BF",0.294444444444444
"butyrate_assembly_2021","DP","BF",0.222222222222222
"butyrate_assembly_2021","BH","BF",0.2
"butyrate_assembly_2021","CA","BF",0.355555555555556
"butyrate_assembly_2021","PC","BF",0.177777777777778
"butyrate_assembly_2021","DL","BF",0.322222222222222
"butyrate_assembly_2021","CG","BF",0.455555555555556
"butyrate_assembly_2021","ER","EL",0.288888888888889
"butyrate_assembly_2021","FP","EL",0.211111111111111
"butyrate_assembly_2021","AC","EL",0.333333333333333
"butyrate_assembly_2021","HB","EL",0.305555555555556
"butyrate_assembly_2021","CC","EL",0.4
"butyrate_assembly_2021","RI","EL",0.411111111111111
"butyrate_assembly_2021","DP","EL",0.322222222222222
"butyrate_assembly_2021","BH","EL",0.444444444444444
"butyrate_assembly_2021","CA","EL",0.327777777777778
"butyrate_assembly_2021","PC","EL",0.305555555555556
"butyrate_assembly_2021","DL","EL",0.266666666666667
"butyrate_assembly_2021","CG","EL",0.311111111111111
"butyrate_assembly_2021","BF","EL",0.205555555555556
"butyrate_assembly_2021","ER","CH",0.238888888888889
"butyrate_assembly_2021","FP","CH",0.316666666666667
"butyrate_assembly_2021","AC","CH",0.455555555555556
"butyrate_assembly_2021","HB","CH",0.405555555555556
"butyrate_assembly_2021","CC","CH",0.394444444444444
"butyrate_assembly_2021","RI","CH",0.327777777777778
"butyrate_assembly_2021","DP","CH",0.261111111111111
"butyrate_assembly_2021","BH","CH",0.227777777777778
"butyrate_assembly_2021","CA","CH",0.161111111111111
"butyrate_assembly_2021","PC","CH",0.305555555555556
"butyrate_assembly_2021","DL","CH",0.527777777777778
"butyrate_assembly_2021","CG","CH",0.344444444444444
"butyrate_assembly_2021","BF","CH",0.311111111111111
"butyrate_assembly_2021","EL","CH",0.738888888888889
"butyrate_assembly_2021","ER","BO",0.35
"butyrate_assembly_2021","FP","BO",0.25
"butyrate_assembly_2021","AC","BO",0.35
"butyrate_assembly_2021","HB","BO",0.344444444444444
"butyrate_assembly_2021","CC","BO",0.361111111111111
"butyrate_assembly_2021","RI","BO",0.288888888888889
"butyrate_assembly_2021","DP","BO",0.361111111111111
"butyrate_assembly_2021","BH","BO",0.111111111111111
"butyrate_assembly_2021","CA","BO",0.144444444444444
"butyrate_assembly_2021","PC","BO",0.233333333333333
"butyrate_assembly_2021","DL","BO",0.222222222222222
"butyrate_assembly_2021","CG","BO",0.405555555555556
"butyrate_assembly_2021","BF","BO",0.183333333333333
"butyrate_assembly_2021","EL","BO",0.372222222222222
"butyrate_assembly_2021","CH","BO",0.255555555555556
"butyrate_assembly_2021","ER","BT",0.255555555555556
"butyrate_assembly_2021","FP","BT",0.338888888888889
"butyrate_assembly_2021","AC","BT",0.394444444444444
"butyrate_assembly_2021","HB","BT",0.222222222222222
"butyrate_assembly_2021","CC","BT",0.594444444444444
"butyrate_assembly_2021","RI","BT",0.383333333333333
"butyrate_assembly_2021","DP","BT",0.216666666666667
"butyrate_assembly_2021","BH","BT",0.238888888888889
"butyrate_assembly_2021","CA","BT",0.211111111111111
"butyrate_assembly_2021","PC","BT",0.116666666666667
"butyrate_assembly_2021","DL","BT",0.366666666666667
"butyrate_assembly_2021","CG","BT",0.15
"butyrate_assembly_2021","BF","BT",0.394444444444444
"butyrate_assembly_2021","EL","BT",0.1
"butyrate_assembly_2021","CH","BT",0.527777777777778
"butyrate_assembly_2021","BO","BT",0.688888888888889
"butyrate_assembly_2021","ER","BU",0.283333333333333
"butyrate_assembly_2021","FP","BU",0.272222222222222
"butyrate_assembly_2021","AC","BU",0.483333333333333
"butyrate_assembly_2021","HB","BU",0.25
"butyrate_assembly_2021","CC","BU",0.3
"butyrate_assembly_2021","RI","BU",0.361111111111111
"butyrate_assembly_2021","DP","BU",0.238888888888889
"butyrate_assembly_2021","BH","BU",0.316666666666667
"butyrate_assembly_2021","CA","BU",0.116666666666667
"butyrate_assembly_2021","PC","BU",0.1
"butyrate_assembly_2021","DL","BU",0.0944444444444444
"butyrate_assembly_2021","CG","BU",0.238888888888889
"butyrate_assembly_2021","BF","BU",0.333333333333333
"butyrate_assembly_2021","EL","BU",0.144444444444444
"butyrate_assembly_2021","CH","BU",0.4
"butyrate_assembly_2021","BO","BU",0.1
"butyrate_assembly_2021","BT","BU",0.661111111111111
"butyrate_assembly_2021","ER","BV",0.244444444444444
"butyrate_assembly_2021","FP","BV",0.194444444444444
"butyrate_assembly_2021","AC","BV",0.433333333333333
"butyrate_assembly_2021","HB","BV",0.244444444444444
"butyrate_assembly_2021","CC","BV",0.4
"butyrate_assembly_2021","RI","BV",0.272222222222222
"butyrate_assembly_2021","DP","BV",0.227777777777778
"butyrate_assembly_2021","BH","BV",0.177777777777778
"butyrate_assembly_2021","CA","BV",0.233333333333333
"butyrate_assembly_2021","PC","BV",0.355555555555556
"butyrate_assembly_2021","DL","BV",0.0888888888888889
"butyrate_assembly_2021","CG","BV",0.155555555555556
"butyrate_assembly_2021","BF","BV",0.227777777777778
"butyrate_assembly_2021","EL","BV",0.144444444444444
"butyrate_assembly_2021","CH","BV",0.222222222222222
"butyrate_assembly_2021","BO","BV",0.388888888888889
"butyrate_assembly_2021","BT","BV",0.383333333333333
"butyrate_assembly_2021","BU","BV",0.588888888888889
"butyrate_assembly_2021","ER","BC",0.411111111111111
"butyrate_assembly_2021","FP","BC",0.35
"butyrate_assembly_2021","AC","BC",0.255555555555556
"butyrate_assembly_2021","HB","BC",0.266666666666667
"butyrate_assembly_2021","CC","BC",0.483333333333333
"butyrate_assembly_2021","RI","BC",0.6
"butyrate_assembly_2021","DP","BC",0.266666666666667
"butyrate_assembly_2021","BH","BC",0.177777777777778
"butyrate_assembly_2021","CA","BC",0.144444444444444
"butyrate_assembly_2021","PC","BC",0.127777777777778
"butyrate_assembly_2021","DL","BC",0.1
"butyrate_assembly_2021","CG","BC",0.188888888888889
"butyrate_assembly_2021","BF","BC",0.2
"butyrate_assembly_2021","EL","BC",0.2
"butyrate_assembly_2021","CH","BC",0.111111111111111
"butyrate_assembly_2021","BO","BC",0.161111111111111
"butyrate_assembly_2021","BT","BC",0.433333333333333
"butyrate_assembly_2021","BU","BC",0.455555555555556
"butyrate_assembly_2021","BV","BC",0.311111111111111
"butyrate_assembly_2021","ER","BY",0.377777777777778
"butyrate_assembly_2021","FP","BY",0.477777777777778
"butyrate_assembly_2021","AC","BY",0.322222222222222
"butyrate_assembly_2021","HB","BY",0.166666666666667
"butyrate_assembly_2021","CC","BY",0.355555555555556
"butyrate_assembly_2021","RI","BY",0.305555555555556
"butyrate_assembly_2021","DP","BY",0.361111111111111
"butyrate_assembly_2021","BH","BY",0.272222222222222
"butyrate_assembly_2021","CA","BY",0.233333333333333
"butyrate_assembly_2021","PC","BY",0.133333333333333
"butyrate_assembly_2021","DL","BY",0.227777777777778
"butyrate_assembly_2021","CG","BY",0.261111111111111
"butyrate_assembly_2021","BF","BY",0.283333333333333
"butyrate_assembly_2021","EL","BY",0.322222222222222
"butyrate_assembly_2021","CH","BY",0.288888888888889
"butyrate_assembly_2021","BO","BY",0.433333333333333
"butyrate_assembly_2021","BT","BY",0.383333333333333
"butyrate_assembly_2021","BU","BY",0.211111111111111
"butyrate_assembly_2021","BV","BY",0.311111111111111
"butyrate_assembly_2021","BC","BY",0.45
"butyrate_assembly_2021","ER","PJ",0.305555555555556
"butyrate_assembly_2021","FP","PJ",0.422222222222222
"butyrate_assembly_2021","AC","PJ",0.527777777777778
"butyrate_assembly_2021","HB","PJ",0.311111111111111
"butyrate_assembly_2021","CC","PJ",0.311111111111111
"butyrate_assembly_2021","RI","PJ",0.338888888888889
"butyrate_assembly_2021","DP","PJ",0.255555555555556
"butyrate_assembly_2021","BH","PJ",0.277777777777778
"butyrate_assembly_2021","CA","PJ",0.455555555555555
"butyrate_assembly_2021","PC","PJ",0.183333333333333
"butyrate_assembly_2021","DL","PJ",0.15
"butyrate_assembly_2021","CG","PJ",0.166666666666667
