dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
carlstrom_phyllosphere_2019,Leaf141,Leaf145,1,positive,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf203,1,positive,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf141,Leaf231,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf141,Leaf233,1,positive,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf262,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf141,Leaf265,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf141,Leaf285,1,positive,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf141,Leaf344,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf391,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf141,Leaf405,0,neutral,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf141,Leaf416,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf420,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf68,1,positive,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf141,Leaf83,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf141,Leaf86,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf141,Leaf90,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf176,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf177,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf183,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf189,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf2,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf202,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf203,1,positive,1.0,1.3,0.0,1.0
carlstrom_phyllosphere_2019,Leaf145,Leaf231,1,positive,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf145,Leaf233,1,positive,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf145,Leaf242,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf26,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf262,1,positive,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf265,1,positive,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf281,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf285,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf3,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf324,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf336,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf344,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf354,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf357,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf391,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf405,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf41,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf416,1,positive,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf420,0,neutral,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf145,Leaf68,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf82,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf145,Leaf83,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf145,Leaf86,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf145,Leaf90,0,neutral,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf176,Leaf203,0,neutral,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf176,Leaf231,0,neutral,1.0,3.3,0.0,3.0
carlstrom_phyllosphere_2019,Leaf176,Leaf233,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf262,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf265,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf285,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf344,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf391,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf176,Leaf405,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf416,0,neutral,1.0,2.3,0.0,2.0
carlstrom_phyllosphere_2019,Leaf176,Leaf420,0,neutral,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf176,Leaf68,1,positive,1.0,4.3,0.0,4.0
carlstrom_phyllosphere_2019,Leaf176,Leaf83,0,neutral,0.0,0.0,,0.0
carlstrom_phyllosphere_2019,Leaf176,Leaf86,0,neutral,1.0,5.3,0.0,5.0
carlstrom_phyllosphere_2019,Leaf176,Leaf90,0,neutral,1.0,3.3,0.0,3.0
