"dataset","taxon_1","taxon_2","onenet_score"
"carlstrom_phyllosphere_2019","Leaf141","Leaf145",0.0444444444444444
"carlstrom_phyllosphere_2019","Leaf141","Leaf160",0.361111111111111
"carlstrom_phyllosphere_2019","Leaf145","Leaf160",0.261111111111111
"carlstrom_phyllosphere_2019","Leaf141","Leaf176",0.0166666666666667
"carlstrom_phyllosphere_2019","Leaf145","Leaf176",0.0222222222222222
"carlstrom_phyllosphere_2019","Leaf160","Leaf176",0
"carlstrom_phyllosphere_2019","Leaf141","Leaf177",0.0722222222222222
"carlstrom_phyllosphere_2019","Leaf145","Leaf177",0.127777777777778
"carlstrom_phyllosphere_2019","Leaf160","Leaf177",0.0166666666666667
"carlstrom_phyllosphere_2019","Leaf176","Leaf177",0
"carlstrom_phyllosphere_2019","Leaf141","Leaf183",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf145","Leaf183",0.622222222222222
"carlstrom_phyllosphere_2019","Leaf160","Leaf183",0.0111111111111111
"carlstrom_phyllosphere_2019","Leaf176","Leaf183",0.0888888888888889
"carlstrom_phyllosphere_2019","Leaf177","Leaf183",0.255555555555556
"carlstrom_phyllosphere_2019","Leaf141","Leaf187",0.172222222222222
"carlstrom_phyllosphere_2019","Leaf145","Leaf187",0.0444444444444444
"carlstrom_phyllosphere_2019","Leaf160","Leaf187",0.661111111111111
"carlstrom_phyllosphere_2019","Leaf176","Leaf187",0.127777777777778
"carlstrom_phyllosphere_2019","Leaf177","Leaf187",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf183","Leaf187",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf141","Leaf189",0.05
"carlstrom_phyllosphere_2019","Leaf145","Leaf189",0.0388888888888889
"carlstrom_phyllosphere_2019","Leaf160","Leaf189",0.255555555555556
"carlstrom_phyllosphere_2019","Leaf176","Leaf189",0.05
"carlstrom_phyllosphere_2019","Leaf177","Leaf189",0.0111111111111111
"carlstrom_phyllosphere_2019","Leaf183","Leaf189",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf187","Leaf189",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf141","Leaf2",0.305555555555556
"carlstrom_phyllosphere_2019","Leaf145","Leaf2",0
"carlstrom_phyllosphere_2019","Leaf160","Leaf2",0.0111111111111111
"carlstrom_phyllosphere_2019","Leaf176","Leaf2",0.233333333333333
"carlstrom_phyllosphere_2019","Leaf177","Leaf2",0.0111111111111111
"carlstrom_phyllosphere_2019","Leaf183","Leaf2",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf187","Leaf2",0.0222222222222222
"carlstrom_phyllosphere_2019","Leaf189","Leaf2",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf141","Leaf203",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf145","Leaf203",0.05
"carlstrom_phyllosphere_2019","Leaf160","Leaf203",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf176","Leaf203",0.0111111111111111
"carlstrom_phyllosphere_2019","Leaf177","Leaf203",0.15
"carlstrom_phyllosphere_2019","Leaf183","Leaf203",0.0666666666666667
"carlstrom_phyllosphere_2019","Leaf187","Leaf203",0.111111111111111
"carlstrom_phyllosphere_2019","Leaf189","Leaf203",0.15
"carlstrom_phyllosphere_2019","Leaf2","Leaf203",0.05
"carlstrom_phyllosphere_2019","Leaf141","Leaf220",0.0277777777777778
"carlstrom_phyllosphere_2019","Leaf145","Leaf220",0.15
"carlstrom_phyllosphere_2019","Leaf160","Leaf220",0.105555555555556
"carlstrom_phyllosphere_2019","Leaf176","Leaf220",0.0277777777777778
"carlstrom_phyllosphere_2019","Leaf177","Leaf220",0.0666666666666667
"carlstrom_phyllosphere_2019","Leaf183","Leaf220",0.25
"carlstrom_phyllosphere_2019","Leaf187","Leaf220",0.122222222222222
"carlstrom_phyllosphere_2019","Leaf189","Leaf220",0.377777777777778
"carlstrom_phyllosphere_2019","Leaf2","Leaf220",0.0611111111111111
"carlstrom_phyllosphere_2019","Leaf203","Leaf220",0.155555555555556
"carlstrom_phyllosphere_2019","Leaf141","Leaf222",0.172222222222222
"carlstrom_phyllosphere_2019","Leaf145","Leaf222",0.1
"carlstrom_phyllosphere_2019","Leaf160","Leaf222",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf176","Leaf222",0.0388888888888889
"carlstrom_phyllosphere_2019","Leaf177","Leaf222",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf183","Leaf222",0
"carlstrom_phyllosphere_2019","Leaf187","Leaf222",0.155555555555556
"carlstrom_phyllosphere_2019","Leaf189","Leaf222",0.0611111111111111
"carlstrom_phyllosphere_2019","Leaf2","Leaf222",0.111111111111111
"carlstrom_phyllosphere_2019","Leaf203","Leaf222",0.4
"carlstrom_phyllosphere_2019","Leaf220","Leaf222",0.133333333333333
"carlstrom_phyllosphere_2019","Leaf141","Leaf231",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf145","Leaf231",0
"carlstrom_phyllosphere_2019","Leaf160","Leaf231",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf176","Leaf231",0.0222222222222222
"carlstrom_phyllosphere_2019","Leaf177","Leaf231",0.444444444444444
"carlstrom_phyllosphere_2019","Leaf183","Leaf231",0.0444444444444444
"carlstrom_phyllosphere_2019","Leaf187","Leaf231",0
"carlstrom_phyllosphere_2019","Leaf189","Leaf231",0.0833333333333333
"carlstrom_phyllosphere_2019","Leaf2","Leaf231",0.0333333333333333
"carlstrom_phyllosphere_2019","Leaf203","Leaf231",0.261111111111111
"carlstrom_phyllosphere_2019","Leaf220","Leaf231",0.00555555555555556
"carlstrom_phyllosphere_2019","Leaf222","Leaf231",0.555555555555556
