dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
friedman_microcosm_2017,Ea,Pa,1,positive,1.0,3.0027681513757285,0.0017054878282354,3.0
friedman_microcosm_2017,Ea,Pch,1,positive,1.0,2.0074749653960304,3.3499212979328584e-08,2.0
friedman_microcosm_2017,Ea,Pci,1,positive,1.0,5.011348165407755,4.4857451086954825e-12,5.0
friedman_microcosm_2017,Ea,Pf,1,positive,1.0,4.0027395816463995,0.0018214546114735,4.0
friedman_microcosm_2017,Ea,Pp,1,positive,1.0,2.0014654642144967,0.0342401600070556,2.0
friedman_microcosm_2017,Ea,Pv,1,positive,1.0,5.011641026240471,2.285460709572362e-12,5.0
friedman_microcosm_2017,Ea,Sm,1,positive,1.0,5.004307736905867,4.923377018781644e-05,5.0
friedman_microcosm_2017,Pa,Pch,1,positive,1.0,3.3,0.0,3.0
friedman_microcosm_2017,Pa,Pci,1,positive,0.0,0.0,,0.0
friedman_microcosm_2017,Pa,Pf,1,positive,1.0,5.006877106238522,1.3270697859132005e-07,5.0
friedman_microcosm_2017,Pa,Pp,1,positive,0.0,0.0,,0.0
friedman_microcosm_2017,Pa,Pv,1,positive,0.0,0.0,,0.0
friedman_microcosm_2017,Pa,Sm,0,neutral,0.0,0.0,,0.0
friedman_microcosm_2017,Pch,Pci,1,positive,1.0,4.3,0.0,4.0
friedman_microcosm_2017,Pch,Pf,1,positive,1.0,2.009176871872305,6.654694573171581e-10,2.0
friedman_microcosm_2017,Pch,Pp,1,positive,1.0,3.3,0.0,3.0
friedman_microcosm_2017,Pch,Pv,1,positive,1.0,3.0060514739509157,8.882312510394285e-07,3.0
friedman_microcosm_2017,Pch,Sm,1,positive,1.0,3.0102929360712087,5.0940585083480976e-11,3.0
friedman_microcosm_2017,Pci,Pf,1,positive,0.0,0.0,,0.0
friedman_microcosm_2017,Pci,Pp,1,positive,1.0,4.008198201306253,6.335759650255568e-09,4.0
friedman_microcosm_2017,Pci,Pv,1,positive,1.0,5.008396183492752,4.016210870045395e-09,5.0
friedman_microcosm_2017,Pci,Sm,1,positive,1.0,5.006599106106949,2.517061883366978e-07,5.0
friedman_microcosm_2017,Pf,Pp,1,positive,1.0,3.0030590474324144,0.0008728760301323745,3.0
friedman_microcosm_2017,Pf,Pv,0,neutral,1.0,1.0019720325838404,0.0106651610065529,1.0
friedman_microcosm_2017,Pf,Sm,1,positive,0.0,0.0,,0.0
friedman_microcosm_2017,Pp,Pv,1,positive,1.0,5.3,0.0,5.0
friedman_microcosm_2017,Pp,Sm,1,positive,1.0,4.004824619973317,1.4975455007936054e-05,4.0
friedman_microcosm_2017,Pv,Sm,1,positive,1.0,5.005317748463635,4.811179235165915e-06,5.0
