"dataset","taxon_1","taxon_2","onenet_score"
"friedman_microcosm_2017","Ea","Pa",0.172222222222222
"friedman_microcosm_2017","Ea","Pch",0.0222222222222222
"friedman_microcosm_2017","Pa","Pch",0.833333333333333
"friedman_microcosm_2017","Ea","Pci",0.438888888888889
"friedman_microcosm_2017","Pa","Pci",0.255555555555556
"friedman_microcosm_2017","Pch","Pci",0.427777777777778
"friedman_microcosm_2017","Ea","Pf",0.116666666666667
"friedman_microcosm_2017","Pa","Pf",0.355555555555556
"friedman_microcosm_2017","Pch","Pf",0.533333333333333
"friedman_microcosm_2017","Pci","Pf",0.0111111111111111
"friedman_microcosm_2017","Ea","Pp",0.205555555555556
"friedman_microcosm_2017","Pa","Pp",0.227777777777778
"friedman_microcosm_2017","Pch","Pp",0.35
"friedman_microcosm_2017","Pci","Pp",0.266666666666667
"friedman_microcosm_2017","Pf","Pp",0.244444444444444
"friedman_microcosm_2017","Ea","Pv",0.788888888888889
"friedman_microcosm_2017","Pa","Pv",0.0111111111111111
"friedman_microcosm_2017","Pch","Pv",0.194444444444444
"friedman_microcosm_2017","Pci","Pv",0.311111111111111
"friedman_microcosm_2017","Pf","Pv",0.116666666666667
"friedman_microcosm_2017","Pp","Pv",0.816666666666667
"friedman_microcosm_2017","Ea","Sm",0.65
"friedman_microcosm_2017","Pa","Sm",0.166666666666667
"friedman_microcosm_2017","Pch","Sm",0.122222222222222
"friedman_microcosm_2017","Pci","Sm",0.477777777777778
"friedman_microcosm_2017","Pf","Sm",0.0166666666666667
"friedman_microcosm_2017","Pp","Sm",0.0555555555555556
"friedman_microcosm_2017","Pv","Sm",0.0333333333333333
