dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
host_fitness_2018,AP,AO,0,0,0.2,0,-0.129870857560762,0.129870857560762,1,1,0,0,0.5,0,0,0,0,0.5,0,0.05,-0.0338912508713765,0.0338912508713765,0.7,0,0.320910973084886,0.521739130434783,0.320910973084886,0.521739130434783,0.140096618357488,203,262,553,431,0.199410609037328,178635.70967742,224264.761904762,543784.902790827,233669.870794065,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,AP,AT,0.0360686423376379,0.0360686423376379,0.6,1,-0.124912797483931,0.124912797483931,0.9,1,0,0,0.5,0,0,0,0,0.5,0,0.05,-0.0240323909273654,0.0240323909273654,0.6,0,0.320910973084886,0.432712215320911,0.320910973084886,0.432712215320911,0.113181504485852,164,301,463,521,0.176724137931034,178635.70967742,185750.872408294,543784.902790827,371734.933040203,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,AT,AO,0,0,0.2,0,-0.106426744961915,0.106426744961915,0.7,1,0,0,0.5,0,0,0,0,0.5,0,0,0.0482346484932565,0.0482346484932565,0.9,0,0.432712215320911,0.521739130434783,0.432712215320911,0.521739130434783,0.204968944099379,297,330,459,363,0.273480662983425,185750.872408294,224264.761904762,371734.933040203,233669.870794065,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LB,AO,0.0092459055377243,0.0092459055377243,0.4,1,-0.0884365133501815,0.0884365133501815,0.5,1,0,0,0.5,0,0,0,0,0.5,0,0,-0.0115204138609326,0.0115204138609326,0.3,0,0.476190476190476,0.521739130434783,0.476190476190476,0.521739130434783,0.238785369220152,346,344,410,349,0.314545454545455,278993.026086957,224264.761904762,323119.282050346,233669.870794065,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LB,AP,0.2601821181588,0.2601821181588,1,1,-0.0616696513825568,0.0616696513825568,0.2,1,0,0,0.5,0,0,0,0,0.5,0,0,0.0422496575959746,0.0422496575959746,0.8,0,0.476190476190476,0.320910973084886,0.320910973084886,0.476190476190476,0.171152518978606,248,442,217,542,0.273428886438809,278993.026086957,178635.70967742,323119.282050346,543784.902790827,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LB,AT,0.0406453323835616,0.0406453323835616,0.7,1,-0.0970316868746132,0.0970316868746132,0.6,1,0,0,0.5,0,0,0,0,0.5,0,0,-0.0198539213950124,0.0198539213950124,0.4,0,0.476190476190476,0.432712215320911,0.432712215320911,0.476190476190476,0.197377501725328,286,404,341,418,0.277400581959263,278993.026086957,185750.872408294,323119.282050346,371734.933040203,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LP,AO,0,0,0.2,0,-0.0742993729401765,0.0742993729401765,0.3,1,0,0,0.5,0,0,0,0,0.5,0,0,-0.00403465307574297,0.00403465307574297,0.1,0,0.520358868184955,0.521739130434783,0.520358868184955,0.521739130434783,0.25879917184265,375,379,381,314,0.330396475770925,258554.105039788,224264.761904762,220245.652895146,233669.870794065,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LP,AP,0.204461324958407,0.204461324958407,0.9,1,-0.0534469276720213,0.0534469276720213,0.1,1,0,0,0.5,0,0,0,0,0.5,0,0,0.0217432873425997,0.0217432873425997,0.5,0,0.520358868184955,0.320910973084886,0.320910973084886,0.520358868184955,0.174603174603175,253,501,212,483,0.261904761904762,258554.105039788,178635.70967742,220245.652895146,543784.902790827,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LP,AT,0.0319081409265676,0.0319081409265676,0.5,1,-0.0818022522761153,0.0818022522761153,0.4,1,0,0,0.5,0,0,0,0,0.5,0,0,-0.0101232048339379,0.0101232048339379,0.2,0,0.520358868184955,0.432712215320911,0.432712215320911,0.520358868184955,0.214630779848171,311,443,316,379,0.290654205607477,258554.105039788,185750.872408294,220245.652895146,371734.933040203,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
host_fitness_2018,LP,LB,-0.130010706954621,0.130010706954621,0.8,1,-0.114740916001465,0.114740916001465,0.8,1,-7.05255573997125e-16,7.05255573997125e-16,1,1,0.65,-0.111678482122931,0.111678482122931,1,1,1,-0.242289128062958,0.242289128062958,1,0,0.520358868184955,0.476190476190476,0.476190476190476,0.520358868184955,0.216011042097999,313,441,377,318,0.276746242263484,258554.105039788,278993.026086957,220245.652895146,323119.282050346,1449,5,0.545617667356798,cfu_abundance,fixed_total_10000
