dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
omm12_keystone_2023,I46,I48,-0.151121915631907,0.151121915631907,0.727272727272727,1,0,0,0.245454545454545,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,-0.0306279699137102,0.0306279699137102,0.236363636363636,0,0.912280701754386,0.93421052631579,0.912280701754386,0.93421052631579,0.846491228070175,193,15,20,0,0.846491228070175,73289024.0384615,3197968638.49765,105280848.890814,4396314915.94127,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,I46,I49,0.154078255308299,0.154078255308299,0.745454545454546,1,0.015509389619157,0.015509389619157,0.745454545454546,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,0.108178852946935,0.108178852946935,0.618181818181818,0,0.912280701754386,0.043859649122807,0.043859649122807,0.912280701754386,0.043859649122807,10,198,0,20,0.0480769230769231,73289024.0384615,5412230,105280848.890814,11378688.4355859,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,I46,YL58,-0.0820241853869941,0.0820241853869941,0.381818181818182,1,0,0,0.245454545454545,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,0.0569746727853862,0.0569746727853862,0.363636363636364,0,0.912280701754386,0.925438596491228,0.912280701754386,0.925438596491228,0.837719298245614,191,17,20,0,0.837719298245614,73289024.0384615,797864454.976304,105280848.890814,424326831.402337,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,I48,I49,-0.108260317785124,0.108260317785124,0.563636363636364,1,-0.0115665276857422,0.0115665276857422,0.672727272727273,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,0.0230024386745784,0.0230024386745784,0.163636363636364,0,0.93421052631579,0.043859649122807,0.043859649122807,0.93421052631579,0.043859649122807,10,203,0,15,0.0469483568075117,3197968638.49765,5412230,4396314915.94127,11378688.4355859,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,I48,YL58,0,0,0.0454545454545455,0,0.00967114960706669,0.00967114960706669,0.654545454545455,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,-0.00273853325820869,0.00273853325820869,0.0181818181818182,0,0.93421052631579,0.925438596491228,0.925438596491228,0.93421052631579,0.859649122807018,196,17,15,0,0.859649122807018,3197968638.49765,797864454.976304,4396314915.94127,424326831.402337,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,I49,YL58,0,0,0.0454545454545455,0,0,0,0.245454545454545,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,-0.0604311751869118,0.0604311751869118,0.436363636363636,0,0.043859649122807,0.925438596491228,0.043859649122807,0.925438596491228,0.0394736842105263,9,1,202,16,0.0424528301886792,5412230,797864454.976304,11378688.4355859,424326831.402337,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,KB1,I46,0.136966469655476,0.136966469655476,0.654545454545455,1,0,0,0.245454545454545,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,0.14730918262181,0.14730918262181,0.781818181818182,0,0.894736842105263,0.912280701754386,0.894736842105263,0.912280701754386,0.828947368421053,189,15,19,5,0.847533632286996,173982500,73289024.0384615,187277755.809035,105280848.890814,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,KB1,I48,-0.126831126112583,0.126831126112583,0.6,1,-0.00626077976489041,0.00626077976489041,0.6,0,0,0,0.5,0,0,0,0,0.509090909090909,0,0,-0.112601612170425,0.112601612170425,0.654545454545455,0,0.894736842105263,0.93421052631579,0.894736842105263,0.93421052631579,0.828947368421053,189,15,24,0,0.828947368421053,173982500,3197968638.49765,187277755.809035,4396314915.94127,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,KB1,I49,-0.252257578209133,0.252257578209133,0.909090909090909,1,-0.0512914545088353,0.0512914545088353,0.909090909090909,0,0,0,0.5,0,0.05,0,0,0.509090909090909,0,0.1,-0.657152572028834,0.657152572028834,0.981818181818182,1,0.894736842105263,0.043859649122807,0.043859649122807,0.894736842105263,0.0087719298245614,2,202,8,16,0.00943396226415094,173982500,5412230,187277755.809035,11378688.4355859,228,11,0.314992025518341,absolute_abundance,native_integer
omm12_keystone_2023,KB1,YL2,-0.558040314796932,0.558040314796932,0.981818181818182,1,-0.100938561307384,0.100938561307384,0.981818181818182,0,-0.123699060199355,0.123699060199355,1,1,1,0,0,0.509090909090909,0,0,-0.966557668574355,0.966557668574355,1,1,0.894736842105263,0.105263157894737,0.105263157894737,0.894736842105263,0.0350877192982456,8,196,16,8,0.0363636363636364,173982500,79162225,187277755.809035,199979808.070459,228,11,0.314992025518341,absolute_abundance,native_integer
