dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
omm12,I46,I48,0.0931998355721942,0.0931998355721942,0.575757575757576,1,0.241209677769528,0.241209677769528,0.96969696969697,1,0,0,0.477272727272727,0,0.05,0,0,0.439393939393939,0,0,0.885383241393735,0.885383241393735,0.545454545454545,1,0.990825688073395,1,0.990825688073395,1,0.990825688073395,108,0,1,0,0.990825688073395,155160277.777778,1845028440.36697,97399026.1026382,2011386575.06788,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,I46,I49,-0.0160125495660071,0.0160125495660071,0.287878787878788,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.583220805210947,0.583220805210947,0.333333333333333,1,0.990825688073395,0.0825688073394496,0.0825688073394496,0.990825688073395,0.0825688073394496,9,99,0,1,0.0833333333333333,155160277.777778,5356122.22222222,97399026.1026382,8752307.83815943,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,I46,YL58,0.0398363330740987,0.0398363330740987,0.378787878787879,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0.0139430700565824,0.0139430700565824,0.878787878787879,1,0.7,0.790227876172192,0.790227876172192,0.484848484848485,1,0.990825688073395,0.990825688073395,0.990825688073395,0.990825688073395,0.981651376146789,107,1,1,0,0.981651376146789,155160277.777778,694779166.666667,97399026.1026382,415092644.646663,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,I48,I49,-0.0521786662519017,0.0521786662519017,0.409090909090909,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.568045376063293,0.568045376063293,0.318181818181818,1,1,0.0825688073394496,0.0825688073394496,1,0.0825688073394496,9,100,0,0,0.0825688073394496,1845028440.36697,5356122.22222222,2011386575.06788,8752307.83815943,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,I48,YL58,0.274368799314927,0.274368799314927,0.878787878787879,1,0.1017671476237,0.1017671476237,0.833333333333333,1,0,0,0.477272727272727,0,0.1,0,0,0.439393939393939,0,0,0.857034986389741,0.857034986389741,0.53030303030303,1,1,0.990825688073395,0.990825688073395,1,0.990825688073395,108,1,0,0,0.990825688073395,1845028440.36697,694779166.666667,2011386575.06788,415092644.646663,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,I49,YL58,0.0463739634959099,0.0463739634959099,0.393939393939394,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.489206366200846,0.489206366200846,0.257575757575758,1,0.0825688073394496,0.990825688073395,0.0825688073394496,0.990825688073395,0.0825688073394496,9,0,99,1,0.0833333333333333,5356122.22222222,694779166.666667,8752307.83815943,415092644.646663,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,I46,0.392481026943557,0.392481026943557,0.96969696969697,1,0.557221038897607,0.557221038897607,1,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.473438538895445,0.473438538895445,0.227272727272727,1,0.605504587155963,0.990825688073395,0.605504587155963,0.990825688073395,0.605504587155963,66,0,42,1,0.611111111111111,283513696.969697,155160277.777778,337227545.96882,97399026.1026382,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,I48,0,0,0.128787878787879,0,-0.505425771106198,0.505425771106198,0.984848484848485,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.590429012737837,0.590429012737837,0.363636363636364,1,0.605504587155963,1,0.605504587155963,1,0.605504587155963,66,0,43,0,0.605504587155963,283513696.969697,1845028440.36697,337227545.96882,2011386575.06788,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,I49,0.16834131751974,0.16834131751974,0.757575757575758,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.232255798756537,0.232255798756537,0.0454545454545455,0,0.605504587155963,0.0825688073394496,0.0825688073394496,0.605504587155963,0.0275229357798165,3,63,6,37,0.0416666666666667,283513696.969697,5356122.22222222,337227545.96882,8752307.83815943,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,KB18,0.28870734454597,0.28870734454597,0.893939393939394,1,-0.0112653690601114,0.0112653690601114,0.515151515151515,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0.1,0.80223706766982,0.80223706766982,0.515151515151515,1,0.605504587155963,0.495412844036697,0.495412844036697,0.605504587155963,0.477064220183486,52,14,2,41,0.764705882352941,283513696.969697,5527690.74074074,337227545.96882,76281696.8745545,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL2,-0.836450660686079,0.836450660686079,1,1,-0.239305401001947,0.239305401001947,0.954545454545455,1,-0.100090706337404,0.100090706337404,1,1,1,-0.340377353115524,0.340377353115524,1,1,1,-0.294324666552536,0.294324666552536,0.0909090909090909,0,0.605504587155963,0.403669724770642,0.403669724770642,0.605504587155963,0.0275229357798165,3,63,41,2,0.0280373831775701,283513696.969697,155544545.454545,337227545.96882,234854468.284877,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL27,0,0,0.128787878787879,0,-0.0359382080803197,0.0359382080803197,0.712121212121212,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.327998039343597,0.327998039343597,0.121212121212121,1,0.605504587155963,0.908256880733945,0.605504587155963,0.908256880733945,0.559633027522936,61,5,38,5,0.586538461538462,283513696.969697,273141328.282828,337227545.96882,157410351.304066,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL31,0,0,0.128787878787879,0,0.0508464489188655,0.0508464489188655,0.772727272727273,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,1,1,0.78030303030303,1,0.605504587155963,1,0.605504587155963,1,0.605504587155963,66,0,43,0,0.605504587155963,283513696.969697,1461111467.88991,337227545.96882,1288531047.5814,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL32,0.0174404998200498,0.0174404998200498,0.303030303030303,1,-0.125398568711354,0.125398568711354,0.848484848484848,1,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0.45,1,1,0.78030303030303,1,0.605504587155963,1,0.605504587155963,1,0.605504587155963,66,0,43,0,0.605504587155963,283513696.969697,44938211.0091743,337227545.96882,13053181.3394168,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL44,0.222774654445424,0.222774654445424,0.818181818181818,1,0.0115362609679288,0.0115362609679288,0.545454545454545,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,1,1,0.78030303030303,1,0.605504587155963,0.990825688073395,0.605504587155963,0.990825688073395,0.605504587155963,66,0,42,1,0.611111111111111,283513696.969697,67068399.1666667,337227545.96882,79887583.0457196,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL45,-0.0241454060146435,0.0241454060146435,0.318181818181818,1,0.202304384316508,0.202304384316508,0.924242424242424,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.585668042509297,0.585668042509297,0.348484848484849,1,0.605504587155963,0.981651376146789,0.605504587155963,0.981651376146789,0.605504587155963,66,0,41,2,0.616822429906542,283513696.969697,176062448.598131,337227545.96882,38973541.173123,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB1,YL58,-0.0243415106923365,0.0243415106923365,0.333333333333333,1,0.071925638489689,0.071925638489689,0.818181818181818,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.39524467041307,0.39524467041307,0.166666666666667,1,0.605504587155963,0.990825688073395,0.605504587155963,0.990825688073395,0.596330275229358,65,1,43,0,0.596330275229358,283513696.969697,694779166.666667,337227545.96882,415092644.646663,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB18,I46,-0.133190808898083,0.133190808898083,0.681818181818182,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0.1,0,0,0.439393939393939,0,0,0.310187193698501,0.310187193698501,0.106060606060606,1,0.495412844036697,0.990825688073395,0.495412844036697,0.990825688073395,0.486238532110092,53,1,55,0,0.486238532110092,5527690.74074074,155160277.777778,76281696.8745545,97399026.1026382,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB18,I48,-0.244224795280941,0.244224795280941,0.848484848484848,1,-0.0244382253654654,0.0244382253654654,0.636363636363636,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.381789363838137,0.381789363838137,0.136363636363636,1,0.495412844036697,1,0.495412844036697,1,0.495412844036697,54,0,55,0,0.495412844036697,5527690.74074074,1845028440.36697,76281696.8745545,2011386575.06788,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB18,I49,0.261652257866531,0.261652257866531,0.863636363636364,1,0,0,0.181818181818182,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.270608386635043,0.270608386635043,0.0757575757575758,0,0.495412844036697,0.0825688073394496,0.0825688073394496,0.495412844036697,0.036697247706422,4,50,5,50,0.0677966101694915,5527690.74074074,5356122.22222222,76281696.8745545,8752307.83815943,109,12,0.212538226299694,absolute_abundance,native_integer
omm12,KB18,YL27,0.350135564426631,0.350135564426631,0.939393939393939,1,0.00184446296934378,0.00184446296934378,0.409090909090909,0,0,0,0.477272727272727,0,0,0,0,0.439393939393939,0,0,0.392953830401943,0.392953830401943,0.151515151515152,1,0.495412844036697,0.908256880733945,0.495412844036697,0.908256880733945,0.477064220183486,52,2,47,8,0.514851485148515,5527690.74074074,273141328.282828,76281696.8745545,157410351.304066,109,12,0.212538226299694,absolute_abundance,native_integer
