dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
pairinterax,Akkermansia muciniphila,Alistipes onderdonkii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Alistipes putredinis,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Alistipes shahii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Anaerostipes caccae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides caccae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides cellulosilyticus,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides eggerthii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides finegoldii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides ovatus,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides salyersiae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides thetaiotaomicron,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides uniformis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bacteroides xylanisolvens,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bifidobacterium longum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Bifidobacterium pseudocatenulatum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Blautia hominis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Blautia luti,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Blautia wexlerae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Butyricimonas virosa,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Catenibacterium mitsuokai,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Citrobacter freundii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Citrobacter gillenii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium butyricum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium leptum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium perfringens,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium scindens,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium symbiosum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Clostridium tertium,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Coprobacillus cateniformis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Dorea longicatena,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Enterobacter hormaechei,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Enterococcus faecalis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Enterococcus faecium,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Enterococcus hirae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Escherichia coli,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Faecalibacterium prausnitzii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Faecalicatena contorta,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Faecalimonas umbilicata,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Flintibacter hominis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Gordonibacter massiliensis,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Hungatella effluvii,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Klebsiella pneumoniae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Klebsiella quasipneumoniae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Odoribacter splanchnicus,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Parabacteroides merdae,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Paraclostridium benzoelyticum,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Paraeggerthella hongkongensis,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Phocaeicola coprocola,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Phocaeicola dorei,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Prevotella copri,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Proteus mirabilis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Sellimonas intestinalis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Shigella flexneri,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Staphylococcus haemolyticus,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Streptococcus pasteurianus,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Streptococcus salivarius,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Sutterella wadsworthensis,1,positive,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Tissierella hominis,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Akkermansia muciniphila,Zhenhengia yiwuensis,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Alistipes putredinis,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Alistipes shahii,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Anaerostipes caccae,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides caccae,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides cellulosilyticus,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides eggerthii,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides finegoldii,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides ovatus,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides salyersiae,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides thetaiotaomicron,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides uniformis,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bacteroides xylanisolvens,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bifidobacterium bifidum,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bifidobacterium longum,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Bifidobacterium pseudocatenulatum,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Blautia hominis,1,positive,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Blautia luti,0,tested_neutral,0.0,0.0,,0.0
pairinterax,Alistipes onderdonkii,Blautia obeum,0,tested_neutral,0.0,0.0,,0.0
