dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
pairinterax,Akkermansia muciniphila,Bacillus proteolyticus,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,-0.0413218012905694,0.0413218012905694,0.356958762886598,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000398565874882136,1.33394137180377,0.000380366822931613,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Cellulomonas hominis,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,0.0212135693161298,0.0212135693161298,0.190292096219931,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000222637481624189,1.33394137180377,0.000108384524033748,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Citrobacter gillenii,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,-0.00950522917941485,0.00950522917941485,0.0902061855670103,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000848972115123682,1.33394137180377,0.00501968675750145,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Clostridium butyricum,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0.4,0.000252014719925266,0.000252014719925266,0.00236254295532646,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.00138906973174499,1.33394137180377,0.0139049171707297,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Clostridium perfringens,0.00763687850085175,0.00763687850085175,0.964132302405498,1,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,0.0185718395907432,0.0185718395907432,0.165378006872852,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.0278196887001396,1.33394137180377,2.90231261429671,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Clostridium sporogenes,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0.041244386647423,0.041244386647423,0.956829896907217,1,0.8,0.0211615201632945,0.0211615201632945,0.189432989690722,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000798391611823191,1.33394137180377,0.000497706805566353,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Clostridium tertium,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0.05,-0.0102533138998198,0.0102533138998198,0.0972938144329897,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.00115061420594126,1.33394137180377,0.00787248744011037,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Enterococcus faecalis,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,-0.0272169762132645,0.0272169762132645,0.244201030927835,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.008953248458506,1.33394137180377,1.07436885048648,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Enterococcus hirae,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,-0.00954355586728897,0.00954355586728897,0.0906357388316151,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000485672615929552,1.33394137180377,0.00111451211939294,169,97,0,relative_abundance,fixed_total_10000
pairinterax,Akkermansia muciniphila,Erwinia gerundensis,0,0,0.48034793814433,0,0,0,0.45178264604811,0,0,0,0.475193298969072,0,0,0,0,0.457581615120275,0,0,-0.00775613410332018,0.00775613410332018,0.0749570446735395,0,1,1,1,1,1,169,0,0,0,1,0.0349494244422116,0.000383488879548267,1.33394137180377,0.00171088295974572,169,97,0,relative_abundance,fixed_total_10000
