dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
schafer_phyllosphere_2022,Leaf106,Leaf129,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf106,Leaf187,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf106,Leaf220,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf106,Leaf299,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf106,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf106,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf106,Leaf371,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf106,Leaf405,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf106,Leaf41,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf106,Leaf427,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf106,Leaf61,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf106,Leaf67,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf106,Leaf88,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf122,Leaf129,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf122,Leaf187,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf122,Leaf220,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf122,Leaf299,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf122,Leaf33,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf122,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf122,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf122,Leaf405,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf122,Leaf41,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf122,Leaf427,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf122,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf122,Leaf67,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf122,Leaf88,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf129,Leaf131,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf129,Leaf137,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf129,Leaf15,1,positive,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf129,Leaf160,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf129,Leaf161,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf168,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf129,Leaf183,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf129,Leaf185,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf187,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf220,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf233,1,positive,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf129,Leaf254,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf129,Leaf262,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf129,Leaf299,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf311,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf129,Leaf313,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf129,Leaf314,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf129,Leaf32,0,neutral,1.0,5.3,0.0,5.0
