"dataset","taxon_1","taxon_2","onenet_score"
"schafer_phyllosphere_2022","Leaf371","Leaf405",0.25
"schafer_phyllosphere_2022","Leaf371","Leaf313",0.316666666666667
"schafer_phyllosphere_2022","Leaf405","Leaf313",0.833333333333333
"schafer_phyllosphere_2022","Leaf371","Leaf220",0.794444444444444
"schafer_phyllosphere_2022","Leaf405","Leaf220",0.155555555555556
"schafer_phyllosphere_2022","Leaf313","Leaf220",0.0944444444444444
"schafer_phyllosphere_2022","Leaf371","Leaf33",0.483333333333333
"schafer_phyllosphere_2022","Leaf405","Leaf33",0.205555555555556
"schafer_phyllosphere_2022","Leaf313","Leaf33",0.15
"schafer_phyllosphere_2022","Leaf220","Leaf33",0.127777777777778
"schafer_phyllosphere_2022","Leaf371","Leaf245",0.205555555555556
"schafer_phyllosphere_2022","Leaf405","Leaf245",0.0555555555555556
"schafer_phyllosphere_2022","Leaf313","Leaf245",0.133333333333333
"schafer_phyllosphere_2022","Leaf220","Leaf245",0.205555555555556
"schafer_phyllosphere_2022","Leaf33","Leaf245",0.255555555555556
"schafer_phyllosphere_2022","Leaf371","Leaf285",0.177777777777778
"schafer_phyllosphere_2022","Leaf405","Leaf285",0.0888888888888889
"schafer_phyllosphere_2022","Leaf313","Leaf285",0.144444444444444
"schafer_phyllosphere_2022","Leaf220","Leaf285",0.233333333333333
"schafer_phyllosphere_2022","Leaf33","Leaf285",0.211111111111111
"schafer_phyllosphere_2022","Leaf245","Leaf285",0.0666666666666667
"schafer_phyllosphere_2022","Leaf371","Leaf88",0.305555555555556
"schafer_phyllosphere_2022","Leaf405","Leaf88",0.1
"schafer_phyllosphere_2022","Leaf313","Leaf88",0.0944444444444444
"schafer_phyllosphere_2022","Leaf220","Leaf88",0.333333333333333
"schafer_phyllosphere_2022","Leaf33","Leaf88",0.188888888888889
"schafer_phyllosphere_2022","Leaf245","Leaf88",0.211111111111111
"schafer_phyllosphere_2022","Leaf285","Leaf88",0.0666666666666667
"schafer_phyllosphere_2022","Leaf371","Leaf67",0.311111111111111
"schafer_phyllosphere_2022","Leaf405","Leaf67",0.161111111111111
"schafer_phyllosphere_2022","Leaf313","Leaf67",0.15
