dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
schafer_phyllosphere_2022,DC3000,Leaf106,0.0198471021012474,0.0198471021012474,0.881574239713775,1,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,0.0207508002226368,0.0207508002226368,0.842098986285033,0,0.0151057401812689,0.0528700906344411,0.0151057401812689,0.0528700906344411,0.00302114803625378,2,8,33,619,0.0465116279069768,710.6,440.885714285714,3397.8660815071,3002.95907564119,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf127,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,0.00630648370257801,0.00630648370257801,0.372093023255814,0,0.0151057401812689,0.00604229607250755,0.00604229607250755,0.0151057401812689,0,0,10,4,648,0,710.6,293.5,3397.8660815071,440.225480468129,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf13,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0.1,0,0,0.483840190816935,0,0,-0.00587256537290662,0.00587256537290662,0.348002385211688,0,0.0151057401812689,0.00151057401812689,0.00151057401812689,0.0151057401812689,0,0,10,1,651,0,710.6,4,3397.8660815071,3.99999999999992,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf130,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0.05,0,0,0.483840190816935,0,0,-0.00216416906956312,0.00216416906956312,0.134764460345856,0,0.0151057401812689,0.00453172205438067,0.00453172205438067,0.0151057401812689,0,0,10,3,649,0,710.6,81,3397.8660815071,103.933963380087,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf131,0.0971620172172321,0.0971620172172321,0.993798449612403,1,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,0.00626183566364794,0.00626183566364794,0.369350029815146,0,0.0151057401812689,0.0332326283987915,0.0151057401812689,0.0332326283987915,0,0,10,22,630,0,710.6,263.545454545455,3397.8660815071,1347.96813549874,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf132,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0.05,0,0,0.483840190816935,0,0,-0.00404950662155735,0.00404950662155735,0.246273106738223,0,0.0151057401812689,0.00302114803625378,0.00302114803625378,0.0151057401812689,0,0,10,2,650,0,710.6,1.5,3397.8660815071,1.66464952092792,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf137,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,-0.0105640648734619,0.0105640648734619,0.568038163387001,0,0.0151057401812689,0.0302114803625378,0.0151057401812689,0.0302114803625378,0,0,10,20,632,0,710.6,507.45,3397.8660815071,3526.19094836415,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf141,0,0,0.398449612403101,0,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,0.0127420280796987,0.0127420280796987,0.650685748360167,0,0.0151057401812689,0.0287009063444109,0.0151057401812689,0.0287009063444109,0,0,10,19,633,0,710.6,84.9473684210527,3397.8660815071,566.896587536804,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf15,0.061798322505637,0.061798322505637,0.972450805008945,1,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,-0.0152363633862106,0.0152363633862106,0.731305903398927,0,0.0151057401812689,0.0317220543806647,0.0151057401812689,0.0317220543806647,0,0,10,21,631,0,710.6,458.238095238095,3397.8660815071,3306.12920742872,662,130,0.845398559144783,amplicon_count,native_integer
schafer_phyllosphere_2022,DC3000,Leaf160,0.0219771527494646,0.0219771527494646,0.888372093023256,1,0,0,0.480262373285629,0,0,0,0.499522957662493,0,0,0,0,0.483840190816935,0,0,-0.0184151705016231,0.0184151705016231,0.804054859868813,0,0.0151057401812689,0.0422960725075529,0.0151057401812689,0.0422960725075529,0,0,10,28,624,0,710.6,431.607142857143,3397.8660815071,4568.29436336281,662,130,0.845398559144783,amplicon_count,native_integer
