dataset,taxon_1,taxon_2,pln_score,pln_abs_score,pln_score_percentile,pln_selected,glmnet_score,glmnet_abs_score,glmnet_score_percentile,glmnet_selected,spieceasi_score,spieceasi_abs_score,spieceasi_score_percentile,spieceasi_selected,spieceasi_stability,spring_score,spring_abs_score,spring_score_percentile,spring_selected,spring_stability,sparcc_score,sparcc_abs_score,sparcc_score_percentile,sparcc_selected,prevalence_1,prevalence_2,prevalence_min,prevalence_max,joint_prevalence,n_joint_positive,n_taxon_1_only,n_taxon_2_only,n_neither,presence_jaccard,mean_positive_abundance_1,mean_positive_abundance_2,dispersion_1,dispersion_2,n_samples,n_taxa,overall_zero_frequency,measurement_scale,count_conversion
wortel_syncom_2026,AM,BA,0.133864844849831,0.133864844849831,0.611111111111111,1,-0.347418916211032,0.347418916211032,0.722222222222222,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.0119976038252659,0.0119976038252659,0.138888888888889,0,0.253012048192771,0.186746987951807,0.186746987951807,0.253012048192771,0.0240963855421687,4,38,27,97,0.0579710144927536,0.99379084046868,1.16464746111481,1.98211828584445,1.19464524169716,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,BOB,0,0,0.0833333333333333,0,-0.794317239401344,0.794317239401344,0.861111111111111,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0.15,-0.0733628661060462,0.0733628661060462,0.888888888888889,0,0.253012048192771,0.168674698795181,0.168674698795181,0.253012048192771,0.0120481927710843,2,40,26,98,0.0294117647058824,0.99379084046868,0.967796410599638,1.98211828584445,1.13353417738189,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,BOV,0.0787165779447884,0.0787165779447884,0.361111111111111,1,-0.158096434343831,0.158096434343831,0.25,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,-0.0127176523818067,0.0127176523818067,0.194444444444444,0,0.253012048192771,0.228915662650602,0.228915662650602,0.253012048192771,0.036144578313253,6,36,32,92,0.0810810810810811,0.99379084046868,0.850322234156821,1.98211828584445,0.863705406357526,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,BT,-0.0608905093681232,0.0608905093681232,0.25,1,-0.339456507573572,0.339456507573572,0.694444444444445,1,0,0,0.5,0,0.2,0,0,0.513888888888889,0,0.05,-0.0734062086568065,0.0734062086568065,0.916666666666667,0,0.253012048192771,0.240963855421687,0.240963855421687,0.253012048192771,0.0240963855421687,4,38,36,88,0.0512820512820513,0.99379084046868,1.07920560505595,1.98211828584445,0.965267501434446,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,EC,0.19159943236708,0.19159943236708,0.861111111111111,1,-0.154940519397898,0.154940519397898,0.194444444444444,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.0447303963201729,0.0447303963201729,0.75,0,0.253012048192771,0.313253012048193,0.253012048192771,0.313253012048193,0.0843373493975904,14,28,38,86,0.175,0.99379084046868,0.575552659956865,1.98211828584445,0.765785491313027,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,FP,0.16335242963682,0.16335242963682,0.694444444444445,1,-0.165484233558667,0.165484233558667,0.305555555555556,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.023078219261412,0.023078219261412,0.333333333333333,0,0.253012048192771,0.228915662650602,0.228915662650602,0.253012048192771,0.0481927710843374,8,34,30,94,0.111111111111111,0.99379084046868,0.880389876406055,1.98211828584445,1.06058843541599,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,LB,0.0909996396542,0.0909996396542,0.388888888888889,1,-0.168433311227813,0.168433311227813,0.361111111111111,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.0243006477260224,0.0243006477260224,0.361111111111111,0,0.253012048192771,0.240963855421687,0.240963855421687,0.253012048192771,0.0481927710843374,8,34,32,92,0.108108108108108,0.99379084046868,0.895333371194911,1.98211828584445,0.970296061809264,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,AM,LJ,0.15448327604362,0.15448327604362,0.666666666666667,1,-0.118005090134564,0.118005090134564,0.0833333333333333,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.0391505505725218,0.0391505505725218,0.583333333333333,0,0.253012048192771,0.301204819277108,0.253012048192771,0.301204819277108,0.072289156626506,12,30,38,86,0.15,0.99379084046868,0.790720599441199,1.98211828584445,0.882484988056377,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,BA,BOB,0.277677454457695,0.277677454457695,1,1,-0.948831519405188,0.948831519405188,1,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.0650037709949191,0.0650037709949191,0.833333333333333,0,0.186746987951807,0.168674698795181,0.168674698795181,0.186746987951807,0.0240963855421687,4,27,24,111,0.0727272727272727,1.16464746111481,0.967796410599638,1.19464524169716,1.13353417738189,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
wortel_syncom_2026,BA,BOV,0.121098494792971,0.121098494792971,0.555555555555556,1,-0.331630865273396,0.331630865273396,0.611111111111111,1,0,0,0.5,0,0,0,0,0.513888888888889,0,0,0.029824062711083,0.029824062711083,0.416666666666667,0,0.186746987951807,0.228915662650602,0.186746987951807,0.228915662650602,0.0240963855421687,4,27,34,101,0.0615384615384615,1.16464746111481,0.850322234156821,1.19464524169716,0.863705406357526,166,9,0.759705488621151,qpcr_abundance,fixed_total_10000
