sample_id,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA
butyrate_exp2_ER_rep0_0001,0.992463958060288,0.00131061598951507,0.000327653997378768,0,0,0,0,0,0.00180209698558322,0.00344036697247706,0,0,0,0.000163826998689384,0,0,0,0,0,0,0,0,0.000163826998689384,0,0,0
butyrate_exp2_AC_ER_rep0_0002,0.263191153238547,0,0.735703001579779,0,0,0.000157977883096366,0,0,0,0,0.000315955766192733,0,0,0.000157977883096366,0,0,0,0,0,0,0,0,0,0,0,0
butyrate_exp2_CC_ER_rep0_0003,0.100550275137569,0,0,0,0.898949474737369,0,0,0,0,0,0.00016675004168751,0,0.000333500083375021,0,0,0,0,0,0,0,0,0,0,0,0,0
butyrate_exp2_DP_ER_rep0_0004,0.542652817980589,0.000170270730461434,0.000170270730461434,0,0.000170270730461434,0,0.456325557636642,0,0,0,0,0,0,0,0.000170270730461434,0,0,0,0,0,0,0,0,0,0,0
butyrate_exp2_BH_ER_rep0_0005,0.587433628318584,0,0.000176991150442478,0,0,0,0,0.412035398230089,0,0,0.000176991150442478,0,0,0,0,0,0,0,0,0.000176991150442478,0,0,0,0,0,0
butyrate_exp2_CA_ER_rep0_0006,0.378741709983868,0,0.000179243592041585,0,0.000179243592041585,0,0,0,0.614088546334469,0.00681125649758021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butyrate_exp2_PC_ER_rep0_0007,0.335650596947257,0,0,0,0.000151125887864591,0,0,0,0,0.66359377361342,0.000453377663593774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151125887864591
butyrate_exp2_DL_ER_rep0_0008,0.00464534572092192,0.000178667143112382,0.000357334286224763,0,0,0,0,0,0,0.00321600857602287,0.989815972842594,0,0.000357334286224763,0,0.000178667143112382,0,0.000357334286224763,0,0.000178667143112382,0,0,0,0,0,0.000178667143112382,0
butyrate_exp2_CG_ER_rep0_0009,0.341352528888047,0.00132600871377155,0,0,0.000189429816253078,0.000189429816253078,0,0,0,0.000189429816253078,0,0.652017427543095,0.000189429816253078,0,0.00397802614131464,0,0.000189429816253078,0.000189429816253078,0,0,0,0,0,0,0,0.000189429816253078
butyrate_exp2_BF_ER_rep0_0010,0.115963855421687,0.000167336010709505,0,0,0.000167336010709505,0,0,0,0,0,0,0.0035140562248996,0.879852744310576,0,0,0,0.000167336010709505,0,0,0,0,0.000167336010709505,0,0,0,0
butyrate_exp2_BO_ER_rep0_0011,0.231668437832094,0,0,0,0.00053134962805526,0,0,0,0,0,0,0,0,0,0.00345377258235919,0.756376195536663,0,0.00026567481402763,0,0,0.00026567481402763,0,0,0.00637619553666312,0,0
butyrate_exp2_BT_ER_rep0_0012,0.123196057726153,0,0,0,0.000175994368180218,0,0,0,0,0,0,0,0,0,0,0,0.875571981696586,0.000175994368180218,0,0.000351988736360436,0,0,0.000175994368180218,0,0,0
butyrate_exp2_BU_ER_rep0_0013,0.297400346620451,0,0.000173310225303293,0,0.000519930675909879,0,0,0,0,0,0,0,0.000346620450606586,0,0,0,0,0.694454072790295,0.00658578856152513,0.000346620450606586,0,0,0,0,0,0
butyrate_exp2_BY_ER_rep0_0014,0.257561286214581,0,0.000159184972938555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159184972938555,0.741006049028972,0.000955109837631328,0,0,0.000159184972938555,0
butyrate_exp2_PJ_ER_rep0_0015,0.45072374499538,0,0,0,0.000307976593778873,0.000153988296889436,0,0,0,0,0,0,0.000153988296889436,0.000153988296889436,0.00230982445334155,0,0,0,0,0,0,0.541268863566369,0.00246381275023098,0,0,0.00230982445334155
butyrate_exp2_DF_ER_rep0_0016,0.487245261507767,0,0.000142511044605957,0,0.000285022089211914,0,0,0,0,0,0.000142511044605957,0,0,0.000142511044605957,0.000570044178423828,0,0,0,0,0.000142511044605957,0,0.00128259940145361,0.509476984466296,0,0,0.000142511044605957
butyrate_exp2_BA_ER_rep0_0017,0.00788037987472217,0,0.000404122044857547,0,0.000404122044857547,0,0,0.000202061022428773,0,0.000202061022428773,0,0,0.000202061022428773,0,0,0,0,0,0.000202061022428773,0.000202061022428773,0,0,0,0,0.000202061022428773,0.989492826833704
butyrate_exp2_CC_FP_rep0_0018,0.000254388196387688,0.00483337573136606,0.000254388196387688,0,0.993131518697532,0,0,0,0,0,0,0,0,0,0,0.000254388196387688,0.000254388196387688,0,0.000254388196387688,0,0,0,0,0,0.000254388196387688,0
