dataset,taxon_1,taxon_2,tested_status,interaction_label,effect_sign,effect_strength,n_evidence,truth_type,label_rule,mixed_evidence,direction_available,experimental_setting
butyrate_assembly_2021,AC,BA,positive,1,-1,1.32149157977592,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,BC,positive,1,-1,0.851239889089085,1,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_3
butyrate_assembly_2021,AC,BF,positive,1,-1,1.83575129456036,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,BH,tested_neutral,0,-1,,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,BO,positive,1,-1,0.71388573665066,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,BP,positive,1,-1,0.83694632507978,1,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_3
butyrate_assembly_2021,AC,BT,positive,1,-1,1.1269190539095,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,BU,positive,1,-1,0.568019749945986,1,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2
butyrate_assembly_2021,AC,BV,tested_neutral,0,-1,,1,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_3
butyrate_assembly_2021,AC,BY,tested_neutral,0,-1,,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,CA,positive,1,-1,0.911395821795018,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,CC,positive,1,-1,1.20166963247757,8,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
butyrate_assembly_2021,AC,CG,positive,1,-1,1.40062129329906,2,community_assembly,positive when absolute aggregated log2 ratio is at least 0.5,FALSE,TRUE,Experiment_2;Experiment_3
