sample_id,Leaf141,Leaf145,Leaf160,Leaf176,Leaf177,Leaf183,Leaf187,Leaf189,Leaf2,Leaf203,Leaf220,Leaf222,Leaf231,Leaf233,Leaf234,Leaf242,Leaf262,Leaf263,Leaf265,Leaf26,Leaf285,Leaf288,Leaf324,Leaf334,Leaf336,Leaf337,Leaf344,Leaf351,Leaf354,Leaf357,Leaf359,Leaf363,Leaf371,Leaf380,Leaf391,Leaf396,Leaf405,Leaf41,Leaf416,Leaf420,Leaf427,Leaf443,Leaf5,Leaf68,Leaf70,Leaf3,Leaf33,Leaf225,Leaf82,Leaf83,Leaf86,Leaf88,Leaf90,Leaf202,Leaf281
ALL_U_1_t1,193,9,1,0,1941,0,0,8,31,798,0,0,1,106,0,116,844,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,12,8,0,647,0,0,0,1195,0,0,307,0,0,3,24,0,0,1220,0
ALL_U_2_t1,0,565,9,4,356,29,0,11,3,1132,0,0,390,1555,0,9,347,0,187,84,6,0,21,0,36,0,5,0,1,1,0,0,0,1,139,0,20,0,2,301,1,0,0,1076,0,6,0,0,5,8,3,1,864,1063,3
ALL_U_3_t1,8,456,472,0,104,21,200,3,6,1476,0,0,125,52,0,1,356,0,4,110,1,9,4,1,15,0,0,0,0,4,0,21,26,3,40,3,2317,3,3,434,1,1,0,1746,49,11,11,0,139,662,31,3,13,1702,15
ALL_U_4_t1,5,28,6,1,161,0,12,1,0,381,0,0,317,23,0,0,25,0,800,6,1,0,3,0,8,1,0,0,0,0,0,0,86,167,15,0,17,2,2,600,0,0,0,1926,4,0,0,0,127,1839,29,0,2,1866,1
ALL_U_5_t1,179,9,2,0,55,1,3,0,0,1242,0,0,579,2360,5,1,1,0,6,4,0,0,0,0,5,0,1,0,10,0,0,0,1,2,176,0,2,0,0,8,0,0,0,1860,0,0,0,0,342,21,1,0,3,1839,0
ALL_U_6_t1,5,14,0,2,83,0,2,0,0,353,1,0,498,31,0,2,430,0,7,2,1,12,0,0,3,0,36,0,2,5,0,0,20,0,33,0,2,0,0,567,0,1,0,1434,18,0,0,0,6,2371,0,0,2,1420,0
ALL_Mg_1_t1,0,27,0,0,20,0,1,0,6,480,0,0,1,8,1,111,1,0,1,261,0,0,56,0,3,0,1,0,2,19,0,0,44,0,45,0,2664,0,2,5,0,0,0,2043,21,0,0,0,0,322,1,0,258,2033,0
ALL_Mg_2_t1,32,83,0,2,180,1,0,0,0,876,0,0,297,37,0,18,123,0,3,0,1,0,0,0,2,0,15,0,7,0,0,0,0,10,85,0,1255,3,0,414,0,0,0,1122,0,0,0,0,39,2596,60,0,2,1119,0
ALL_Mg_3_t1,0,672,0,0,3442,46,0,0,19,3678,0,0,1,11,0,236,4,0,0,0,0,0,0,0,106,0,0,4,250,5,0,0,0,0,104,1,0,0,0,13,0,0,31,304,0,0,1,0,0,4,0,0,72,309,0
ALL_Mg_4_t1,0,3349,1,0,737,1,0,0,0,1143,0,0,500,51,0,47,2208,0,4,0,0,0,0,0,16,2,2,0,37,1,0,0,0,3,7,1,3,0,0,86,0,0,0,286,0,0,9,0,100,1,31,14,7,300,0
ALL_Mg_5_t1,1,7058,0,2,6,0,0,0,0,162,0,0,244,40,0,15,1,0,2,0,0,30,0,0,2,0,64,0,0,1,0,0,0,0,0,0,7,0,1,14,0,0,0,1922,6,1,0,3,74,4,1,0,1,2050,0
ALL_Mg_6_t1,0,692,0,1,343,6,0,7,0,441,0,0,7,101,8,1,1,1,3,1494,2,1,0,0,8,1,3,0,19,1,0,0,0,0,6,1,27,6,2,2120,1,0,0,1248,0,43,0,1,486,0,1,0,0,1291,37
ALL_Mg_7_t1,21,2141,36,0,56,3,0,1,3,2400,0,0,424,36,0,28,1,0,0,9,0,0,0,0,3,0,0,0,39,0,0,0,113,0,0,0,9,0,1,16,0,0,0,696,0,1,0,0,0,0,948,0,2,680,0
ALL_Mg_8_t1,15,32,0,2,201,2,0,0,0,1831,0,0,539,51,1,0,565,0,160,143,3,1,25,0,6,4,1,0,39,18,0,0,0,0,26,1,3,0,1,562,1,30,0,626,2,4,0,0,2,2,2665,12,0,670,3
ALL_Mg_9_t1,0,13,0,0,23,6,0,2,0,1139,0,0,680,1517,0,0,46,0,202,0,17,0,20,0,2,0,0,0,3,0,0,6,23,0,1,0,3,0,1220,327,0,0,0,1539,48,1,0,0,0,1,36,0,1,1449,0
ALL_Mg_10_t1,0,3688,1,2,869,2,0,0,0,787,0,3,591,80,0,40,2253,2,1,127,12,0,0,3,14,0,1,0,20,0,0,0,0,1,0,0,2,0,19,586,0,0,0,21,0,0,281,0,3,0,140,0,1147,20,1
ALL_Mg_11_t1,1,378,0,0,212,1,0,12,64,4871,0,8,1479,36,0,24,2609,2,2,273,1,0,0,0,5,0,0,0,12,15,0,6,0,178,47,3,1,0,8,17,0,6,0,93,0,0,3,1,10,1,25,2,6,77,0
ALL_Mg_12_t1,0,64,0,0,44,2,0,0,0,2121,0,4,822,3521,0,13,498,0,1,139,1,0,46,0,8,0,0,0,4,0,0,0,0,1,2,0,0,0,4,227,1,0,0,1806,0,0,0,2,2,0,6,1,4,1761,0
ALL_Mg_13_t1,2,122,0,0,232,6,0,0,14,1573,0,0,690,85,14,45,5,0,0,135,405,0,10,1,1,0,0,0,4,8,0,20,0,3,138,0,1,0,1,581,0,1,0,1323,0,11,0,11,1,4,2198,1,2,1334,12
