dataset,taxon_1,taxon_2,interaction_label,tested_status,effect_sign,n_evidence,min_adjusted_p,max_abs_log2_fold_change,truth_type,experimental_setting,label_rule,mixed_evidence
carlstrom_phyllosphere_2019,Leaf139,Leaf203,0,neutral,neutral,1,0.674543132349267,1.04606392749871,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf139,Leaf231,0,neutral,neutral,1,0.913758918050515,0.318923574676041,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf139,Leaf262,0,neutral,neutral,1,1,0.637932984763297,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf139,Leaf334,0,neutral,neutral,1,0.952867896415077,0.321921067393657,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf145,1,positive,positive,1,0.000831285214414021,2.45101239901177,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf160,0,neutral,neutral,1,0.682763279793177,0.58904998342833,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf203,1,positive,positive,1,0.0106749133327193,1.46107261320119,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf231,0,neutral,neutral,1,0.112395121723763,1.02258436044836,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf233,1,positive,positive,1,4.40499014836982e-05,2.75398085942589,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf262,0,neutral,neutral,1,0.0980129937267348,1.11941237398567,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
carlstrom_phyllosphere_2019,Leaf141,Leaf265,0,neutral,neutral,1,0.995014503126401,0.0150453700889299,community_dropout,Arabidopsis_phyllosphere,DESeq2_BH_adjusted_p_below_0.05,FALSE
