dataset,taxon_1,taxon_2,interaction_label,effect_strength,n_evidence,tested_status,effect_sign,truth_type,label_rule,direction_available,experimental_setting
friedman_microcosm_2017,Ea,Pa,1,-0.4555032565747422,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Pch,1,-0.5034276392261993,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Pci,1,0.8649742924741044,2,positive,1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Pf,1,-0.39818636152339143,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Pp,1,-0.9292073934781959,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Pv,1,-0.9225297920878662,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Ea,Sm,1,-0.9939289296782926,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Pch,1,-1.0,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Pci,1,-1.0,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Pf,1,-0.390603030757474,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Pp,1,-0.28824983122138015,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Pv,1,-0.18526385892227742,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pa,Sm,0,-0.48175786722959074,2,neutral,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pch,Pci,1,-0.9606272530936022,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pch,Pf,1,-1.0,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pch,Pp,1,-0.4163803592615559,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pch,Pv,1,-0.309779748260691,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pch,Sm,1,-0.37457807911574026,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pci,Pf,1,0.878449572408891,2,positive,1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pci,Pp,1,-1.0,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pci,Pv,1,-0.7839304433619038,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pci,Sm,1,0.8670440196513258,2,positive,1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Pf,Pp,1,-0.29864984813730916,2,positive,-1,undirected_summary_of_directional_pairwise_effects,positive when either tested direction has BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
