dataset,experimental_study,taxon_1,taxon_2,direction,effect_strength,effect_sign,n_pair_replicates,n_monoculture_replicates,p_value,q_value,interaction_label,tested_status,truth_type,label_rule,direction_available,experimental_setting
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pa,Pa_to_Ea,-0.4555032565747422,-1,2,8,0.02180470345942977,0.03755340177934999,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pch,Pch_to_Ea,-0.5034276392261993,-1,2,8,4.331635464922622e-09,4.042859767261114e-08,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pci,Pci_to_Ea,-0.08282243038390195,-1,2,8,0.24979200716209665,0.3496879306819972,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pf,Pf_to_Ea,-0.39818636152339143,-1,2,8,0.0023514673027086393,0.005486757039653492,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pp,Pp_to_Ea,-0.9292073934781959,-1,2,8,9.13459634299594e-06,3.729578523892764e-05,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Pv,Pv_to_Ea,-0.9225297920878662,-1,2,8,3.3471427983888586e-10,3.748799934195522e-09,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Ea,Sm,Sm_to_Ea,-0.03412489176638226,-1,2,8,0.19425385807262696,0.2789286167196695,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Ea,Ea_to_Pa,0.223903796430233,1,2,8,0.2560215206778908,0.3496879306819972,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Pch,Pch_to_Pa,-1.0,-1,2,8,2.181775950774102e-11,4.07264844144499e-10,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Pci,Pci_to_Pa,0.01804564233382298,1,2,8,0.6468026314403087,0.6994663286515304,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Pf,Pf_to_Pa,-0.390603030757474,-1,2,8,0.006159049954971132,0.012318099909942265,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Pp,Pp_to_Pa,-0.21733256399041864,-1,2,8,5.309742843530267e-05,0.00019823039949179664,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Pv,Pv_to_Pa,0.10439776481653056,1,2,8,0.30447395686395845,0.3875123087359471,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pa,Sm,Sm_to_Pa,-0.1106545869922623,-1,2,8,0.3555499913759802,0.42363403227776364,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Ea,Ea_to_Pch,0.05231593466593247,1,2,6,0.018726319791992158,0.036161169253502094,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Pa,Pa_to_Pch,0.010406869140447188,1,2,6,0.8260988628032506,0.8592966625093728,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Pci,Pci_to_Pch,-0.044130457295560074,-1,4,6,0.022129683191402672,0.03755340177934999,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Pf,Pf_to_Pch,-0.0267420080902838,-1,4,6,0.1235566012045434,0.19219915742928972,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Pp,Pp_to_Pch,0.04373360204302417,1,4,6,0.15988358374591194,0.24198596458840727,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Pv,Pv_to_Pch,0.12020349681074183,1,4,6,0.005628090476455626,0.011673076543759818,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pch,Sm,Sm_to_Pch,-0.024471479517502163,-1,3,6,0.3180451281431818,0.39578949280040404,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Ea,Ea_to_Pci,0.8649742924741044,1,2,8,0.021318175841833743,0.03755340177934999,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Pa,Pa_to_Pci,-1.0,-1,2,8,1.9806057505933644e-06,9.242826836102368e-06,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Pch,Pch_to_Pci,-0.9606272530936022,-1,4,8,8.334799048715087e-07,4.6674874672804485e-06,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Pf,Pf_to_Pci,0.878449572408891,1,4,8,0.00027055422205561874,0.0008417242463952582,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Pp,Pp_to_Pci,-1.0,-1,3,8,1.9806057505933644e-06,9.242826836102368e-06,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Pv,Pv_to_Pci,-0.7839304433619038,-1,4,8,0.0013968374629241473,0.003555586269261466,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pci,Sm,Sm_to_Pci,0.8670440196513258,1,4,8,0.00179258240445843,0.004364548463029221,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Ea,Ea_to_Pf,0.07464167719867348,1,2,8,0.2740760261473137,0.3654347015297516,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pa,Pa_to_Pf,-0.22850806767553714,-1,2,8,0.019709903715684603,0.03679182026927793,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pch,Pch_to_Pf,-1.0,-1,4,8,5.5785959823855225e-08,3.905017187669866e-07,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pci,Pci_to_Pf,-0.7798210515640758,-1,4,8,6.592350173658131e-09,5.273880138926505e-08,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pp,Pp_to_Pf,0.047786644896964374,1,4,8,0.6495044480335639,0.6994663286515304,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
