sample_id,LP,LB,AP,AT,AO
hostfit_t01_0001,313000,0,0,0,0
hostfit_t01_0002,268000,0,0,0,0
hostfit_t01_0003,224000,0,0,0,0
hostfit_t01_0004,358000,0,0,0,0
hostfit_t01_0005,268000,0,0,0,0
hostfit_t01_0006,268000,0,0,0,0
hostfit_t01_0007,268000,0,0,0,0
hostfit_t01_0008,152000,0,0,0,0
hostfit_t01_0009,179000,0,0,0,0
hostfit_t01_0010,179000,0,0,0,0
hostfit_t01_0011,179000,0,0,0,0
hostfit_t01_0012,268000,0,0,0,0
hostfit_t01_0013,259000,0,0,0,0
hostfit_t01_0014,447000,0,0,0,0
hostfit_t01_0015,250000,0,0,0,0
hostfit_t01_0016,134000,0,0,0,0
hostfit_t01_0017,116000,0,0,0,0
hostfit_t01_0018,17886,0,0,0,0
hostfit_t01_0019,71543,0,0,0,0
hostfit_t01_0020,17886,0,0,0,0
hostfit_t01_0021,161000,0,0,0,0
hostfit_t01_0022,98371,0,0,0,0
hostfit_t01_0023,134000,0,0,0,0
hostfit_t01_0024,259000,0,0,0,0
hostfit_t01_0025,268000,0,0,0,0
hostfit_t01_0026,224000,0,0,0,0
hostfit_t01_0027,125000,0,0,0,0
hostfit_t01_0028,537000,0,0,0,0
hostfit_t01_0029,358000,0,0,0,0
hostfit_t01_0030,17886,0,0,0,0
hostfit_t01_0031,197000,0,0,0,0
hostfit_t01_0032,8942.8,0,0,0,0
hostfit_t01_0033,62600,0,0,0,0
hostfit_t01_0034,447000,0,0,0,0
hostfit_t01_0035,44714,0,0,0,0
hostfit_t01_0036,125000,0,0,0,0
hostfit_t01_0037,447000,0,0,0,0
hostfit_t01_0038,224000,0,0,0,0
hostfit_t01_0039,537000,0,0,0,0
hostfit_t01_0040,268000,0,0,0,0
hostfit_t01_0041,152000,0,0,0,0
hostfit_t01_0042,358000,0,0,0,0
hostfit_t01_0043,447000,0,0,0,0
hostfit_t01_0044,447000,0,0,0,0
hostfit_t01_0045,358000,0,0,0,0
hostfit_t01_0046,107000,0,0,0,0
hostfit_t01_0047,8942.8,0,0,0,0
hostfit_t01_0048,537000,0,0,0,0
hostfit_t02_0049,0,668000,0,0,0
hostfit_t02_0050,0,668000,0,0,0
hostfit_t02_0051,0,668000,0,0,0
hostfit_t02_0052,0,668000,0,0,0
hostfit_t02_0053,0,668000,0,0,0
hostfit_t02_0054,0,668000,0,0,0
hostfit_t02_0055,0,557000,0,0,0
hostfit_t02_0056,0,668000,0,0,0
hostfit_t02_0057,0,334000,0,0,0
hostfit_t02_0058,0,445000,0,0,0
hostfit_t02_0059,0,668000,0,0,0
hostfit_t02_0060,0,668000,0,0,0
hostfit_t02_0061,0,668000,0,0,0
hostfit_t02_0062,0,557000,0,0,0
hostfit_t02_0063,0,445000,0,0,0
hostfit_t02_0064,0,668000,0,0,0
hostfit_t02_0065,0,445000,0,0,0
hostfit_t02_0066,0,267000,0,0,0
hostfit_t02_0067,0,668000,0,0,0
hostfit_t02_0068,0,367000,0,0,0
hostfit_t02_0069,0,668000,0,0,0
hostfit_t02_0070,0,468000,0,0,0
hostfit_t02_0071,0,557000,0,0,0
hostfit_t02_0072,0,423000,0,0,0
hostfit_t02_0073,0,668000,0,0,0
hostfit_t02_0074,0,2e+05,0,0,0
hostfit_t02_0075,0,33398,0,0,0
hostfit_t02_0076,0,334000,0,0,0
hostfit_t02_0077,0,668000,0,0,0
hostfit_t02_0078,0,445000,0,0,0
hostfit_t02_0079,0,278000,0,0,0
hostfit_t02_0080,0,557000,0,0,0
hostfit_t02_0081,0,22265,0,0,0
hostfit_t02_0082,0,245000,0,0,0
hostfit_t02_0083,0,77928,0,0,0
hostfit_t02_0084,0,668000,0,0,0
hostfit_t02_0085,0,668000,0,0,0
hostfit_t02_0086,0,557000,0,0,0
hostfit_t02_0087,0,134000,0,0,0
hostfit_t02_0088,0,557000,0,0,0
hostfit_t02_0089,0,668000,0,0,0
hostfit_t02_0090,0,44530,0,0,0
hostfit_t02_0091,0,11133,0,0,0
hostfit_t02_0092,0,668000,0,0,0
hostfit_t02_0093,0,334000,0,0,0
hostfit_t02_0094,0,668000,0,0,0
hostfit_t02_0095,0,668000,0,0,0
hostfit_t02_0096,0,111000,0,0,0
hostfit_t03_0098,0,0,65417,0,0
hostfit_t03_0101,0,0,16354,0,0
hostfit_t03_0102,0,0,16354,0,0
hostfit_t03_0104,0,0,16354,0,0
hostfit_t03_0106,0,0,49063,0,0
hostfit_t03_0109,0,0,49063,0,0
hostfit_t03_0110,0,0,49063,0,0
hostfit_t03_0111,0,0,49063,0,0
hostfit_t03_0114,0,0,818000,0,0
hostfit_t03_0116,0,0,65417,0,0
