dataset,taxon_1,taxon_2,tested_status,interaction_label,effect_sign,effect_strength,n_evidence,truth_type,label_rule,mixed_evidence,direction_available,experimental_setting
host_fitness_2018,AO,AP,positive,1,-1,8.7941124763671,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AO,AT,positive,1,-1,6.58542833994979,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AO,LB,positive,1,-1,1.2842020926974,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AO,LP,tested_neutral,0,,,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AP,AT,positive,1,-1,11.346608913111,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AP,LB,positive,1,-1,3.33347025085261,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AP,LP,positive,1,-1,1.25226917580622,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AT,LB,positive,1,-1,1.99263883755207,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,AT,LP,positive,1,-1,2.9580776662648,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
host_fitness_2018,LB,LP,positive,1,-1,4.94097042352193,96,pairwise_host_colonization,positive when absolute aggregated log2 ratio is at least 0.5,TRUE,TRUE,pair_vs_singleton
