sample_id,KB1,YL2,KB18,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
E4_OMM_D10_M1_W1,1.08e+09,0,656000,4.66e+08,1.36e+09,46200000,2710000,1.34e+08,2.37e+08,6.56e+08,0,3.73e+08
E4_OMM_D10_M1_W2,5.23e+08,0,746000,4.51e+08,1.35e+09,44800000,2530000,1.17e+08,1.27e+08,5.9e+08,0,3.61e+08
E4_OMM_D10_M1_W3,0,0,1920000,4.14e+08,1.15e+09,43800000,2390000,1.9e+08,0,5.05e+08,0,3.31e+08
E4_OMM_D10_M1_W4,1.02e+09,0,729000,3.65e+08,1.55e+09,50100000,2560000,2.17e+08,1.07e+08,5.98e+08,0,2.92e+08
E4_OMM_D10_M1_W5,1.38e+09,0,507000,3.4e+08,1.3e+09,39200000,2430000,2.22e+08,1.72e+08,5.55e+08,0,2.72e+08
E4_OMM_Inok_Inok_Inok,4280000,7240000,10600,1.4e+07,39300000,3740000,605000,4060000,2.8e+07,14100000,3280000,11200000
E4_OMM-1_Inok_Inok_Inok,44000,42500000,40700,72500000,1.64e+08,15800000,2020000,19800000,1.21e+08,61600000,14200000,5.8e+07
E4_OMM-1_D10_M1_W1,0,6.41e+08,0,1.71e+08,6.42e+08,31900000,84400,0,2.22e+08,1.81e+09,0,1.78e+09
E4_OMM-1_D10_M1_W2,0,4.44e+08,0,1.56e+08,5.63e+08,17200000,114000,1.01e+08,1.41e+08,9.69e+08,0,1.01e+09
E4_OMM-1_D10_M1_W3,0,3.09e+08,0,1.8e+08,6.67e+08,28200000,125000,0,1.77e+08,1.19e+09,0,1.56e+09
E4_OMM-1_D10_M1_W4,0,6.17e+08,0,2.35e+08,1e+09,31300000,920000,1.54e+08,2.53e+08,1.14e+09,0,1.31e+09
E4_OMM-1_D10_M1_W5,0,2.59e+08,0,72700000,3.78e+08,8640000,122000,56600000,1.3e+08,4.22e+08,0,6.02e+08
E5_OMM-1_D10_M10_W1,0,7.9e+07,0,0,1.1e+09,2.4e+07,13400000,1.96e+08,3.22e+08,4.39e+09,222000,2.31e+09
E5_OMM-1_D10_M10_W2,0,1.22e+08,0,0,6.51e+08,11600000,785000,1.95e+08,3.86e+08,3.95e+09,3310000,3.02e+08
E5_OMM-1_D10_M10_W3,0,2.67e+08,0,0,6.88e+08,25500000,1420000,54100000,2.91e+08,1.83e+09,4750000,6.61e+08
E5_OMM-1_D10_M10_W4,0,1020000,0,0,3650000,105000,3710,522000,1110000,17400000,23100,2630000
E5_OMM-1_D10_M10_W5,0,66100000,0,0,5.21e+08,19300000,223000,93600000,2.96e+08,3.66e+09,3330000,3.54e+08
E5_OMM-1_D10_M11_W1,0,53600000,0,2.37e+08,3.08e+09,34300000,86200000,1.52e+08,4.57e+08,1.72e+09,0,4.17e+08
E5_OMM-1_D10_M11_W2,0,65400000,0,2.84e+08,3.95e+09,35500000,1.09e+08,1.44e+08,3.85e+08,2.13e+09,0,7.44e+08
