sample_id,KB1,YL2,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
OMM11-KB1_E3_AF_W1,0,1.18e+08,79500000,1.28e+09,1.2e+07,657000,0,4.33e+08,2.68e+09,0,5.16e+08
OMM11-KB1_E3_AF_W2,0,1.78e+08,6.3e+07,1.43e+09,16600000,630000,0,4e+08,2.75e+09,0,8.32e+08
OMM11-KB1_E3_AF_W3,0,95700000,73300000,1.36e+09,1.6e+07,17500000,0,3.38e+08,3.19e+09,0,5.04e+08
OMM11-YL2_E3_AF_W1,15500000,0,7580000,1.91e+08,14500000,423000,0,1.42e+08,4.8e+08,0,1.12e+09
OMM11-YL2_E3_AF_W2,11400000,0,7280000,2.13e+08,12500000,237000,0,1.11e+08,5.03e+08,0,6.46e+08
OMM11-YL2_E3_AF_W3,18300000,0,6050000,2.4e+08,11200000,168000,0,1.12e+08,6.4e+08,0,6.5e+08
OMM11-KB18_E3_AF_W1,3.33e+08,0,6550000,6.3e+08,19500000,673000,0,90500000,5.3e+08,0,1.07e+09
OMM11-KB18_E3_AF_W2,1.49e+08,0,7850000,2.61e+08,15200000,440000,0,9.1e+07,5.57e+08,0,6.32e+08
OMM11-KB18_E3_AF_W3,2.73e+08,0,10100000,1.54e+08,15200000,337000,163000,1.02e+08,5.27e+08,0,9.18e+08
OMM11-YL27_E3_AF_W1,72800000,0,0,5.9e+08,15400000,1010000,6.7e+07,79800000,4.33e+08,0,7.54e+08
OMM11-YL27_E3_AF_W2,1.81e+08,0,0,2.42e+08,19400000,843000,1210000,88500000,5.17e+08,0,9.36e+08
OMM11-YL27_E3_AF_W3,2.04e+08,40700,0,1.19e+08,14200000,560000,0,69500000,4.63e+08,0,5.8e+08
OMM11-YL31_E3_AF_W1,2.88e+08,0,0,0,2.3e+07,360000,0,1.33e+08,6.53e+08,0,2.02e+09
OMM11-YL31_E3_AF_W2,2.41e+08,0,20800000,0,18300000,308000,0,1.15e+08,5.23e+08,0,1.21e+09
OMM11-YL31_E3_AF_W3,5.23e+08,0,23500000,0,15300000,172000,0,1.07e+08,3.6e+08,0,1.12e+09
OMM11-YL32_E3_AF_W1,2.65e+08,0,4600000,1.86e+08,0,217000,0,1.46e+08,5.23e+08,0,1.33e+09
OMM11-YL32_E3_AF_W2,6.7e+08,136000,4450000,71500000,0,160000,0,1.18e+08,4.63e+08,0,1.12e+09
OMM11-YL32_E3_AF_W3,2.78e+08,0,8480000,5.1e+07,0,138000,0,1.1e+08,5.47e+08,0,1.3e+09
