sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['LB' 'LJ']_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588232621535665,1.0586106172212344
pair_['LB' 'LJ']_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551908223534753,1.1528956057912116
pair_['LB' 'LJ']_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6032371649250337,1.0838963677927358
pair_['LB' 'LJ']_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6402885052248973,1.1279400558801118
pair_['FP' 'LJ']_1,0.0,0.0,0.0,0.0,0.0,0.0,1.9306948109058926,0.0,0.4293243586487175
pair_['FP' 'LJ']_2,0.0,0.0,0.0,0.0,0.0,0.0,2.1460861917326306,0.0,0.5198755397510798
pair_['FP' 'LJ']_3,0.0,0.0,0.0,0.0,0.0,0.0,1.9779683377308712,0.0,0.460706121412243
pair_['FP' 'LJ']_4,0.0,0.0,0.0,0.0,0.0,0.0,2.0994283201407216,0.0,0.4887477774955552
pair_['FP' 'LB']_1,0.0,0.0,0.0,0.0,0.0,0.0,1.1423043095866314,1.395218082689686,0.0
pair_['FP' 'LB']_2,0.0,0.0,0.0,0.0,0.0,0.0,1.335576077396659,1.452669241253975,0.0
pair_['FP' 'LB']_3,0.0,0.0,0.0,0.0,0.0,0.0,1.1840369393139853,1.411597001363017,0.0
pair_['FP' 'LB']_4,0.0,0.0,0.0,0.0,0.0,0.0,1.2941732629727352,1.4364039073148565,0.0
pair_['EC' 'LJ']_1,0.0,0.0,0.0,0.0,0.0,1.3808198810535255,0.0,0.0,1.2186436372872747
pair_['EC' 'LJ']_2,0.0,0.0,0.0,0.0,0.0,1.4350785896346643,0.0,0.0,1.2421132842265685
pair_['EC' 'LJ']_3,0.0,0.0,0.0,0.0,0.0,1.393861512319456,0.0,0.0,1.2167894335788672
pair_['EC' 'LJ']_4,0.0,0.0,0.0,0.0,0.0,1.4221962616822426,0.0,0.0,1.2439674879349762
pair_['EC' 'LB']_1,0.0,0.0,0.0,0.0,0.0,1.3366503823279523,0.0,1.378305315765561,0.0
pair_['EC' 'LB']_2,0.0,0.0,0.0,0.0,0.0,1.3727591333899742,0.0,1.4657314856883235,0.0
pair_['EC' 'LB']_3,0.0,0.0,0.0,0.0,0.0,1.3499256584536956,0.0,1.404827351203998,0.0
pair_['EC' 'LB']_4,0.0,0.0,0.0,0.0,0.0,1.3595050977060321,0.0,1.4393343934575193,0.0
pair_['EC' 'FP']_1,0.0,0.0,0.0,0.0,0.0,0.35609600679694114,0.5098724714160069,0.0,0.0
