dataset,taxon_1,taxon_2,tested_status,interaction_label,effect_sign,effect_strength,n_evidence,truth_type,label_rule,mixed_evidence,direction_available,experimental_setting
wortel_syncom_2026,AM,BA,positive,1,-1.0,0.0143615653984832,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,BOB,positive,1,-1.0,1.6316435658769843,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,BOV,positive,1,-1.0,0.3986648096789548,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,BT,positive,1,-1.0,0.0368470833491708,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,EC,positive,1,-1.0,1.381375331532317,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,FP,positive,1,-1.0,1.0087031205104044,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,LB,positive,1,-1.0,1.112931961885994,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,AM,LJ,positive,1,-1.0,0.106101892132864,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,BOB,positive,1,-1.0,1.7351598141486697,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,BOV,positive,1,-1.0,1.5294074258332562,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,BT,positive,1,-1.0,1.4027619443407926,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,EC,positive,1,-1.0,2.6108968822795173,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,FP,positive,1,-1.0,0.0935500093638774,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
wortel_syncom_2026,BA,LB,positive,1,-1.0,2.057761434949948,2,conditioned_medium_final_population_density,"edge if either directed final-population-density log ratio is outside [-0.1, 0.1]; no-growth outcomes are negative effects",False,True,conditioned YCFA medium and separate qPCR cocultures
