treat,replicate,fecundity (eggs/female),LP,LB,AP,AT,AO
1,1,6.6,1,0,0,0,0
1,2,5.2,1,0,0,0,0
1,3,3.2,1,0,0,0,0
1,4,3.3,1,0,0,0,0
1,5,3.1,1,0,0,0,0
1,6,3.7,1,0,0,0,0
1,7,2.5,1,0,0,0,0
1,8,3.3,1,0,0,0,0
1,9,3.2,1,0,0,0,0
1,10,0.5,1,0,0,0,0
1,11,0.6,1,0,0,0,0
1,12,1.7,1,0,0,0,0
1,13,0.3,1,0,0,0,0
1,14,3.5,1,0,0,0,0
1,15,2.3,1,0,0,0,0
1,16,2.6,1,0,0,0,0
1,17,3.5,1,0,0,0,0
1,18,2.5,1,0,0,0,0
1,19,2.4,1,0,0,0,0
1,20,2.5,1,0,0,0,0
1,21,2.7,1,0,0,0,0
1,22,2.1,1,0,0,0,0
1,23,1.0,1,0,0,0,0
1,24,0.5,1,0,0,0,0
1,25,0.2,1,0,0,0,0
1,26,0.0,1,0,0,0,0
1,27,5.6,1,0,0,0,0
1,28,2.7,1,0,0,0,0
1,29,1.9,1,0,0,0,0
1,30,3.6,1,0,0,0,0
1,31,1.5,1,0,0,0,0
1,32,1.3,1,0,0,0,0
1,33,1.6,1,0,0,0,0
1,34,1.2,1,0,0,0,0
1,35,1.1,1,0,0,0,0
1,36,0.5,1,0,0,0,0
1,37,1.3,1,0,0,0,0
1,38,1.4,1,0,0,0,0
1,39,0.3,1,0,0,0,0
1,40,0.1,1,0,0,0,0
1,41,0.5,1,0,0,0,0
1,42,1.3,1,0,0,0,0
1,43,1.3,1,0,0,0,0
1,44,1.2,1,0,0,0,0
1,45,1.8,1,0,0,0,0
1,46,1.1,1,0,0,0,0
1,47,0.8,1,0,0,0,0
1,48,0.6,1,0,0,0,0
1,49,0.4,1,0,0,0,0
1,50,0.3,1,0,0,0,0
1,51,0.4,1,0,0,0,0
1,52,0.0,1,0,0,0,0
1,53,1.6,1,0,0,0,0
1,54,4.8,1,0,0,0,0
1,55,3.8,1,0,0,0,0
1,56,3.0,1,0,0,0,0
1,57,0.8,1,0,0,0,0
1,58,2.3,1,0,0,0,0
1,59,3.7,1,0,0,0,0
1,60,2.0,1,0,0,0,0
1,61,1.4,1,0,0,0,0
1,62,0.6,1,0,0,0,0
1,63,0.6,1,0,0,0,0
1,64,0.5,1,0,0,0,0
1,65,0.6,1,0,0,0,0
2,1,6.2,0,1,0,0,0
2,2,4.4,0,1,0,0,0
2,3,2.6,0,1,0,0,0
2,4,2.5,0,1,0,0,0
2,5,3.2,0,1,0,0,0
2,6,1.6,0,1,0,0,0
2,7,1.1,0,1,0,0,0
2,8,0.6,0,1,0,0,0
2,9,0.7,0,1,0,0,0
2,10,0.2,0,1,0,0,0
2,11,0.0,0,1,0,0,0
2,12,0.0,0,1,0,0,0
2,13,0.0,0,1,0,0,0
2,14,4.6,0,1,0,0,0
2,15,3.9,0,1,0,0,0
2,16,2.4,0,1,0,0,0
2,17,3.5,0,1,0,0,0
2,18,2.7,0,1,0,0,0
2,19,2.1,0,1,0,0,0
2,20,2.3,0,1,0,0,0
2,21,3.0,0,1,0,0,0
2,22,1.6,0,1,0,0,0
2,23,1.3,0,1,0,0,0
2,24,0.4,0,1,0,0,0
2,25,0.1,0,1,0,0,0
2,26,0.0,0,1,0,0,0
2,27,0.4,0,1,0,0,0
2,28,1.2,0,1,0,0,0
2,29,1.8,0,1,0,0,0
2,30,1.3,0,1,0,0,0
2,31,1.3,0,1,0,0,0
2,32,1.1,0,1,0,0,0
2,33,0.8,0,1,0,0,0
2,34,1.2,0,1,0,0,0
2,35,0.8,0,1,0,0,0
2,36,0.4,0,1,0,0,0
2,37,0.1,0,1,0,0,0
2,38,0.3,0,1,0,0,0
2,39,0.0,0,1,0,0,0
2,40,2.7,0,1,0,0,0
2,41,3.6,0,1,0,0,0
2,42,2.8,0,1,0,0,0
2,43,2.7,0,1,0,0,0
2,44,2.4,0,1,0,0,0
2,45,1.8,0,1,0,0,0
2,46,1.6,0,1,0,0,0
2,47,2.0,0,1,0,0,0
2,48,1.2,0,1,0,0,0
2,49,0.5,0,1,0,0,0
2,50,0.1,0,1,0,0,0
2,51,0.3,0,1,0,0,0
2,52,0.1,0,1,0,0,0
3,1,7.7,0,0,1,0,0
3,2,9.0,0,0,1,0,0
3,3,4.9,0,0,1,0,0
3,4,7.4,0,0,1,0,0
3,5,5.9,0,0,1,0,0
3,6,4.1,0,0,1,0,0
3,7,4.4,0,0,1,0,0
3,8,4.4,0,0,1,0,0
3,9,3.8,0,0,1,0,0
3,10,1.3,0,0,1,0,0
3,11,1.0,0,0,1,0,0
3,12,1.1,0,0,1,0,0
3,13,0.9,0,0,1,0,0
3,14,7.4,0,0,1,0,0
3,15,6.6,0,0,1,0,0
3,16,3.7,0,0,1,0,0
3,17,3.6,0,0,1,0,0
3,18,2.6,0,0,1,0,0
3,19,1.8,0,0,1,0,0
3,20,1.9,0,0,1,0,0
3,21,1.5,0,0,1,0,0
3,22,1.2,0,0,1,0,0
3,23,0.6,0,0,1,0,0
3,24,0.3,0,0,1,0,0
3,25,0.3,0,0,1,0,0
3,26,0.0,0,0,1,0,0
3,27,7.8,0,0,1,0,0
3,28,5.2,0,0,1,0,0
3,29,4.0,0,0,1,0,0
3,30,4.0,0,0,1,0,0
3,31,4.2,0,0,1,0,0
3,32,4.3,0,0,1,0,0
3,33,4.0,0,0,1,0,0
3,34,2.7,0,0,1,0,0
3,35,2.1,0,0,1,0,0
3,36,0.4,0,0,1,0,0
3,37,0.2,0,0,1,0,0
3,38,0.0,0,0,1,0,0
3,39,0.1,0,0,1,0,0
3,40,4.5,0,0,1,0,0
3,41,5.9,0,0,1,0,0
3,42,3.7,0,0,1,0,0
3,43,5.8,0,0,1,0,0
3,44,6.0,0,0,1,0,0
3,45,5.7,0,0,1,0,0
3,46,6.3,0,0,1,0,0
3,47,6.3,0,0,1,0,0
3,48,5.4,0,0,1,0,0
3,49,3.5,0,0,1,0,0
3,50,3.0,0,0,1,0,0
3,51,1.4,0,0,1,0,0
3,52,0.6,0,0,1,0,0
3,53,1.1,0,0,1,0,0
3,54,5.6,0,0,1,0,0
3,55,3.7,0,0,1,0,0
3,56,3.4,0,0,1,0,0
3,57,3.4,0,0,1,0,0
3,58,2.2,0,0,1,0,0
3,59,2.0,0,0,1,0,0
3,60,1.9,0,0,1,0,0
3,61,1.9,0,0,1,0,0
3,62,0.6,0,0,1,0,0
3,63,0.6,0,0,1,0,0
3,64,0.2,0,0,1,0,0
3,65,0.2,0,0,1,0,0
4,1,7.6,0,0,0,1,0
4,2,6.8,0,0,0,1,0
4,3,4.0,0,0,0,1,0
4,4,5.5,0,0,0,1,0
4,5,5.0,0,0,0,1,0
4,6,3.6,0,0,0,1,0
4,7,4.2,0,0,0,1,0
4,8,4.0,0,0,0,1,0
4,9,2.8,0,0,0,1,0
4,10,2.2,0,0,0,1,0
4,11,0.3,0,0,0,1,0
4,12,0.0,0,0,0,1,0
4,13,0.0,0,0,0,1,0
4,14,7.4,0,0,0,1,0
4,15,5.4,0,0,0,1,0
4,16,3.8,0,0,0,1,0
4,17,4.0,0,0,0,1,0
4,18,3.6,0,0,0,1,0
4,19,2.7,0,0,0,1,0
4,20,2.4,0,0,0,1,0
4,21,3.0,0,0,0,1,0
4,22,2.9,0,0,0,1,0
4,23,3.0,0,0,0,1,0
4,24,1.3,0,0,0,1,0
4,25,1.5,0,0,0,1,0
4,26,0.0,0,0,0,1,0
4,27,7.8,0,0,0,1,0
4,28,6.0,0,0,0,1,0
4,29,3.6,0,0,0,1,0
4,30,4.8,0,0,0,1,0
4,31,4.2,0,0,0,1,0
4,32,6.3,0,0,0,1,0
4,33,6.4,0,0,0,1,0
4,34,6.3,0,0,0,1,0
4,35,4.8,0,0,0,1,0
4,36,3.3,0,0,0,1,0
4,37,1.4,0,0,0,1,0
4,38,1.3,0,0,0,1,0
4,39,0.2,0,0,0,1,0
4,40,1.1,0,0,0,1,0
4,41,3.2,0,0,0,1,0
4,42,2.5,0,0,0,1,0
4,43,5.3,0,0,0,1,0
4,44,8.4,0,0,0,1,0
4,45,6.1,0,0,0,1,0
4,46,5.0,0,0,0,1,0
4,47,5.4,0,0,0,1,0
4,48,3.4,0,0,0,1,0
4,49,2.8,0,0,0,1,0
4,50,2.2,0,0,0,1,0
4,51,2.0,0,0,0,1,0
4,52,1.1,0,0,0,1,0
4,53,4.5,0,0,0,1,0
4,54,5.3,0,0,0,1,0
4,55,4.8,0,0,0,1,0
4,56,5.6,0,0,0,1,0
4,57,6.5,0,0,0,1,0
4,58,5.8,0,0,0,1,0
4,59,6.6,0,0,0,1,0
4,60,5.7,0,0,0,1,0
4,61,4.0,0,0,0,1,0
4,62,3.0,0,0,0,1,0
4,63,0.9,0,0,0,1,0
4,64,1.3,0,0,0,1,0
4,65,1.6,0,0,0,1,0
5,1,7.5,0,0,0,0,1
5,2,7.1,0,0,0,0,1
5,3,4.6,0,0,0,0,1
5,4,7.3,0,0,0,0,1
5,5,6.5,0,0,0,0,1
5,6,4.5,0,0,0,0,1
5,7,3.0,0,0,0,0,1
5,8,3.7,0,0,0,0,1
5,9,0.6,0,0,0,0,1
5,10,0.0,0,0,0,0,1
5,11,0.0,0,0,0,0,1
5,12,0.0,0,0,0,0,1
5,13,0.0,0,0,0,0,1
5,14,6.9,0,0,0,0,1
5,15,5.5,0,0,0,0,1
5,16,4.2,0,0,0,0,1
5,17,5.1,0,0,0,0,1
5,18,4.6,0,0,0,0,1
5,19,3.9,0,0,0,0,1
5,20,4.1,0,0,0,0,1
5,21,4.7,0,0,0,0,1
5,22,2.7,0,0,0,0,1
5,23,0.4,0,0,0,0,1
5,24,0.2,0,0,0,0,1
5,25,0.0,0,0,0,0,1
5,26,0.0,0,0,0,0,1
5,27,7.7,0,0,0,0,1
5,28,6.0,0,0,0,0,1
5,29,4.1,0,0,0,0,1
5,30,5.9,0,0,0,0,1
5,31,5.2,0,0,0,0,1
5,32,4.9,0,0,0,0,1
5,33,4.2,0,0,0,0,1
5,34,4.2,0,0,0,0,1
5,35,2.3,0,0,0,0,1
5,36,0.9,0,0,0,0,1
5,37,0.1,0,0,0,0,1
5,38,0.0,0,0,0,0,1
5,39,0.0,0,0,0,0,1
5,40,0.9,0,0,0,0,1
5,41,4.0,0,0,0,0,1
5,42,4.7,0,0,0,0,1
5,43,5.7,0,0,0,0,1
5,44,5.9,0,0,0,0,1
5,45,6.7,0,0,0,0,1
5,46,6.8,0,0,0,0,1
5,47,5.6,0,0,0,0,1
5,48,5.8,0,0,0,0,1
5,49,4.9,0,0,0,0,1
5,50,3.8,0,0,0,0,1
5,51,2.5,0,0,0,0,1
5,52,0.4,0,0,0,0,1
5,53,3.5,0,0,0,0,1
5,54,6.0,0,0,0,0,1
5,55,4.4,0,0,0,0,1
5,56,7.0,0,0,0,0,1
5,57,8.6,0,0,0,0,1
5,58,8.0,0,0,0,0,1
5,59,10.2,0,0,0,0,1
5,60,7.5,0,0,0,0,1
5,61,7.8,0,0,0,0,1
5,62,4.3,0,0,0,0,1
