treatment,replicate,development (days),LP,LB,AP,AT,AO
1,1,11,1,0,0,0,0
1,2,12,1,0,0,0,0
1,3,13,1,0,0,0,0
1,4,11,1,0,0,0,0
1,5,11,1,0,0,0,0
1,6,11,1,0,0,0,0
1,7,11,1,0,0,0,0
1,8,11,1,0,0,0,0
1,9,11,1,0,0,0,0
1,10,11,1,0,0,0,0
1,11,11,1,0,0,0,0
1,12,11,1,0,0,0,0
1,13,12,1,0,0,0,0
1,14,13,1,0,0,0,0
1,15,13,1,0,0,0,0
1,16,11,1,0,0,0,0
1,17,11,1,0,0,0,0
1,18,10,1,0,0,0,0
1,19,11,1,0,0,0,0
1,20,11,1,0,0,0,0
1,21,11,1,0,0,0,0
1,22,10,1,0,0,0,0
1,23,10,1,0,0,0,0
1,24,10,1,0,0,0,0
2,1,10,0,1,0,0,0
2,2,10,0,1,0,0,0
2,3,10,0,1,0,0,0
2,4,10,0,1,0,0,0
2,5,10,0,1,0,0,0
2,6,10,0,1,0,0,0
2,7,10,0,1,0,0,0
2,8,10,0,1,0,0,0
2,9,10,0,1,0,0,0
2,10,10,0,1,0,0,0
2,11,10,0,1,0,0,0
2,12,10,0,1,0,0,0
2,13,9,0,1,0,0,0
2,14,11,0,1,0,0,0
2,15,11,0,1,0,0,0
2,16,9,0,1,0,0,0
2,17,10,0,1,0,0,0
2,18,10,0,1,0,0,0
2,19,11,0,1,0,0,0
2,20,11,0,1,0,0,0
2,21,11,0,1,0,0,0
2,22,10,0,1,0,0,0
2,23,10,0,1,0,0,0
2,24,10,0,1,0,0,0
3,1,11,0,0,1,0,0
3,2,11,0,0,1,0,0
3,3,11,0,0,1,0,0
3,4,10,0,0,1,0,0
3,5,10,0,0,1,0,0
3,6,11,0,0,1,0,0
3,7,10,0,0,1,0,0
3,8,10,0,0,1,0,0
3,9,11,0,0,1,0,0
3,10,10,0,0,1,0,0
3,11,10,0,0,1,0,0
3,12,10,0,0,1,0,0
3,13,11,0,0,1,0,0
3,14,12,0,0,1,0,0
3,15,12,0,0,1,0,0
3,16,10,0,0,1,0,0
3,17,10,0,0,1,0,0
3,18,11,0,0,1,0,0
3,19,11,0,0,1,0,0
3,20,10,0,0,1,0,0
3,21,11,0,0,1,0,0
3,22,10,0,0,1,0,0
3,23,10,0,0,1,0,0
3,24,10,0,0,1,0,0
4,1,11,0,0,0,1,0
4,2,11,0,0,0,1,0
4,3,11,0,0,0,1,0
4,4,10,0,0,0,1,0
4,5,10,0,0,0,1,0
4,6,11,0,0,0,1,0
4,7,10,0,0,0,1,0
4,8,11,0,0,0,1,0
4,9,11,0,0,0,1,0
4,10,10,0,0,0,1,0
4,11,10,0,0,0,1,0
4,12,10,0,0,0,1,0
4,13,10,0,0,0,1,0
4,14,11,0,0,0,1,0
4,15,11,0,0,0,1,0
4,16,10,0,0,0,1,0
4,17,10,0,0,0,1,0
4,18,11,0,0,0,1,0
4,19,11,0,0,0,1,0
4,20,11,0,0,0,1,0
4,21,10,0,0,0,1,0
4,22,10,0,0,0,1,0
4,23,10,0,0,0,1,0
4,24,10,0,0,0,1,0
5,1,10,0,0,0,0,1
5,2,10,0,0,0,0,1
5,3,11,0,0,0,0,1
5,4,9,0,0,0,0,1
5,5,10,0,0,0,0,1
5,6,10,0,0,0,0,1
5,7,10,0,0,0,0,1
5,8,10,0,0,0,0,1
5,9,11,0,0,0,0,1
5,10,10,0,0,0,0,1
5,11,10,0,0,0,0,1
5,12,10,0,0,0,0,1
5,13,9,0,0,0,0,1
5,14,9,0,0,0,0,1
5,15,10,0,0,0,0,1
5,16,9,0,0,0,0,1
5,17,9,0,0,0,0,1
5,18,9,0,0,0,0,1
5,19,10,0,0,0,0,1
5,20,11,0,0,0,0,1
5,21,10,0,0,0,0,1
5,22,10,0,0,0,0,1
5,23,10,0,0,0,0,1
5,24,10,0,0,0,0,1
6,1,10,1,1,0,0,0
6,2,10,1,1,0,0,0
6,3,11,1,1,0,0,0
6,4,9,1,1,0,0,0
