treatment,vial,development (days),experiment
1,1,11,heat
1,2,11,heat
1,3,11,heat
1,4,11,heat
1,5,11,heat
1,6,10,heat
2,1,10,heat
2,2,10,heat
2,3,10,heat
2,4,11,heat
2,5,11,heat
2,6,10,heat
3,1,11,heat
3,2,10,heat
3,3,11,heat
3,4,10,heat
3,5,10,heat
3,6,10,heat
4,1,10,heat
4,2,10,heat
4,3,10,heat
4,4,11,heat
4,5,10,heat
4,6,10,heat
5,1,10,heat
5,2,10,heat
5,3,11,heat
5,4,11,heat
5,5,10,heat
5,6,10,heat
6,1,11,heat
6,2,10,heat
6,3,10,heat
6,4,10,heat
6,5,10,heat
6,6,10,heat
7,1,11,heat
7,2,9,heat
7,3,10,heat
7,4,10,heat
7,5,10,heat
7,6,10,heat
9,1,11,heat
9,2,11,heat
9,3,10,heat
9,4,10,heat
9,5,10,heat
9,6,10,heat
10,1,11,heat
10,2,10,heat
10,3,10,heat
10,4,11,heat
11,1,10,heat
11,2,10,heat
11,3,11,heat
11,4,9,heat
12,1,10,heat
12,2,11,heat
12,3,11,heat
12,4,10,heat
12,5,10,heat
18,1,10,heat
18,2,10,heat
18,3,10,heat
18,4,10,heat
18,5,10,heat
18,6,10,heat
22,1,11,heat
22,2,10,heat
22,3,10,heat
22,4,10,heat
24,1,11,heat
24,2,10,heat
24,3,11,heat
24,4,10,heat
26,1,10,heat
26,2,10,heat
26,3,11,heat
26,4,11,heat
26,5,10,heat
26,6,10,heat
31,1,10,heat
31,2,10,heat
31,3,10,heat
31,4,10,heat
31,5,10,heat
31,6,10,heat
31,7,10,heat
32,1,10,heat
32,2,10,heat
32,3,11,heat
32,4,10,heat
32,5,10,heat
32,6,10,heat
1,1,12,no_heat
1,2,11,no_heat
1,3,10,no_heat
1,4,11,no_heat
2,1,11,no_heat
2,2,10,no_heat
2,3,10,no_heat
2,4,10,no_heat
2,5,10,no_heat
3,1,10,no_heat
3,2,10,no_heat
3,3,10,no_heat
3,4,10,no_heat
3,5,10,no_heat
4,1,10,no_heat
4,2,10,no_heat
4,3,10,no_heat
4,4,10,no_heat
4,5,10,no_heat
5,1,10,no_heat
5,2,11,no_heat
5,3,10,no_heat
5,4,9,no_heat
5,5,9,no_heat
6,1,10,no_heat
6,2,10,no_heat
6,3,11,no_heat
6,4,10,no_heat
6,5,9,no_heat
7,1,10,no_heat
7,2,10,no_heat
7,3,9,no_heat
7,4,10,no_heat
7,5,9,no_heat
9,1,10,no_heat
9,2,10,no_heat
9,3,10,no_heat
9,4,10,no_heat
9,5,10,no_heat
10,1,11,no_heat
10,2,10,no_heat
10,3,10,no_heat
10,4,9,no_heat
10,5,9,no_heat
11,1,10,no_heat
11,2,10,no_heat
11,3,10,no_heat
11,4,10,no_heat
11,5,10,no_heat
12,1,9,no_heat
12,2,10,no_heat
12,3,10,no_heat
12,4,9,no_heat
12,5,10,no_heat
18,1,9,no_heat
