treatment,vial,flip,pupae per female,experiment
5,1,1,16,antibiotics
5,1,2,21.5,antibiotics
5,1,3,19.8,antibiotics
5,1,4,21.7,antibiotics
5,1,5,19.4,antibiotics
5,1,6,19.2,antibiotics
5,1,7,7.888888889,antibiotics
5,1,8,3.888888889,antibiotics
5,1,9,0.888888889,antibiotics
5,1,10,0.555555556,antibiotics
5,1,11,0.142857143,antibiotics
5,2,1,19.3,antibiotics
5,2,2,24.5,antibiotics
5,2,3,24.6,antibiotics
5,2,4,19.6,antibiotics
5,2,5,23.33333333,antibiotics
5,2,6,26.625,antibiotics
5,2,7,16.125,antibiotics
5,2,8,8.75,antibiotics
5,2,9,1.25,antibiotics
5,2,10,0.857142857,antibiotics
5,2,11,0.333333333,antibiotics
5,3,1,20.8,antibiotics
5,3,2,26.5,antibiotics
5,3,3,26.88888889,antibiotics
5,3,4,22.44444444,antibiotics
5,3,5,21.11111111,antibiotics
5,3,6,24.875,antibiotics
5,3,7,7,antibiotics
5,3,8,1,antibiotics
5,3,9,0,antibiotics
5,3,10,0,antibiotics
5,3,11,0,antibiotics
9,1,1,14.8,antibiotics
9,1,2,19.8,antibiotics
9,1,3,21.5,antibiotics
9,1,4,21.4,antibiotics
9,1,5,23,antibiotics
9,1,6,18,antibiotics
9,1,7,4.1,antibiotics
9,1,8,4,antibiotics
9,1,9,1.4,antibiotics
9,1,10,0.5,antibiotics
9,1,11,0.3,antibiotics
9,2,1,19.5,antibiotics
9,2,2,25.1,antibiotics
9,2,3,25.2,antibiotics
9,2,4,24,antibiotics
9,2,5,18.3,antibiotics
9,2,6,19,antibiotics
9,2,7,10.77777778,antibiotics
9,2,8,7.111111111,antibiotics
9,2,9,1.333333333,antibiotics
9,2,10,0.111111111,antibiotics
9,2,11,0,antibiotics
9,3,1,20.8,antibiotics
9,3,2,25.7,antibiotics
9,3,3,24.6,antibiotics
9,3,4,20.7,antibiotics
9,3,5,17,antibiotics
9,3,6,12.2,antibiotics
9,3,7,17.33333333,antibiotics
9,3,8,7.333333333,antibiotics
9,3,9,3.428571429,antibiotics
9,3,10,0.714285714,antibiotics
9,3,11,0.5,antibiotics
15,1,1,18.9,antibiotics
15,1,2,24.1,antibiotics
15,1,3,26.3,antibiotics
15,1,4,25,antibiotics
15,1,5,19.1,antibiotics
15,1,6,20.2,antibiotics
15,1,7,17.11111111,antibiotics
15,1,8,10.55555556,antibiotics
15,1,9,3.625,antibiotics
15,1,10,1.25,antibiotics
15,1,11,0.75,antibiotics
15,2,1,17.9,antibiotics
15,2,2,22.2,antibiotics
15,2,3,21.5,antibiotics
15,2,4,21.2,antibiotics
15,2,5,18.6,antibiotics
15,2,6,12,antibiotics
15,2,7,12,antibiotics
15,2,8,4.5,antibiotics
15,2,9,0.666666667,antibiotics
15,2,10,0.222222222,antibiotics
15,2,11,0.222222222,antibiotics
15,3,1,19.1,antibiotics
15,3,2,26.9,antibiotics
15,3,3,28.5,antibiotics
15,3,4,23.7,antibiotics
15,3,5,23.1,antibiotics
15,3,6,21,antibiotics
15,3,7,14.88888889,antibiotics
15,3,8,4.777777778,antibiotics
15,3,9,0.875,antibiotics
15,3,10,0.625,antibiotics
15,3,11,0,antibiotics
18,1,1,14.7,antibiotics
18,1,2,16.2,antibiotics
18,1,3,16.7,antibiotics
18,1,4,17.6,antibiotics
18,1,5,12.66666667,antibiotics
18,1,6,13.75,antibiotics
18,1,7,15.75,antibiotics
18,1,8,4.625,antibiotics
18,1,9,1.5,antibiotics
18,1,10,0.625,antibiotics
18,1,11,0,antibiotics
18,2,1,17.9,antibiotics
18,2,2,22.1,antibiotics
18,2,3,22.9,antibiotics
18,2,4,21,antibiotics
18,2,5,15.4,antibiotics
18,2,6,15,antibiotics
18,2,7,7.875,antibiotics
18,2,8,5,antibiotics
18,2,9,2.428571429,antibiotics
18,2,10,0.833333333,antibiotics
18,2,11,0.4,antibiotics
18,3,1,14.6,antibiotics
18,3,2,20.9,antibiotics
18,3,3,21.9,antibiotics
18,3,4,17.5,antibiotics
18,3,5,18.6,antibiotics
18,3,6,17.2,antibiotics
18,3,7,10.1,antibiotics
18,3,8,7.888888889,antibiotics
18,3,9,3.25,antibiotics
18,3,10,1.125,antibiotics
18,3,11,0.25,antibiotics
21,1,1,12.4,antibiotics
21,1,2,19.3,antibiotics
21,1,3,20.5,antibiotics
21,1,4,22.9,antibiotics
21,1,5,19.2,antibiotics
21,1,6,17.77777778,antibiotics
21,1,7,5.5,antibiotics
21,1,8,6.857142857,antibiotics
21,1,9,2,antibiotics
21,1,10,1.333333333,antibiotics
21,1,11,0.666666667,antibiotics
21,2,1,15.3,antibiotics
21,2,2,16.3,antibiotics
21,2,3,16.4,antibiotics
21,2,4,20.9,antibiotics
21,2,5,14.1,antibiotics
21,2,6,16.66666667,antibiotics
21,2,7,8,antibiotics
21,2,8,5.25,antibiotics
21,2,9,2.125,antibiotics
21,2,10,0.142857143,antibiotics
21,2,11,0.333333333,antibiotics
21,3,1,17.7,antibiotics
21,3,2,15.8,antibiotics
21,3,3,29.6,antibiotics
21,3,4,21.9,antibiotics
21,3,5,18.7,antibiotics
21,3,6,21.22222222,antibiotics
21,3,7,9.888888889,antibiotics
21,3,8,4.333333333,antibiotics
21,3,9,1.333333333,antibiotics
21,3,10,0.777777778,antibiotics
21,3,11,0.125,antibiotics
29,1,1,14,antibiotics
29,1,2,23.6,antibiotics
29,1,3,26.5,antibiotics
29,1,4,22.55555556,antibiotics
29,1,5,18.88888889,antibiotics
29,1,6,20.22222222,antibiotics
29,1,7,12.75,antibiotics
29,1,8,8,antibiotics
29,1,9,4.333333333,antibiotics
29,1,10,1.333333333,antibiotics
29,1,11,0.6,antibiotics
29,2,1,14.4,antibiotics
29,2,2,28.33333333,antibiotics
29,2,3,27.11111111,antibiotics
29,2,4,21.66666667,antibiotics
29,2,5,20.11111111,antibiotics
29,2,6,18.44444444,antibiotics
29,2,7,11,antibiotics
29,2,8,4.875,antibiotics
29,2,9,0.5,antibiotics
29,2,10,0.25,antibiotics
29,2,11,0.125,antibiotics
29,3,1,20.9,antibiotics
29,3,2,24.7,antibiotics
29,3,3,23.8,antibiotics
29,3,4,19.9,antibiotics
29,3,5,18.4,antibiotics
29,3,6,21.33333333,antibiotics
29,3,7,17.11111111,antibiotics
29,3,8,5,antibiotics
29,3,9,1.777777778,antibiotics
29,3,10,0.25,antibiotics
29,3,11,0,antibiotics
31,1,1,11.9,antibiotics
31,1,2,18.55555556,antibiotics
31,1,3,20.66666667,antibiotics
31,1,4,20.88888889,antibiotics
31,1,5,16.33333333,antibiotics
31,1,6,17.77777778,antibiotics
31,1,7,23.625,antibiotics
31,1,8,3.875,antibiotics
31,1,9,0.875,antibiotics
31,1,10,0.428571429,antibiotics
31,1,11,0.571428571,antibiotics
31,2,1,22.9,antibiotics
31,2,2,23.8,antibiotics
31,2,3,21.5,antibiotics
31,2,4,19,antibiotics
31,2,5,20.33333333,antibiotics
31,2,6,18.88888889,antibiotics
31,2,7,14.33333333,antibiotics
31,2,8,5.333333333,antibiotics
31,2,9,2.875,antibiotics
31,2,10,0.625,antibiotics
31,2,11,0.285714286,antibiotics
31,3,1,17.4,antibiotics
31,3,2,22.5,antibiotics
31,3,3,21.3,antibiotics
31,3,4,19.4,antibiotics
31,3,5,16.8,antibiotics
31,3,6,16.6,antibiotics
31,3,7,6.4,antibiotics
31,3,8,2.1,antibiotics
31,3,9,0.5,antibiotics
31,3,10,0.3,antibiotics
31,3,11,0.1,antibiotics
32,1,1,13,antibiotics
32,1,2,13.3,antibiotics
32,1,3,9.8,antibiotics
32,1,4,10.3,antibiotics
32,1,5,6.3,antibiotics
32,1,6,7.777777778,antibiotics
32,1,7,4.875,antibiotics
32,1,8,1.571428571,antibiotics
32,1,9,0.571428571,antibiotics
32,1,10,0,antibiotics
32,1,11,0,antibiotics
32,2,1,11.1,antibiotics
32,2,2,13.7,antibiotics
32,2,3,10.2,antibiotics
32,2,4,9.1,antibiotics
32,2,5,4.777777778,antibiotics
32,2,6,5.285714286,antibiotics
32,2,7,8.142857143,antibiotics
32,2,8,2.285714286,antibiotics
32,2,9,0.714285714,antibiotics
32,2,10,0.285714286,antibiotics
32,2,11,0.142857143,antibiotics
32,3,1,12.6,antibiotics
32,3,2,12.7,antibiotics
32,3,3,10.44444444,antibiotics
32,3,4,6.444444444,antibiotics
32,3,5,5,antibiotics
32,3,6,4.666666667,antibiotics
32,3,7,5.888888889,antibiotics
32,3,8,1.625,antibiotics
32,3,9,0.125,antibiotics
32,3,10,0.125,antibiotics
32,3,11,0,antibiotics
5,1,0,1.7,GF_gnoto
5,1,1,16.1,GF_gnoto
5,1,2,14.1,GF_gnoto
5,1,3,12.7,GF_gnoto
5,1,4,10.4,GF_gnoto
5,1,5,12.22222222,GF_gnoto
5,1,6,4.222222222,GF_gnoto
5,1,7,3,GF_gnoto
5,1,8,4.125,GF_gnoto
5,1,9,5.8,GF_gnoto
5,1,10,0,GF_gnoto
5,2,0,11.4,GF_gnoto
5,2,1,15.88888889,GF_gnoto
5,2,2,14.88888889,GF_gnoto
5,2,3,12.55555556,GF_gnoto
5,2,4,14.44444444,GF_gnoto
5,2,5,13.44444444,GF_gnoto
5,2,6,6.125,GF_gnoto
5,2,7,2.5,GF_gnoto
5,2,8,8,GF_gnoto
5,2,9,6.5,GF_gnoto
5,2,10,2.6,GF_gnoto
5,3,0,20.5,GF_gnoto
5,3,1,14,GF_gnoto
5,3,2,18,GF_gnoto
5,3,3,14.9,GF_gnoto
5,3,4,15.66666667,GF_gnoto
5,3,5,18.75,GF_gnoto
5,3,6,13,GF_gnoto
5,3,7,4,GF_gnoto
5,3,8,5.142857143,GF_gnoto
5,3,9,2.333333333,GF_gnoto
5,3,10,0.166666667,GF_gnoto
5,4,0,14,GF_gnoto
5,4,1,13.5,GF_gnoto
5,4,2,12.7,GF_gnoto
5,4,3,11.8,GF_gnoto
5,4,4,10.6,GF_gnoto
5,4,5,10.2,GF_gnoto
5,4,6,5,GF_gnoto
5,4,7,2.666666667,GF_gnoto
5,4,8,6.571428571,GF_gnoto
5,4,9,7,GF_gnoto
5,4,10,0.833333333,GF_gnoto
5,5,0,11.9,GF_gnoto
5,5,1,11.8,GF_gnoto
5,5,2,12.8,GF_gnoto
5,5,3,10.8,GF_gnoto
5,5,4,9.7,GF_gnoto
5,5,5,10.6,GF_gnoto
5,5,6,4.111111111,GF_gnoto
5,5,7,1.666666667,GF_gnoto
5,5,8,6.285714286,GF_gnoto
5,5,9,1.285714286,GF_gnoto
5,5,10,0,GF_gnoto
9,1,0,21.2,GF_gnoto
9,1,1,18.8,GF_gnoto
9,1,2,17,GF_gnoto
9,1,3,16.125,GF_gnoto
9,1,4,14.625,GF_gnoto
9,1,5,14.85714286,GF_gnoto
9,1,6,12.83333333,GF_gnoto
9,1,7,9,GF_gnoto
9,1,8,9.833333333,GF_gnoto
9,1,9,9,GF_gnoto
9,1,10,2.666666667,GF_gnoto
9,2,0,13.6,GF_gnoto
9,2,1,14.7,GF_gnoto
9,2,2,12.9,GF_gnoto
9,2,3,13,GF_gnoto
9,2,4,13.33333333,GF_gnoto
9,2,5,14.66666667,GF_gnoto
9,2,6,9.333333333,GF_gnoto
9,2,7,3.777777778,GF_gnoto
9,2,8,7.444444444,GF_gnoto
9,2,9,2.666666667,GF_gnoto
9,2,10,2.428571429,GF_gnoto
9,3,0,8.2,GF_gnoto
9,3,1,11,GF_gnoto
9,3,2,11,GF_gnoto
9,3,3,9.7,GF_gnoto
9,3,4,13.22222222,GF_gnoto
9,3,5,13.33333333,GF_gnoto
9,3,6,11.42857143,GF_gnoto
9,3,7,4.571428571,GF_gnoto
9,3,8,11.33333333,GF_gnoto
9,3,9,9.166666667,GF_gnoto
9,3,10,6.833333333,GF_gnoto
9,4,0,16.6,GF_gnoto
9,4,1,18.8,GF_gnoto
9,4,2,17,GF_gnoto
9,4,3,15.1,GF_gnoto
9,4,4,12.88888889,GF_gnoto
9,4,5,11.88888889,GF_gnoto
9,4,6,7.75,GF_gnoto
9,4,7,2.125,GF_gnoto
9,4,8,6.5,GF_gnoto
9,4,9,4.625,GF_gnoto
9,4,10,0.666666667,GF_gnoto
9,5,0,16.9,GF_gnoto
9,5,1,16.4,GF_gnoto
9,5,2,14,GF_gnoto
9,5,3,9.2,GF_gnoto
9,5,4,8.5,GF_gnoto
