treatment,replicate,time to death (days),experiment
5,1,25,antibiotics
5,2,37,antibiotics
5,3,37,antibiotics
5,4,40,antibiotics
5,5,51,antibiotics
5,6,56,antibiotics
5,7,62,antibiotics
5,8,65,antibiotics
5,9,71,antibiotics
5,10,71,antibiotics
5,11,19,antibiotics
5,12,22,antibiotics
5,13,34,antibiotics
5,14,37,antibiotics
5,15,44,antibiotics
5,16,47,antibiotics
5,17,52,antibiotics
5,18,57,antibiotics
5,19,59,antibiotics
5,20,60,antibiotics
5,21,13,antibiotics
5,22,22,antibiotics
5,23,25,antibiotics
5,24,25,antibiotics
5,25,31,antibiotics
5,26,37,antibiotics
5,27,49,antibiotics
5,28,51,antibiotics
5,29,57,antibiotics
5,30,59,antibiotics
9,1,42,antibiotics
9,2,50,antibiotics
9,3,51,antibiotics
9,4,51,antibiotics
9,5,57,antibiotics
9,6,57,antibiotics
9,7,58,antibiotics
9,8,70,antibiotics
9,9,70,antibiotics
9,10,70,antibiotics
9,11,25,antibiotics
9,12,37,antibiotics
9,13,47,antibiotics
9,14,50,antibiotics
9,15,51,antibiotics
9,16,52,antibiotics
9,17,52,antibiotics
9,18,59,antibiotics
9,19,67,antibiotics
9,20,70,antibiotics
9,21,25,antibiotics
9,22,31,antibiotics
9,23,31,antibiotics
9,24,37,antibiotics
9,25,40,antibiotics
9,26,49,antibiotics
9,27,60,antibiotics
9,28,60,antibiotics
9,29,71,antibiotics
9,30,71,antibiotics
15,1,25,antibiotics
15,2,31,antibiotics
15,3,45,antibiotics
15,4,47,antibiotics
15,5,51,antibiotics
15,6,52,antibiotics
15,7,52,antibiotics
15,8,52,antibiotics
15,9,52,antibiotics
15,10,72,antibiotics
15,11,31,antibiotics
15,12,42,antibiotics
15,13,42,antibiotics
15,14,44,antibiotics
15,15,51,antibiotics
15,16,56,antibiotics
15,17,56,antibiotics
15,18,65,antibiotics
15,19,65,antibiotics
15,20,66,antibiotics
15,21,25,antibiotics
15,22,31,antibiotics
15,23,37,antibiotics
15,24,50,antibiotics
15,25,58,antibiotics
15,26,63,antibiotics
15,27,64,antibiotics
15,28,64,antibiotics
15,29,70,antibiotics
15,30,71,antibiotics
18,1,19,antibiotics
18,2,22,antibiotics
18,3,37,antibiotics
18,4,42,antibiotics
18,5,42,antibiotics
18,6,44,antibiotics
18,7,51,antibiotics
18,8,58,antibiotics
18,9,59,antibiotics
18,10,71,antibiotics
18,11,25,antibiotics
18,12,25,antibiotics
18,13,28,antibiotics
18,14,34,antibiotics
18,15,37,antibiotics
18,16,40,antibiotics
18,17,42,antibiotics
18,18,44,antibiotics
18,19,48,antibiotics
18,20,49,antibiotics
18,21,28,antibiotics
18,22,31,antibiotics
18,23,42,antibiotics
18,24,51,antibiotics
18,25,52,antibiotics
18,26,55,antibiotics
18,27,59,antibiotics
18,28,60,antibiotics
18,29,60,antibiotics
18,30,63,antibiotics
21,1,22,antibiotics
21,2,25,antibiotics
21,3,28,antibiotics
21,4,31,antibiotics
21,5,44,antibiotics
21,6,51,antibiotics
21,7,58,antibiotics
21,8,59,antibiotics
21,9,62,antibiotics
21,10,72,antibiotics
21,11,22,antibiotics
21,12,25,antibiotics
21,13,34,antibiotics
21,14,37,antibiotics
21,15,44,antibiotics
21,16,57,antibiotics
21,17,64,antibiotics
21,18,65,antibiotics
21,19,65,antibiotics
21,20,72,antibiotics
21,21,22,antibiotics
21,22,37,antibiotics
21,23,40,antibiotics
21,24,44,antibiotics
21,25,44,antibiotics
21,26,50,antibiotics
21,27,50,antibiotics
21,28,60,antibiotics
21,29,62,antibiotics
21,30,64,antibiotics
29,1,16,antibiotics
29,2,25,antibiotics
29,3,28,antibiotics
29,4,31,antibiotics
29,5,37,antibiotics
29,6,44,antibiotics
29,7,51,antibiotics
29,8,58,antibiotics
29,9,62,antibiotics
29,10,70,antibiotics
