treatment,replicate,time to death (days),LP,LB,AP,AT,AO
1,1,29,1,0,0,0,0
1,2,32,1,0,0,0,0
1,3,32,1,0,0,0,0
1,4,32,1,0,0,0,0
1,5,33,1,0,0,0,0
1,6,33,1,0,0,0,0
1,7,36,1,0,0,0,0
1,8,37,1,0,0,0,0
1,9,41,1,0,0,0,0
1,10,41,1,0,0,0,0
1,11,42,1,0,0,0,0
1,12,43,1,0,0,0,0
1,13,47,1,0,0,0,0
1,14,48,1,0,0,0,0
1,15,53,1,0,0,0,0
1,16,58,1,0,0,0,0
1,17,62,1,0,0,0,0
1,18,63,1,0,0,0,0
1,19,64,1,0,0,0,0
1,20,66,1,0,0,0,0
1,21,38,1,0,0,0,0
1,22,39,1,0,0,0,0
1,23,41,1,0,0,0,0
1,24,45,1,0,0,0,0
1,25,46,1,0,0,0,0
1,26,46,1,0,0,0,0
1,27,49,1,0,0,0,0
1,28,51,1,0,0,0,0
1,29,53,1,0,0,0,0
1,30,59,1,0,0,0,0
1,31,61,1,0,0,0,0
1,32,61,1,0,0,0,0
1,33,63,1,0,0,0,0
1,34,64,1,0,0,0,0
1,35,64,1,0,0,0,0
1,36,64,1,0,0,0,0
1,37,67,1,0,0,0,0
1,38,70,1,0,0,0,0
1,39,74,1,0,0,0,0
1,40,74,1,0,0,0,0
1,41,14,1,0,0,0,0
1,42,17,1,0,0,0,0
1,43,18,1,0,0,0,0
1,44,29,1,0,0,0,0
1,45,29,1,0,0,0,0
1,46,31,1,0,0,0,0
1,47,33,1,0,0,0,0
1,48,37,1,0,0,0,0
1,49,38,1,0,0,0,0
1,50,39,1,0,0,0,0
1,51,40,1,0,0,0,0
1,52,42,1,0,0,0,0
1,53,45,1,0,0,0,0
1,54,47,1,0,0,0,0
1,55,49,1,0,0,0,0
1,56,51,1,0,0,0,0
1,57,51,1,0,0,0,0
1,58,57,1,0,0,0,0
1,59,64,1,0,0,0,0
1,60,67,1,0,0,0,0
1,61,15,1,0,0,0,0
1,62,17,1,0,0,0,0
1,63,34,1,0,0,0,0
1,64,38,1,0,0,0,0
1,65,42,1,0,0,0,0
1,66,44,1,0,0,0,0
1,67,46,1,0,0,0,0
1,68,47,1,0,0,0,0
1,69,51,1,0,0,0,0
1,70,52,1,0,0,0,0
1,71,55,1,0,0,0,0
1,72,55,1,0,0,0,0
1,73,56,1,0,0,0,0
1,74,57,1,0,0,0,0
1,75,58,1,0,0,0,0
1,76,62,1,0,0,0,0
1,77,63,1,0,0,0,0
1,78,64,1,0,0,0,0
1,79,65,1,0,0,0,0
1,80,71,1,0,0,0,0
1,81,11,1,0,0,0,0
1,82,17,1,0,0,0,0
1,83,18,1,0,0,0,0
1,84,20,1,0,0,0,0
1,85,29,1,0,0,0,0
1,86,36,1,0,0,0,0
1,87,37,1,0,0,0,0
1,88,38,1,0,0,0,0
1,89,45,1,0,0,0,0
1,90,46,1,0,0,0,0
1,91,50,1,0,0,0,0
1,92,51,1,0,0,0,0
1,93,52,1,0,0,0,0
1,94,53,1,0,0,0,0
1,95,53,1,0,0,0,0
1,96,53,1,0,0,0,0
1,97,53,1,0,0,0,0
1,98,59,1,0,0,0,0
1,99,65,1,0,0,0,0
1,100,68,1,0,0,0,0
2,1,33,0,1,0,0,0
2,2,34,0,1,0,0,0
2,3,38,0,1,0,0,0
2,4,39,0,1,0,0,0
2,5,44,0,1,0,0,0
2,6,45,0,1,0,0,0
2,7,45,0,1,0,0,0
2,8,46,0,1,0,0,0
2,9,50,0,1,0,0,0
2,10,50,0,1,0,0,0
2,11,51,0,1,0,0,0
2,12,53,0,1,0,0,0
2,13,56,0,1,0,0,0
2,14,60,0,1,0,0,0
2,15,61,0,1,0,0,0
2,16,64,0,1,0,0,0
2,17,65,0,1,0,0,0
2,18,65,0,1,0,0,0
2,19,70,0,1,0,0,0
2,20,71,0,1,0,0,0
2,21,18,0,1,0,0,0
2,22,34,0,1,0,0,0
2,23,42,0,1,0,0,0
2,24,44,0,1,0,0,0
