analysis_set,bootstrap,method,auprc,omitted_taxa,fit_status,detail
butyrate_assembly_2021,1,PLNNetwork,0.714966112869843,0,complete,""
butyrate_assembly_2021,2,PLNNetwork,0.72505959035625,0,complete,""
butyrate_assembly_2021,3,PLNNetwork,0.782500393140068,0,complete,""
butyrate_assembly_2021,4,PLNNetwork,0.757023336685761,0,complete,""
butyrate_assembly_2021,5,PLNNetwork,0.809768593237597,0,complete,""
butyrate_assembly_2021,1,Poisson GLMNet,0.664788855012388,0,complete,""
butyrate_assembly_2021,2,Poisson GLMNet,0.700952025399922,0,complete,""
butyrate_assembly_2021,3,Poisson GLMNet,0.672191005530666,0,complete,""
butyrate_assembly_2021,4,Poisson GLMNet,0.666049818115192,0,complete,""
butyrate_assembly_2021,5,Poisson GLMNet,0.694279985005297,0,complete,""
butyrate_assembly_2021,1,SPIEC-EASI,0.734311740890688,0,complete,""
butyrate_assembly_2021,2,SPIEC-EASI,0.734311740890688,0,complete,""
butyrate_assembly_2021,3,SPIEC-EASI,0.734311740890688,0,complete,""
butyrate_assembly_2021,4,SPIEC-EASI,0.730769230769231,0,complete,""
butyrate_assembly_2021,5,SPIEC-EASI,0.734311740890688,0,complete,""
butyrate_assembly_2021,1,SparCC,0.732416186437286,0,complete,""
butyrate_assembly_2021,2,SparCC,0.719996764483016,0,complete,""
butyrate_assembly_2021,3,SparCC,0.748551428409936,0,complete,""
butyrate_assembly_2021,4,SparCC,0.827789908132927,0,complete,""
butyrate_assembly_2021,5,SparCC,0.762967542871654,0,complete,""
carlstrom_phyllosphere_2019,1,PLNNetwork,0.124368048533873,0,complete,""
carlstrom_phyllosphere_2019,2,PLNNetwork,0.124368048533873,0,complete,""
carlstrom_phyllosphere_2019,3,PLNNetwork,0.124368048533873,0,complete,""
carlstrom_phyllosphere_2019,4,PLNNetwork,0.124368048533873,1,complete,""
carlstrom_phyllosphere_2019,5,PLNNetwork,0.124368048533873,0,complete,""
carlstrom_phyllosphere_2019,1,Poisson GLMNet,0.13843981666819,0,complete,""
carlstrom_phyllosphere_2019,2,Poisson GLMNet,0.195398844889504,0,complete,""
carlstrom_phyllosphere_2019,3,Poisson GLMNet,0.137522887472223,0,complete,""
carlstrom_phyllosphere_2019,4,Poisson GLMNet,0.188745598426364,1,complete,""
carlstrom_phyllosphere_2019,5,Poisson GLMNet,0.127051949189109,0,complete,""
carlstrom_phyllosphere_2019,1,SPIEC-EASI,0.134859159052111,0,complete,""
carlstrom_phyllosphere_2019,2,SPIEC-EASI,0.135742113247367,0,complete,""
carlstrom_phyllosphere_2019,3,SPIEC-EASI,0.135155819707843,0,complete,""
carlstrom_phyllosphere_2019,4,SPIEC-EASI,0.140033868488331,1,complete,""
carlstrom_phyllosphere_2019,5,SPIEC-EASI,0.131487007488882,0,complete,""
carlstrom_phyllosphere_2019,1,SparCC,0.15239700088284,0,complete,""
carlstrom_phyllosphere_2019,2,SparCC,0.145386239161154,0,complete,""
carlstrom_phyllosphere_2019,3,SparCC,0.126703106252074,0,complete,""
carlstrom_phyllosphere_2019,4,SparCC,0.146425651276155,1,complete,""
carlstrom_phyllosphere_2019,5,SparCC,0.126172703403401,0,complete,""
schafer_phyllosphere_2022,1,PLNNetwork,0.115108784134331,1,complete,""
schafer_phyllosphere_2022,2,PLNNetwork,0.0897008758021635,1,complete,""
schafer_phyllosphere_2022,3,PLNNetwork,0.0955226783502973,1,complete,""
schafer_phyllosphere_2022,4,PLNNetwork,0.0860089235522295,1,complete,""
schafer_phyllosphere_2022,5,PLNNetwork,0.0775275220897366,1,complete,""
schafer_phyllosphere_2022,1,Poisson GLMNet,0.0646330707060313,1,complete,""
schafer_phyllosphere_2022,2,Poisson GLMNet,0.0595831586279322,1,complete,""
schafer_phyllosphere_2022,3,Poisson GLMNet,0.0409512589650467,1,complete,""
schafer_phyllosphere_2022,4,Poisson GLMNet,0.108883086394573,1,complete,""
schafer_phyllosphere_2022,5,Poisson GLMNet,0.0674092516171776,1,complete,""
schafer_phyllosphere_2022,1,SPIEC-EASI,0.0249343832020997,1,complete,""
schafer_phyllosphere_2022,2,SPIEC-EASI,0.0249343832020997,1,complete,""
schafer_phyllosphere_2022,3,SPIEC-EASI,0.0374361099599392,1,complete,""
schafer_phyllosphere_2022,4,SPIEC-EASI,0.0374361099599392,1,complete,""
schafer_phyllosphere_2022,5,SPIEC-EASI,0.0249343832020997,1,complete,""
schafer_phyllosphere_2022,1,SparCC,0.0956990268725491,1,complete,""
schafer_phyllosphere_2022,2,SparCC,0.106373513949148,1,complete,""
schafer_phyllosphere_2022,3,SparCC,0.0943752129633697,1,complete,""
schafer_phyllosphere_2022,4,SparCC,0.0861032048855145,1,complete,""
schafer_phyllosphere_2022,5,SparCC,0.0954968925673611,1,complete,""
