analysis_set,budget_fraction,mean_auprc,lower_quartile,upper_quartile,measured_pairs,valid_repeats,system,budget_label
butyrate_assembly_2021,0.2,0.81348596452688,0.748713779150713,0.888556370221416,21,200,Butyrate,"20%
(n=21)"
butyrate_assembly_2021,0.4,0.838542553335571,0.785193470234831,0.906816104902042,42,200,Butyrate,"40%
(n=42)"
butyrate_assembly_2021,0.6,0.853643034154243,0.796972541347541,0.932508018418308,63,200,Butyrate,"60%
(n=63)"
butyrate_assembly_2021,0.8,0.866158583511171,0.807219315641092,0.940337696654696,83,200,Butyrate,"80%
(n=83)"
carlstrom_phyllosphere_2019,0.2,0.241191170671941,0.192769034059696,0.288490184873653,198,200,Carlström,"20%
(n=198)"
carlstrom_phyllosphere_2019,0.4,0.254994568378647,0.209317947699962,0.299230492240656,396,200,Carlström,"40%
(n=396)"
carlstrom_phyllosphere_2019,0.6,0.268784155240849,0.223492026877459,0.313563341408253,594,200,Carlström,"60%
(n=594)"
carlstrom_phyllosphere_2019,0.8,0.278289341303737,0.229161620706898,0.322546023293959,791,200,Carlström,"80%
(n=791)"
schafer_phyllosphere_2022,0.2,0.268962565250363,0.159204622918856,0.350838706172124,305,200,Schäfer,"20%
(n=305)"
schafer_phyllosphere_2022,0.4,0.308457180376095,0.202808690851167,0.392751759814979,610,200,Schäfer,"40%
(n=610)"
schafer_phyllosphere_2022,0.6,0.323376161133073,0.219154385570741,0.416537910718625,915,200,Schäfer,"60%
(n=915)"
schafer_phyllosphere_2022,0.8,0.332450997175994,0.235209921526886,0.421713122304619,1219,200,Schäfer,"80%
(n=1,219)"
friedman_microcosm_2017,0.2,0.594435515873016,0.5,0.684259259259259,6,200,Friedman,"20%
(n=6)"
friedman_microcosm_2017,0.4,0.584597139550264,0.5,0.65078125,12,200,Friedman,"40%
(n=12)"
friedman_microcosm_2017,0.6,0.571355373677249,0.5,0.641369047619048,17,200,Friedman,"60%
(n=17)"
friedman_microcosm_2017,0.8,0.553168667328042,0.49702380952381,0.611458333333333,22,200,Friedman,"80%
(n=22)"
