analysis_set,budget_fraction,mean_auprc,se_auprc,minimum_measured_pairs,maximum_measured_pairs,folds,lower_se,upper_se,system,representative_pairs,pair_count_label,budget_label,method_label
butyrate_assembly_2021,0.2,0.840777368944552,0.0276150205566974,21,21,5,0.813162348387854,0.868392389501249,Butyrate,21,21,21,"Supervised
Model"
butyrate_assembly_2021,0.4,0.897275961772576,0.0271060137610709,42,42,5,0.870169948011505,0.924381975533646,Butyrate,42,42,42,"Supervised
Model"
butyrate_assembly_2021,0.6,0.864107584194272,0.0238872826889202,63,63,5,0.840220301505351,0.887994866883192,Butyrate,63,63,63,"Supervised
Model"
butyrate_assembly_2021,0.8,0.867064754793567,0.0283548352115507,83,84,5,0.838709919582016,0.895419590005117,Butyrate,84,84,84,"Supervised
Model"
carlstrom_phyllosphere_2019,0.2,0.252682071357789,0.0133925097115155,198,198,5,0.239289561646273,0.266074581069304,Carlström,198,198,198,"Supervised
Model"
carlstrom_phyllosphere_2019,0.4,0.259514250954212,0.0159858619084109,396,396,5,0.243528389045802,0.275500112862623,Carlström,396,396,396,"Supervised
Model"
carlstrom_phyllosphere_2019,0.6,0.26123570975327,0.0242894999382942,594,594,5,0.236946209814976,0.285525209691565,Carlström,594,594,594,"Supervised
Model"
carlstrom_phyllosphere_2019,0.8,0.275006298913974,0.0246653630663288,791,792,5,0.250340935847645,0.299671661980303,Carlström,792,792,792,"Supervised
Model"
schafer_phyllosphere_2022,0.2,0.266377856601872,0.0856075664120054,305,305,5,0.180770290189867,0.351985423013878,Schäfer,305,305,305,"Supervised
Model"
schafer_phyllosphere_2022,0.4,0.273373874741763,0.0810290518047074,610,610,5,0.192344822937056,0.354402926546471,Schäfer,610,610,610,"Supervised
Model"
schafer_phyllosphere_2022,0.6,0.31786357064717,0.0909201712942632,915,915,5,0.226943399352907,0.408783741941434,Schäfer,915,915,915,"Supervised
Model"
schafer_phyllosphere_2022,0.8,0.349662435687441,0.0895056377813082,1219,1220,5,0.260156797906133,0.439168073468749,Schäfer,1220,"1,220","1,220","Supervised
Model"
