analysis_set,mean_auprc,se_auprc,folds,lower_se,upper_se,budget_fraction,budget_label,system,method_label
butyrate_assembly_2021,0.716829650369124,0.0343862013693279,5,0.682443448999796,0.751215851738452,0.2,21,Butyrate,OneNet
butyrate_assembly_2021,0.716829650369124,0.0343862013693279,5,0.682443448999796,0.751215851738452,0.4,42,Butyrate,OneNet
butyrate_assembly_2021,0.716829650369124,0.0343862013693279,5,0.682443448999796,0.751215851738452,0.6,63,Butyrate,OneNet
butyrate_assembly_2021,0.716829650369124,0.0343862013693279,5,0.682443448999796,0.751215851738452,0.8,84,Butyrate,OneNet
carlstrom_phyllosphere_2019,0.125299555868311,0.00849427841574129,5,0.11680527745257,0.133793834284052,0.2,198,Carlström,OneNet
carlstrom_phyllosphere_2019,0.125299555868311,0.00849427841574129,5,0.11680527745257,0.133793834284052,0.4,396,Carlström,OneNet
carlstrom_phyllosphere_2019,0.125299555868311,0.00849427841574129,5,0.11680527745257,0.133793834284052,0.6,594,Carlström,OneNet
carlstrom_phyllosphere_2019,0.125299555868311,0.00849427841574129,5,0.11680527745257,0.133793834284052,0.8,792,Carlström,OneNet
schafer_phyllosphere_2022,0.181399771549107,0.0329428607055589,5,0.148456910843548,0.214342632254666,0.2,305,Schäfer,OneNet
schafer_phyllosphere_2022,0.181399771549107,0.0329428607055589,5,0.148456910843548,0.214342632254666,0.4,610,Schäfer,OneNet
schafer_phyllosphere_2022,0.181399771549107,0.0329428607055589,5,0.148456910843548,0.214342632254666,0.6,915,Schäfer,OneNet
schafer_phyllosphere_2022,0.181399771549107,0.0329428607055589,5,0.148456910843548,0.214342632254666,0.8,"1,220",Schäfer,OneNet
