analysis_set,fold,design,budget_fraction,budget_pairs,training_positives,training_positive_fraction,training_taxa,test_pairs,test_positives,auprc,auroc,model_fitted
butyrate_assembly_2021,1,Old random,0.2,21,17,0.8095238095238095,20,21,16,0.8893384393384394,0.6875,True
butyrate_assembly_2021,1,Old random,0.4,42,32,0.7619047619047619,23,21,16,0.8100922617007176,0.5625,True
butyrate_assembly_2021,1,Old random,0.6,63,46,0.7301587301587301,25,21,16,0.8374360117007176,0.6,True
butyrate_assembly_2021,1,Old random,0.8,83,60,0.7228915662650602,26,21,16,0.8245828150070604,0.5875,True
butyrate_assembly_2021,1,Taxon coverage,0.2,21,15,0.7142857142857143,26,21,16,0.8603453837828838,0.6375,True
butyrate_assembly_2021,1,Taxon coverage,0.4,42,25,0.5952380952380952,26,21,16,0.8739761300253754,0.6625,True
butyrate_assembly_2021,1,Taxon coverage,0.6,63,43,0.6825396825396826,26,21,16,0.8192482190474644,0.5625,True
butyrate_assembly_2021,1,Taxon coverage,0.8,83,60,0.7228915662650602,26,21,16,0.8245828150070604,0.5875,True
butyrate_assembly_2021,2,Old random,0.2,21,16,0.7619047619047619,19,21,15,0.7597835497835498,0.5444444444444445,True
butyrate_assembly_2021,2,Old random,0.4,42,32,0.7619047619047619,23,21,15,0.9441161997044349,0.8777777777777779,True
butyrate_assembly_2021,2,Old random,0.6,63,48,0.7619047619047619,25,21,15,0.9313872619754973,0.8555555555555556,True
butyrate_assembly_2021,2,Old random,0.8,83,61,0.7349397590361446,26,21,15,0.9558085433085433,0.9111111111111112,True
butyrate_assembly_2021,2,Taxon coverage,0.2,21,15,0.7142857142857143,26,21,15,0.967234073116426,0.9111111111111111,True
butyrate_assembly_2021,2,Taxon coverage,0.4,42,31,0.7380952380952381,26,21,15,0.952132072720308,0.9000000000000001,True
butyrate_assembly_2021,2,Taxon coverage,0.6,63,47,0.746031746031746,26,21,15,0.9397205953088306,0.8666666666666667,True
butyrate_assembly_2021,2,Taxon coverage,0.8,83,61,0.7349397590361446,26,21,15,0.9558085433085433,0.9111111111111112,True
butyrate_assembly_2021,3,Old random,0.2,21,17,0.8095238095238095,19,21,15,0.7894740135452211,0.6666666666666667,True
butyrate_assembly_2021,3,Old random,0.4,42,32,0.7619047619047619,26,21,15,0.9397205953088306,0.8666666666666667,True
butyrate_assembly_2021,3,Old random,0.6,63,47,0.746031746031746,26,21,15,0.7904406160288513,0.7222222222222223,True
butyrate_assembly_2021,3,Old random,0.8,83,61,0.7349397590361446,26,21,15,0.7904406160288513,0.7222222222222223,True
butyrate_assembly_2021,3,Taxon coverage,0.2,21,19,0.9047619047619048,26,21,15,0.7696003414656666,0.5111111111111111,True
butyrate_assembly_2021,3,Taxon coverage,0.4,42,36,0.8571428571428571,26,21,15,0.8762871768754121,0.7777777777777779,True
butyrate_assembly_2021,3,Taxon coverage,0.6,63,49,0.7777777777777778,26,21,15,0.849871054871055,0.7444444444444445,True
butyrate_assembly_2021,3,Taxon coverage,0.8,83,61,0.7349397590361446,26,21,15,0.7904406160288513,0.7222222222222223,True
butyrate_assembly_2021,4,Old random,0.2,21,17,0.8095238095238095,17,21,15,0.8925375659199188,0.7666666666666666,True
butyrate_assembly_2021,4,Old random,0.4,42,29,0.6904761904761905,25,21,15,0.8568810002633532,0.7444444444444445,True
butyrate_assembly_2021,4,Old random,0.6,63,45,0.7142857142857143,26,21,15,0.8706157567922274,0.7333333333333333,True
butyrate_assembly_2021,4,Old random,0.8,83,61,0.7349397590361446,26,21,15,0.8764336102493997,0.7555555555555555,True
butyrate_assembly_2021,4,Taxon coverage,0.2,21,14,0.6666666666666666,26,21,15,0.8579983741748447,0.6777777777777777,True
butyrate_assembly_2021,4,Taxon coverage,0.4,42,32,0.7619047619047619,26,21,15,0.8503348778271379,0.7,True
butyrate_assembly_2021,4,Taxon coverage,0.6,63,45,0.7142857142857143,26,21,15,0.8832990266813796,0.7777777777777778,True
butyrate_assembly_2021,4,Taxon coverage,0.8,83,61,0.7349397590361446,26,21,15,0.8764336102493997,0.7555555555555555,True
butyrate_assembly_2021,5,Old random,0.2,21,16,0.7619047619047619,19,20,15,0.872753276135629,0.6533333333333333,True
butyrate_assembly_2021,5,Old random,0.4,42,31,0.7380952380952381,24,20,15,0.9355697518855413,0.8133333333333335,True
butyrate_assembly_2021,5,Old random,0.6,63,45,0.7142857142857143,25,20,15,0.8906582744740639,0.72,True
butyrate_assembly_2021,5,Old random,0.8,84,61,0.7261904761904762,25,20,15,0.8880581893739788,0.7066666666666667,True
butyrate_assembly_2021,5,Taxon coverage,0.2,21,16,0.7619047619047619,25,20,15,0.8009755821520528,0.5733333333333334,True
butyrate_assembly_2021,5,Taxon coverage,0.4,42,34,0.8095238095238095,25,20,15,0.8150507934331465,0.6266666666666667,True
butyrate_assembly_2021,5,Taxon coverage,0.6,63,50,0.7936507936507936,25,20,15,0.8559231131212556,0.6933333333333334,True
butyrate_assembly_2021,5,Taxon coverage,0.8,84,61,0.7261904761904762,25,20,15,0.8880581893739788,0.7066666666666667,True
carlstrom_phyllosphere_2019,1,Old random,0.2,198,30,0.15151515151515152,55,198,25,0.25191924982506086,0.6758381502890174,True
carlstrom_phyllosphere_2019,1,Old random,0.4,396,53,0.13383838383838384,55,198,25,0.2084976475699894,0.6591907514450868,True
carlstrom_phyllosphere_2019,1,Old random,0.6,594,78,0.13131313131313133,55,198,25,0.18572190994225246,0.6365317919075144,True
carlstrom_phyllosphere_2019,1,Old random,0.8,791,98,0.12389380530973451,55,198,25,0.19853389411271966,0.6369942196531793,True
carlstrom_phyllosphere_2019,1,Taxon coverage,0.2,198,24,0.12121212121212122,55,198,25,0.20226996981797488,0.6289017341040463,True
carlstrom_phyllosphere_2019,1,Taxon coverage,0.4,396,44,0.1111111111111111,55,198,25,0.26604476151543294,0.6559537572254335,True
carlstrom_phyllosphere_2019,1,Taxon coverage,0.6,594,69,0.11616161616161616,55,198,25,0.22807472539385396,0.6494797687861271,True
carlstrom_phyllosphere_2019,1,Taxon coverage,0.8,791,98,0.12389380530973451,55,198,25,0.19853389411271966,0.6369942196531793,True
carlstrom_phyllosphere_2019,2,Old random,0.2,198,24,0.12121212121212122,55,198,25,0.20968173305407548,0.6941040462427746,True
carlstrom_phyllosphere_2019,2,Old random,0.4,396,54,0.13636363636363635,55,198,25,0.26836861718540844,0.7273988439306358,True
carlstrom_phyllosphere_2019,2,Old random,0.6,594,74,0.12457912457912458,55,198,25,0.2378363796199217,0.7257803468208093,True
carlstrom_phyllosphere_2019,2,Old random,0.8,791,98,0.12389380530973451,55,198,25,0.2564048634224435,0.741271676300578,True
carlstrom_phyllosphere_2019,2,Taxon coverage,0.2,198,27,0.13636363636363635,55,198,25,0.21924884232867203,0.6853179190751446,True
carlstrom_phyllosphere_2019,2,Taxon coverage,0.4,396,54,0.13636363636363635,55,198,25,0.2176280214296985,0.7028901734104046,True
carlstrom_phyllosphere_2019,2,Taxon coverage,0.6,594,77,0.12962962962962962,55,198,25,0.2780388715942505,0.7505202312138728,True
