analysis_set,design,budget_fraction,folds,budget_pairs,mean_training_positives,mean_training_taxa,mean_auprc,sd_auprc,mean_auroc,sd_auroc
butyrate_assembly_2021,Old random,0.2,5,21.0,16.6,18.8,0.8407773689445517,0.061749063164829504,0.6637222222222222,0.0798541301296647
butyrate_assembly_2021,Old random,0.4,5,42.0,31.2,24.2,0.8972759617725755,0.06061088936879928,0.7729444444444444,0.12894209869090403
butyrate_assembly_2021,Old random,0.6,5,63.0,46.2,25.4,0.8641075841942716,0.05341358789017955,0.7262222222222222,0.09050475739490778
butyrate_assembly_2021,Old random,0.8,5,83.0,60.8,25.8,0.8670647547935667,0.06340333902383204,0.7366111111111111,0.11634751319714787
butyrate_assembly_2021,Taxon coverage,0.2,5,21.0,15.8,25.8,0.8512307509383747,0.07545653343635901,0.6621666666666666,0.1529171586428659
butyrate_assembly_2021,Taxon coverage,0.4,5,42.0,31.6,25.8,0.8735562101762759,0.05035850164243986,0.733388888888889,0.10869604522204841
butyrate_assembly_2021,Taxon coverage,0.6,5,63.0,46.8,25.8,0.8696124018059971,0.04532149270805467,0.7289444444444444,0.11243249003208466
butyrate_assembly_2021,Taxon coverage,0.8,5,83.0,60.8,25.8,0.8670647547935667,0.06340333902383204,0.7366111111111111,0.11634751319714787
carlstrom_phyllosphere_2019,Old random,0.2,5,198.0,28.8,55.0,0.2526820713577886,0.029946562104274863,0.6636879609328284,0.036822722433323414
carlstrom_phyllosphere_2019,Old random,0.4,5,396.0,52.4,55.0,0.25951425095421243,0.03574547390613131,0.6920434522623081,0.04475369673537707
carlstrom_phyllosphere_2019,Old random,0.6,5,594.0,75.8,55.0,0.2612357097532704,0.05431297300150268,0.6965344716851594,0.05985834120002084
carlstrom_phyllosphere_2019,Old random,0.8,5,791.0,98.4,55.0,0.2750062989139742,0.05515342850602397,0.7022261643744601,0.05397497700971908
carlstrom_phyllosphere_2019,Taxon coverage,0.2,5,198.0,24.2,55.0,0.24233285737992122,0.07839134546112313,0.6802085575709256,0.07354276903312729
carlstrom_phyllosphere_2019,Taxon coverage,0.4,5,396.0,49.6,55.0,0.28448704119078905,0.05562071794462876,0.7054107700485017,0.06131082945524174
carlstrom_phyllosphere_2019,Taxon coverage,0.6,5,594.0,73.8,55.0,0.2857905330017399,0.03875436429411082,0.7106353730649126,0.062027539271092946
carlstrom_phyllosphere_2019,Taxon coverage,0.8,5,791.0,98.4,55.0,0.2750062989139742,0.05515342850602397,0.7022261643744601,0.05397497700971908
schafer_phyllosphere_2022,Old random,0.2,5,305.0,8.0,121.2,0.2663778566018723,0.19142433788557184,0.8782339211869413,0.07650594376003612
schafer_phyllosphere_2022,Old random,0.4,5,610.0,15.6,127.0,0.2733738747417632,0.1811864679876777,0.9182925451381827,0.04067437145040185
schafer_phyllosphere_2022,Old random,0.6,5,915.0,23.8,127.0,0.3178635706471703,0.20330368353989756,0.9274416423745283,0.03577555983797877
schafer_phyllosphere_2022,Old random,0.8,5,1219.0,30.4,127.0,0.3496624356874411,0.20014069044847857,0.9287169392874091,0.03904096229182451
schafer_phyllosphere_2022,Taxon coverage,0.2,5,305.0,8.0,127.0,0.28505578862618536,0.13351086880313684,0.8481702612575095,0.07575119319358717
schafer_phyllosphere_2022,Taxon coverage,0.4,5,610.0,15.2,127.0,0.35490719896825734,0.20776585899793582,0.9190140458596835,0.04410214297411193
schafer_phyllosphere_2022,Taxon coverage,0.6,5,915.0,22.8,127.0,0.35907626920150065,0.20461541028972802,0.9316738009691029,0.035227666094184124
schafer_phyllosphere_2022,Taxon coverage,0.8,5,1219.0,30.4,127.0,0.3496624356874411,0.20014069044847857,0.9287169392874091,0.03904096229182451
