analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
butyrate_assembly_2021,1,1,10,10,9,1,21,16,lambda=0.01,0.7678028826393765,0.6532654434381407,0.11453743920123571,0.525,0.23750000000000002
butyrate_assembly_2021,1,1,20,20,17,3,21,16,lambda=10,0.7510281898076984,0.6532654434381407,0.09776274636955762,0.5125,0.23750000000000002
butyrate_assembly_2021,1,1,50,50,39,11,21,16,lambda=0.1,0.7698277929823015,0.6532654434381407,0.11656234954416078,0.4875,0.23750000000000002
butyrate_assembly_2021,1,1,maximum,83,60,23,21,16,lambda=0.1,0.6694127311242251,0.6532654434381407,0.01614728768608431,0.35000000000000003,0.23750000000000002
butyrate_assembly_2021,1,2,10,10,10,0,21,15,lambda=0.01,0.716361309256046,0.6445365164018415,0.07182479285420451,0.45555555555555555,0.3277777777777777
butyrate_assembly_2021,1,2,20,20,15,5,21,15,lambda=10,0.7213999307652559,0.6445365164018415,0.07686341436341437,0.43333333333333335,0.3277777777777777
butyrate_assembly_2021,1,2,50,50,40,10,21,15,lambda=10,0.7306903135850504,0.6445365164018415,0.08615379718320892,0.4555555555555556,0.3277777777777777
butyrate_assembly_2021,1,2,maximum,83,61,22,21,15,lambda=0.1,0.8306292618057324,0.6445365164018415,0.18609274540389087,0.6000000000000001,0.3277777777777777
butyrate_assembly_2021,1,3,10,10,8,2,21,15,lambda=10,0.710090406955732,0.6935284214695979,0.01656198548613408,0.4222222222222223,0.4166666666666667
butyrate_assembly_2021,1,3,20,20,17,3,21,15,lambda=10,0.6988234400618302,0.6935284214695979,0.005295018592232248,0.36666666666666664,0.4166666666666667
butyrate_assembly_2021,1,3,50,50,39,11,21,15,lambda=0.01,0.8934231131212556,0.6935284214695979,0.19989469165165763,0.7666666666666667,0.4166666666666667
butyrate_assembly_2021,1,3,maximum,83,61,22,21,15,lambda=0.01,0.8154454260336613,0.6935284214695979,0.1219170045640634,0.7666666666666667,0.4166666666666667
butyrate_assembly_2021,1,4,10,10,9,1,21,15,lambda=0.01,0.6731545922257998,0.7800225459668184,-0.10686795374101865,0.4555555555555556,0.5555555555555556
butyrate_assembly_2021,1,4,20,20,19,1,21,15,lambda=0.01,0.6731545922257998,0.7800225459668184,-0.10686795374101865,0.4555555555555556,0.5555555555555556
butyrate_assembly_2021,1,4,50,50,37,13,21,15,lambda=10,0.6932161211108578,0.7800225459668184,-0.08680642485596057,0.47777777777777775,0.5555555555555556
butyrate_assembly_2021,1,4,maximum,83,61,22,21,15,lambda=1,0.8034519731501156,0.7800225459668184,0.023429427183297213,0.7222222222222223,0.5555555555555556
butyrate_assembly_2021,1,5,10,10,6,4,20,15,lambda=10,0.96510989010989,0.8526179230126598,0.1124919670972302,0.8799999999999999,0.54
butyrate_assembly_2021,1,5,20,20,14,6,20,15,lambda=1,0.8881529272241345,0.8526179230126598,0.03553500421147471,0.64,0.54
butyrate_assembly_2021,1,5,50,50,37,13,20,15,lambda=0.1,0.9565873015873014,0.8526179230126598,0.10396937857464161,0.8533333333333333,0.54
butyrate_assembly_2021,1,5,maximum,84,61,23,20,15,lambda=0.1,0.9595543345543345,0.8526179230126598,0.10693641154167466,0.8666666666666666,0.54
butyrate_assembly_2021,2,1,10,10,8,2,21,16,lambda=10,0.84115478470403,0.7929952722715881,0.04815951243244199,0.6,0.45625000000000004
butyrate_assembly_2021,2,1,20,20,15,5,21,16,lambda=0.01,0.9293039836625363,0.7929952722715881,0.13630871139094825,0.7875,0.45625000000000004
butyrate_assembly_2021,2,1,50,50,36,14,21,16,lambda=0.1,0.9366268382352941,0.7929952722715881,0.14363156596370608,0.7875,0.45625000000000004
butyrate_assembly_2021,2,1,maximum,83,60,23,21,16,lambda=1,0.8942774752444838,0.7929952722715881,0.1012822029728957,0.6875,0.45625000000000004
butyrate_assembly_2021,2,2,10,10,8,2,21,15,lambda=10,0.8921925133689839,0.7925811638195539,0.09961134954942996,0.7222222222222223,0.4666666666666667
butyrate_assembly_2021,2,2,20,20,13,7,21,15,lambda=1,0.9682352941176471,0.7925811638195539,0.17565413029809318,0.9111111111111111,0.4666666666666667
butyrate_assembly_2021,2,2,50,50,33,17,21,15,lambda=0.1,0.9790616246498599,0.7925811638195539,0.186480460830306,0.9444444444444445,0.4666666666666667
butyrate_assembly_2021,2,2,maximum,83,61,22,21,15,lambda=0.1,0.9788888888888889,0.7925811638195539,0.18630772506933502,0.9333333333333335,0.4666666666666667
butyrate_assembly_2021,2,3,10,10,8,2,21,15,lambda=10,0.7576811346548188,0.6334797028450279,0.12420143180979093,0.4222222222222222,0.3388888888888889
butyrate_assembly_2021,2,3,20,20,14,6,21,15,lambda=0.1,0.9557875079856504,0.6334797028450279,0.3223078051406225,0.8777777777777778,0.3388888888888889
butyrate_assembly_2021,2,3,50,50,39,11,21,15,lambda=10,0.7970720510426392,0.6334797028450279,0.16359234819761137,0.4888888888888889,0.3388888888888889
butyrate_assembly_2021,2,3,maximum,83,61,22,21,15,lambda=0.1,0.9419057307215202,0.6334797028450279,0.3084260278764923,0.8444444444444446,0.3388888888888889
butyrate_assembly_2021,2,4,10,10,9,1,21,15,lambda=0.01,0.770495214566422,0.7422696257990375,0.028225588767384457,0.6222222222222222,0.39444444444444443
butyrate_assembly_2021,2,4,20,20,16,4,21,15,lambda=10,0.7745809599756969,0.7422696257990375,0.03231133417665932,0.6444444444444444,0.39444444444444443
butyrate_assembly_2021,2,4,50,50,38,12,21,15,lambda=0.01,0.9128123728123727,0.7422696257990375,0.17054274701333516,0.7999999999999999,0.39444444444444443
butyrate_assembly_2021,2,4,maximum,83,61,22,21,15,lambda=0.1,0.8630068354990954,0.7422696257990375,0.12073720970005786,0.7,0.39444444444444443
butyrate_assembly_2021,2,5,10,10,8,2,20,15,lambda=10,0.6714951405663481,0.736509444001704,-0.06501430343535597,0.3466666666666667,0.3466666666666667
butyrate_assembly_2021,2,5,20,20,15,5,20,15,lambda=10,0.7825537700460301,0.736509444001704,0.04604432604432607,0.49333333333333335,0.3466666666666667
butyrate_assembly_2021,2,5,50,50,37,13,20,15,lambda=0.01,0.8912270575428469,0.736509444001704,0.15471761354114288,0.76,0.3466666666666667
butyrate_assembly_2021,2,5,maximum,84,61,23,20,15,lambda=0.1,0.8088603172426703,0.736509444001704,0.07235087324096623,0.6133333333333333,0.3466666666666667
butyrate_assembly_2021,3,1,10,10,8,2,21,16,lambda=10,0.9040349818310345,0.9564078465394255,-0.052372864708390976,0.7375,0.8625
butyrate_assembly_2021,3,1,20,20,16,4,21,16,lambda=10,0.9397229050189577,0.9564078465394255,-0.016684941520467733,0.7875000000000001,0.8625
butyrate_assembly_2021,3,1,50,50,39,11,21,16,lambda=1,0.8826687303709364,0.9564078465394255,-0.07373911616848905,0.7125,0.8625
butyrate_assembly_2021,3,1,maximum,83,60,23,21,16,lambda=0.1,0.8734771715857242,0.9564078465394255,-0.08293067495370121,0.6625,0.8625
butyrate_assembly_2021,3,2,10,10,7,3,21,15,lambda=10,0.7528000556947926,0.6696337775285144,0.0831662781662782,0.5666666666666667,0.2833333333333333
butyrate_assembly_2021,3,2,20,20,15,5,21,15,lambda=1,0.7958708992532523,0.6696337775285144,0.1262371217247379,0.7111111111111111,0.2833333333333333
butyrate_assembly_2021,3,2,50,50,36,14,21,15,lambda=10,0.728429317500525,0.6696337775285144,0.05879553997201059,0.5333333333333333,0.2833333333333333
