repeat,budget_label,budget_pairs,supervised_auprc,onenet_auprc,auprc_difference
1,10,10.0,0.7665038162373689,0.7247941700578118,0.04170964617955717
1,20,20.0,0.7465118160169437,0.7247941700578118,0.02171764595913206
1,50,50.0,0.8087489284773535,0.7247941700578118,0.08395475841954167
1,maximum,83.2,0.8156987453336138,0.7247941700578118,0.09090457527580209
2,10,10.0,0.7866037575721205,0.7395670417473823,0.04703671582473827
2,20,20.0,0.8820923031575122,0.7395670417473823,0.14252526141012986
2,50,50.0,0.9033599888566026,0.7395670417473823,0.1637929471092203
2,maximum,83.2,0.8973878495193317,0.7395670417473823,0.15782080777194943
3,10,10.0,0.813612520563372,0.7468524790196617,0.06676004154371029
3,20,20.0,0.8799843985993366,0.7468524790196617,0.133131919579675
3,50,50.0,0.7983190486628955,0.7468524790196617,0.05146656964323375
3,maximum,83.2,0.8841185929725016,0.7468524790196617,0.13726611395283994
4,10,10.0,0.7710290791438237,0.734557942423074,0.03647113672074968
4,20,20.0,0.7849252088569039,0.734557942423074,0.050367266433829896
4,50,50.0,0.8724664403578878,0.734557942423074,0.13790849793481375
4,maximum,83.2,0.8657342189830579,0.734557942423074,0.131176276559984
5,10,10.0,0.8062024898869906,0.7397861546921144,0.06641633519487622
5,20,20.0,0.8439333250956702,0.7397861546921144,0.10414717040355584
5,50,50.0,0.8634533337677688,0.7397861546921144,0.12366717907565435
5,maximum,83.2,0.8635459891988531,0.7397861546921144,0.12375983450673858
6,10,10.0,0.8030963084401552,0.7324322288693418,0.07066407957081336
6,20,20.0,0.8224484351361288,0.7324322288693418,0.09001620626678679
6,50,50.0,0.8910319402855199,0.7324322288693418,0.15859971141617815
6,maximum,83.2,0.90553340128582,0.7324322288693418,0.17310117241647816
7,10,10.0,0.8206865175051126,0.7498923483493917,0.07079416915572104
7,20,20.0,0.8756622367928483,0.7498923483493917,0.12576988844345655
7,50,50.0,0.8763300510692151,0.7498923483493917,0.12643770271982352
7,maximum,83.2,0.8742117250224835,0.7498923483493917,0.12431937667309187
8,10,10.0,0.7740797187239717,0.7185647663167012,0.055514952407270536
8,20,20.0,0.8037658586325381,0.7185647663167012,0.08520109231583695
8,50,50.0,0.8512956901951677,0.7185647663167012,0.1327309238784665
8,maximum,83.2,0.8512594615888928,0.7185647663167012,0.1326946952721914
9,10,10.0,0.7567369044927095,0.7218946450865955,0.03484225940611398
9,20,20.0,0.7828805213247938,0.7218946450865955,0.06098587623819829
9,50,50.0,0.8558845744182431,0.7218946450865955,0.13398992933164766
9,maximum,83.2,0.8672804164682066,0.7218946450865955,0.14538577138161118
10,10,10.0,0.7747985979735205,0.7457003066342269,0.029098291339293626
10,20,20.0,0.8932408407546758,0.7457003066342269,0.14754053412044893
10,50,50.0,0.8711284169083123,0.7457003066342269,0.12542811027408546
10,maximum,83.2,0.9031305533167956,0.7457003066342269,0.1574302466825686
11,10,10.0,0.8548962158197838,0.7379733558495168,0.11692285997026708
11,20,20.0,0.7579142890563169,0.7379733558495168,0.01994093320680006
11,50,50.0,0.8048060866650264,0.7379733558495168,0.06683273081550949
11,maximum,83.2,0.8482209446649268,0.7379733558495168,0.11024758881541001
12,10,10.0,0.7882099691709792,0.7376760546886321,0.05053391448234716
12,20,20.0,0.8008508196668027,0.7376760546886321,0.06317476497817057
12,50,50.0,0.8896188529679241,0.7376760546886321,0.15194279827929208
12,maximum,83.2,0.8798770728182493,0.7376760546886321,0.14220101812961716
13,10,10.0,0.7557852943553407,0.742203321439196,0.013581972916144713
13,20,20.0,0.7806787187414121,0.742203321439196,0.03847539730221616
13,50,50.0,0.8373883771206719,0.742203321439196,0.09518505568147595
13,maximum,83.2,0.9104446835700706,0.742203321439196,0.1682413621308745
14,10,10.0,0.8200221605593123,0.7427268931475588,0.07729526741175352
14,20,20.0,0.7628986061524762,0.7427268931475588,0.02017171300491736
14,50,50.0,0.8574452005432075,0.7427268931475588,0.11471830739564874
14,maximum,83.2,0.8587850157525081,0.7427268931475588,0.11605812260494927
15,10,10.0,0.8385931009887087,0.7476616396374522,0.09093146135125625
15,20,20.0,0.8584454115321956,0.7476616396374522,0.11078377189474328
15,50,50.0,0.869911137817291,0.7476616396374522,0.12224949817983874
15,maximum,83.2,0.8765390272209157,0.7476616396374522,0.1288773875834634
16,10,10.0,0.796081589076558,0.7309694395015602,0.06511214957499789
16,20,20.0,0.7968445975499961,0.7309694395015602,0.06587515804843594
16,50,50.0,0.8257517261397872,0.7309694395015602,0.09478228663822708
16,maximum,83.2,0.8587540440868613,0.7309694395015602,0.12778460458530116
17,10,10.0,0.8165519909764297,0.727002102429734,0.08954988854669584
17,20,20.0,0.8236236981220534,0.727002102429734,0.0966215956923194
17,50,50.0,0.8274188216396035,0.727002102429734,0.10041671920986939
17,maximum,83.2,0.85826115415086,0.727002102429734,0.13125905172112606
18,10,10.0,0.8674372546492322,0.7282065510813576,0.13923070356787465
18,20,20.0,0.8542658238984672,0.7282065510813576,0.12605927281710955
18,50,50.0,0.8413867296202822,0.7282065510813576,0.11318017853892468
18,maximum,83.2,0.8121734143909066,0.7282065510813576,0.08396686330954913
19,10,10.0,0.8019757648003585,0.7397142897378964,0.062261475062461956
19,20,20.0,0.8890411293427934,0.7397142897378964,0.14932683960489695
19,50,50.0,0.8113867472898045,0.7397142897378964,0.07167245755190799
19,maximum,83.2,0.8558283821226933,0.7397142897378964,0.11611409238479675
20,10,10.0,0.8230187928614786,0.7272032572976845,0.09581553556379399
20,20,20.0,0.8589745022063134,0.7272032572976845,0.13177124490862874
20,50,50.0,0.8566041856929048,0.7272032572976845,0.12940092839522016
20,maximum,83.2,0.864313454100509,0.7272032572976845,0.13711019680282446
