analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
carlstrom_phyllosphere_2019,1,1,10,10,1,9,198,25,lambda=0.01,0.10646892745513735,0.12855946340148203,-0.022090535946344678,0.3863583815028902,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,20,20,3,17,198,25,lambda=10,0.12127689678936376,0.12855946340148203,-0.007282566612118263,0.45780346820809253,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,50,50,6,44,198,25,lambda=1,0.26544436502722557,0.12855946340148203,0.13688490162574354,0.6078612716763006,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,100,100,18,82,198,25,lambda=1,0.19520601366080853,0.12855946340148203,0.0666465502593265,0.5900578034682081,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,200,200,30,170,198,25,lambda=1,0.1756338274431984,0.12855946340148203,0.04707436404171636,0.5861271676300579,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,500,500,62,438,198,25,lambda=0.1,0.2550022674198278,0.12855946340148203,0.12644280401834576,0.6531791907514451,0.48531791907514454
carlstrom_phyllosphere_2019,1,1,maximum,791,98,693,198,25,lambda=0.1,0.17906201503672092,0.12855946340148203,0.050502551635238896,0.6134104046242774,0.48531791907514454
carlstrom_phyllosphere_2019,1,2,10,10,3,7,198,25,lambda=10,0.15751520982953757,0.10928849427701298,0.048226715552524585,0.571329479768786,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,20,20,3,17,198,25,lambda=10,0.1891965347960322,0.10928849427701298,0.07990804051901923,0.5579190751445087,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,50,50,7,43,198,25,lambda=1,0.15717153684024693,0.10928849427701298,0.047883042563233946,0.5953757225433526,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,100,100,11,89,198,25,lambda=0.1,0.18644357734466818,0.10928849427701298,0.0771550830676552,0.6603468208092484,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,200,200,23,177,198,25,lambda=0.01,0.17225597564103737,0.10928849427701298,0.06296748136402439,0.6277456647398844,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,500,500,59,441,198,25,lambda=0.1,0.2111905836633407,0.10928849427701298,0.10190208938632772,0.6326011560693643,0.42265895953757227
carlstrom_phyllosphere_2019,1,2,maximum,791,98,693,198,25,lambda=0.01,0.2470332458964107,0.10928849427701298,0.13774475161939773,0.6927167630057804,0.42265895953757227
carlstrom_phyllosphere_2019,1,3,10,10,2,8,198,25,lambda=10,0.11603157974554315,0.11136524937866099,0.00466633036688216,0.47121387283237,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,20,20,3,17,198,25,lambda=10,0.14529780782559065,0.11136524937866099,0.03393255844692966,0.5630057803468208,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,50,50,7,43,198,25,lambda=10,0.13345427990336195,0.11136524937866099,0.02208903052470096,0.524393063583815,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,100,100,13,87,198,25,lambda=0.01,0.275993049937145,0.11136524937866099,0.16462780055848403,0.7357225433526011,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,200,200,30,170,198,25,lambda=0.1,0.2534893029230901,0.11136524937866099,0.14212405354442909,0.7396531791907515,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,500,500,67,433,198,25,lambda=0.1,0.28744236176424826,0.11136524937866099,0.17607711238558726,0.759306358381503,0.41109826589595383
carlstrom_phyllosphere_2019,1,3,maximum,791,98,693,198,25,lambda=0.01,0.28212201954579946,0.11136524937866099,0.17075677016713847,0.7491329479768787,0.41109826589595383
carlstrom_phyllosphere_2019,1,4,10,10,2,8,198,24,lambda=10,0.1446122540206814,0.0987451608554409,0.0458670931652405,0.5004789272030651,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,20,20,4,16,198,24,lambda=10,0.15021406321106662,0.0987451608554409,0.05146890235562572,0.5371168582375478,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,50,50,11,39,198,24,lambda=10,0.17266546834642696,0.0987451608554409,0.07392030749098606,0.540948275862069,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,100,100,16,84,198,24,lambda=1,0.1894947040827179,0.0987451608554409,0.090749543227277,0.5955459770114944,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,200,200,26,174,198,24,lambda=1,0.22749259155878696,0.0987451608554409,0.12874743070334604,0.6362547892720306,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,500,500,64,436,198,24,lambda=0.1,0.2631027341351309,0.0987451608554409,0.16435757327969003,0.6901340996168582,0.3935584291187739
carlstrom_phyllosphere_2019,1,4,maximum,791,99,692,198,24,lambda=0.01,0.2339392794859128,0.0987451608554409,0.13519411863047193,0.6669061302681992,0.3935584291187739
carlstrom_phyllosphere_2019,1,5,10,10,1,9,197,24,lambda=0.01,0.1907261448440241,0.18534133604096267,0.005384808803061414,0.521194605009634,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,20,20,1,19,197,24,lambda=0.01,0.1907261448440241,0.18534133604096267,0.005384808803061414,0.521194605009634,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,50,50,3,47,197,24,lambda=10,0.20760368609167695,0.18534133604096267,0.02226235005071428,0.5679190751445087,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,100,100,8,92,197,24,lambda=0.01,0.2603473689054319,0.18534133604096267,0.07500603286446925,0.5276974951830443,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,200,200,19,181,197,24,lambda=0.01,0.3666623697119912,0.18534133604096267,0.1813210336710285,0.5260115606936416,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,500,500,61,439,197,24,lambda=0.1,0.37827697400858745,0.18534133604096267,0.19293563796762478,0.61247591522158,0.6189788053949904
carlstrom_phyllosphere_2019,1,5,maximum,792,99,693,197,24,lambda=0.1,0.38117398976974715,0.18534133604096267,0.19583265372878447,0.6702793834296725,0.6189788053949904
carlstrom_phyllosphere_2019,2,1,10,10,2,8,198,25,lambda=10,0.17647194890655044,0.13932377771966828,0.037148171186882156,0.5116763005780347,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,20,20,2,18,198,25,lambda=10,0.17647194890655044,0.13932377771966828,0.037148171186882156,0.5116763005780347,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,50,50,7,43,198,25,lambda=0.01,0.25302838991364907,0.13932377771966828,0.11370461219398079,0.668670520231214,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,100,100,12,88,198,25,lambda=1,0.25913419386449643,0.13932377771966828,0.11981041614482815,0.7003468208092486,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,200,200,29,171,198,25,lambda=10,0.20187259246927033,0.13932377771966828,0.06254881474960206,0.5623121387283236,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,500,500,53,447,198,25,lambda=0.1,0.3233728669635634,0.13932377771966828,0.1840490892438951,0.717456647398844,0.46069364161849713
carlstrom_phyllosphere_2019,2,1,maximum,791,98,693,198,25,lambda=0.1,0.3129281011712476,0.13932377771966828,0.1736043234515793,0.7278612716763005,0.46069364161849713
carlstrom_phyllosphere_2019,2,2,10,10,3,7,198,25,lambda=10,0.18548129097697352,0.13742547795805493,0.04805581301891859,0.6073988439306358,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,20,20,4,16,198,25,lambda=1,0.2969541426007772,0.13742547795805493,0.15952866464272225,0.6578034682080924,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,50,50,7,43,198,25,lambda=0.01,0.11769617167830937,0.13742547795805493,-0.019729306279745562,0.41965317919075146,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,100,100,10,90,198,25,lambda=0.1,0.11621360690917559,0.13742547795805493,-0.02121187104887934,0.48393063583815027,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,200,200,19,181,198,25,lambda=1,0.20297695636934812,0.13742547795805493,0.06555147841129319,0.6425433526011561,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,500,500,63,437,198,25,lambda=1,0.24404979460958806,0.13742547795805493,0.10662431665153313,0.6374566473988439,0.5579190751445087
carlstrom_phyllosphere_2019,2,2,maximum,791,98,693,198,25,lambda=0.01,0.18308843066052136,0.13742547795805493,0.045662952702466425,0.6053179190751445,0.5579190751445087
carlstrom_phyllosphere_2019,2,3,10,10,1,9,198,25,lambda=0.01,0.13607381139871738,0.12840813595771844,0.0076656754409989425,0.48416184971098264,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,20,20,1,19,198,25,lambda=0.01,0.13607381139871738,0.12840813595771844,0.0076656754409989425,0.48416184971098264,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,50,50,7,43,198,25,lambda=0.01,0.24675368145508886,0.12840813595771844,0.11834554549737042,0.6564161849710983,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,100,100,20,80,198,25,lambda=0.01,0.19080062568065329,0.12840813595771844,0.062392489722934846,0.6554913294797688,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,200,200,27,173,198,25,lambda=0.01,0.2640807199248725,0.12840813595771844,0.13567258396715404,0.6767630057803468,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,500,500,68,432,198,25,lambda=0.1,0.23645442023511115,0.12840813595771844,0.10804628427739271,0.6767630057803468,0.47606936416184975
carlstrom_phyllosphere_2019,2,3,maximum,791,98,693,198,25,lambda=0.01,0.22362461440988235,0.12840813595771844,0.09521647845216391,0.6931791907514451,0.47606936416184975
carlstrom_phyllosphere_2019,2,4,10,10,1,9,198,24,lambda=0.01,0.10797197046578942,0.10412651920032505,0.0038454512654643724,0.3879310344827586,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,20,20,1,19,198,24,lambda=0.01,0.10797197046578942,0.10412651920032505,0.0038454512654643724,0.3879310344827586,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,50,50,4,46,198,24,lambda=10,0.12764683761888806,0.10412651920032505,0.023520318418563016,0.4468390804597701,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,100,100,12,88,198,24,lambda=10,0.12096094644724753,0.10412651920032505,0.01683442724692248,0.4111590038314176,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,200,200,26,174,198,24,lambda=0.1,0.29065108611822377,0.10412651920032505,0.1865245669178987,0.7703544061302682,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,500,500,65,435,198,24,lambda=0.01,0.44385555722666253,0.10412651920032505,0.33972903802633747,0.8024425287356323,0.41271551724137934
carlstrom_phyllosphere_2019,2,4,maximum,791,99,692,198,24,lambda=0.01,0.39924021242548136,0.10412651920032505,0.2951136932251563,0.7983716475095786,0.41271551724137934
carlstrom_phyllosphere_2019,2,5,10,10,1,9,197,24,lambda=0.01,0.1081325709845134,0.10361402932849727,0.004518541656016131,0.45544315992292866,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,20,20,1,19,197,24,lambda=0.01,0.1081325709845134,0.10361402932849727,0.004518541656016131,0.45544315992292866,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,50,50,7,43,197,24,lambda=0.1,0.1523357219648148,0.10361402932849727,0.04872169263631752,0.553709055876686,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,100,100,11,89,197,24,lambda=10,0.11675525533718538,0.10361402932849727,0.013141226008688112,0.4932562620423892,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,200,200,28,172,197,24,lambda=0.1,0.16842976928148518,0.10361402932849727,0.06481573995298791,0.625,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,500,500,70,430,197,24,lambda=0.01,0.21284055212566738,0.10361402932849727,0.10922652279717011,0.6608863198458573,0.39667630057803466
carlstrom_phyllosphere_2019,2,5,maximum,792,99,693,197,24,lambda=0.1,0.25299447327980745,0.10361402932849727,0.14938044395131017,0.6818400770712909,0.39667630057803466
carlstrom_phyllosphere_2019,3,1,10,10,1,9,198,25,lambda=0.01,0.1439726801850432,0.12707970133678848,0.01689297884825472,0.5442774566473989,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,20,20,3,17,198,25,lambda=10,0.17104698480786548,0.12707970133678848,0.04396728347107701,0.6083236994219653,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,50,50,5,45,198,25,lambda=1,0.19606128774987658,0.12707970133678848,0.0689815864130881,0.653179190751445,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,100,100,13,87,198,25,lambda=0.01,0.1465530230502477,0.12707970133678848,0.019473321713459224,0.5625433526011562,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,200,200,25,175,198,25,lambda=0.1,0.18864475585749751,0.12707970133678848,0.06156505452070904,0.616184971098266,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,500,500,62,438,198,25,lambda=0.01,0.33196960583650265,0.12707970133678848,0.20488990449971417,0.7017341040462428,0.4905202312138729
carlstrom_phyllosphere_2019,3,1,maximum,791,98,693,198,25,lambda=0.01,0.31080098395428746,0.12707970133678848,0.18372128261749898,0.6846242774566473,0.4905202312138729
carlstrom_phyllosphere_2019,3,2,10,10,1,9,198,25,lambda=0.01,0.10250693821155646,0.1097891069442729,-0.007282168732716435,0.38843930635838153,0.42323699421965316
carlstrom_phyllosphere_2019,3,2,20,20,1,19,198,25,lambda=0.01,0.10250693821155646,0.1097891069442729,-0.007282168732716435,0.38843930635838153,0.42323699421965316
carlstrom_phyllosphere_2019,3,2,50,50,3,47,198,25,lambda=10,0.10351376094859338,0.1097891069442729,-0.006275345995679513,0.4018497109826589,0.42323699421965316
carlstrom_phyllosphere_2019,3,2,100,100,7,93,198,25,lambda=0.01,0.24571845113088558,0.1097891069442729,0.13592934418661268,0.68,0.42323699421965316
