repeat,budget_label,budget_pairs,supervised_auprc,onenet_auprc,auprc_difference
1,10,10.0,0.14307082317898473,0.1266599407907119,0.016410882388272797
1,100,100.0,0.2214969427861543,0.1266599407907119,0.0948370019954424
1,20,20.0,0.15934228949321547,0.1266599407907119,0.03268234870250355
1,200,200.0,0.23910681345562076,0.1266599407907119,0.11244687266490887
1,50,50.0,0.18726786724178768,0.1266599407907119,0.06060792645107575
1,500,500.0,0.279002984198227,0.1266599407907119,0.15234304340751512
1,maximum,791.2,0.2646661099469182,0.1266599407907119,0.13800616915620628
2,10,10.0,0.14282631854650882,0.12257958803285281,0.02024673051365604
2,100,100.0,0.16077292564775164,0.12257958803285281,0.03819333761489885
2,20,20.0,0.16512088887126958,0.12257958803285281,0.04254130083841677
2,200,200.0,0.22560222483263997,0.12257958803285281,0.10302263679978718
2,50,50.0,0.17949216052615002,0.12257958803285281,0.056912572493297245
2,500,500.0,0.29211463823211853,0.12257958803285281,0.1695350501992657
2,maximum,791.2,0.274375166389388,0.12257958803285281,0.15179557835653523
3,10,10.0,0.13553346256344723,0.12424433348404595,0.011289129079401277
3,100,100.0,0.20555326891487571,0.12424433348404595,0.08130893543082972
3,20,20.0,0.14671477119250473,0.12424433348404595,0.022470437708458774
3,200,200.0,0.2326797432935026,0.12424433348404595,0.10843540980945662
3,50,50.0,0.16132646104191123,0.12424433348404595,0.03708212755786529
3,500,500.0,0.28703775356572003,0.12424433348404595,0.16279342008167408
3,maximum,791.2,0.31780728274979697,0.12424433348404595,0.19356294926575104
4,10,10.0,0.12750996675227133,0.12232068861912557,0.005189278133145761
4,100,100.0,0.23240442242063172,0.12232068861912557,0.11008373380150613
4,20,20.0,0.1303257593565,0.12232068861912557,0.008005070737374437
4,200,200.0,0.21561071451669706,0.12232068861912557,0.09329002589757147
4,50,50.0,0.21685624839197631,0.12232068861912557,0.09453555977285073
4,500,500.0,0.2596265820792963,0.12232068861912557,0.1373058934601707
4,maximum,791.2,0.2947002939934716,0.12232068861912557,0.172379605374346
5,10,10.0,0.1432641789540938,0.12287675855332622,0.02038742040076758
5,100,100.0,0.21016591858106953,0.12287675855332622,0.08728916002774333
