fold,method,test_pairs,true_interactions,selected_interactions,true_density,predicted_density,absolute_density_error,threshold,comparison,tp,fp,fn,training_frequency,training_frequency_absolute_error
1,LENS,198,25,47,0.12626262626262627,0.23737373737373738,0.1111111111111111,0.6366319434058814,>=,9,38,16,0.12389380530973451,0.002368820952891759
1,OneNet,198,25,0,0.12626262626262627,0.0,0.12626262626262627,0.9,>,0,0,25,0.12389380530973451,0.002368820952891759
2,LENS,198,25,37,0.12626262626262627,0.18686868686868688,0.06060606060606061,0.5648360007759499,>=,9,28,16,0.12389380530973451,0.002368820952891759
2,OneNet,198,25,1,0.12626262626262627,0.005050505050505051,0.12121212121212122,0.9,>,0,1,25,0.12389380530973451,0.002368820952891759
3,LENS,198,25,59,0.12626262626262627,0.29797979797979796,0.17171717171717168,0.5334199203519343,>=,14,45,11,0.12389380530973451,0.002368820952891759
3,OneNet,198,25,0,0.12626262626262627,0.0,0.12626262626262627,0.9,>,0,0,25,0.12389380530973451,0.002368820952891759
4,LENS,198,24,20,0.12121212121212122,0.10101010101010101,0.020202020202020207,0.604991683566578,>=,7,13,17,0.12515802781289506,0.003945906600773846
4,OneNet,198,24,0,0.12121212121212122,0.0,0.12121212121212122,0.9,>,0,0,24,0.12515802781289506,0.003945906600773846
5,LENS,197,24,87,0.1218274111675127,0.4416243654822335,0.31979695431472077,0.521373242578701,>=,16,71,8,0.125,0.0031725888324873053
5,OneNet,197,24,0,0.1218274111675127,0.0,0.1218274111675127,0.9,>,0,0,24,0.125,0.0031725888324873053
