C,macro_ap,negative_ap,neutral_ap,positive_ap,outer_fold,selected
0.001,0.4123754061878002,0.10179775970066181,0.9323009344990993,0.20302752436363936,1,False
0.01,0.41782954103292913,0.09726643454287129,0.9433793470610672,0.21284284149484892,1,False
0.1,0.4253662137071214,0.09571428160584011,0.9474695150924913,0.2329148444230326,1,False
1.0,0.4293208721394342,0.09375812239873457,0.9471386108723778,0.24706588314719027,1,False
10.0,0.43227690160298904,0.09230135405245876,0.9464956522366414,0.258033698519867,1,True
0.001,0.3961590490471821,0.08984691479100591,0.9302558850174277,0.16837434733311263,2,False
0.01,0.4067918487218695,0.08986964941631465,0.943285031586468,0.18722086516282568,2,False
0.1,0.41352554222258053,0.0901434921294745,0.9456768808636713,0.20475625367459577,2,True
1.0,0.41289951482675336,0.08919521192321885,0.9458036752790684,0.20369965727797285,2,False
10.0,0.3971161893126664,0.05304113441122259,0.9456397786486479,0.19266765487812865,2,False
0.001,0.35413819887072634,0.016120527961407827,0.9370950726383388,0.10919899601243242,3,False
0.01,0.36126538521797186,0.016545084792022623,0.9427213209296493,0.12452974993224358,3,False
0.1,0.367113849983378,0.017273760884483708,0.9442826296401939,0.13978515942545644,3,True
1.0,0.36711219758214103,0.01760318577421878,0.9424653414647257,0.14126806550747867,3,False
10.0,0.36618132551455945,0.017696805962597824,0.9395179840206181,0.14132918656046237,3,False
0.001,0.37014610842176127,0.014346354503561858,0.927766984254044,0.168324986507678,4,False
0.01,0.37912742760210977,0.016293099857801162,0.9362390230435229,0.1848501599050054,4,False
0.1,0.38038389423019164,0.01792471585630613,0.9390901273103104,0.1841368395239585,4,True
1.0,0.3784066516982107,0.017003962164825605,0.9384626342842525,0.17975335864555386,4,False
10.0,0.3741905100380087,0.015857445662541457,0.9376471444836565,0.16906693996782804,4,False
0.001,0.3790958227466217,0.017184409047705053,0.9294472934811979,0.19065576571096204,5,False
0.01,0.3916079377748802,0.016951823445933576,0.9404616472527,0.2174103426260069,5,False
0.1,0.3959997644737047,0.016928091510187926,0.9428846461049417,0.22818655580598443,5,True
1.0,0.3911083405056896,0.016735273401345462,0.9426147328856848,0.21397501523003837,5,False
10.0,0.38811273633917215,0.015856918458419685,0.9420970787157122,0.20638421184338462,5,False
