"code","taxon"
"AA","Leaf141"
"AB","Leaf145"
"AC","Leaf160"
"AD","Leaf176"
"AE","Leaf177"
"AF","Leaf183"
"AG","Leaf187"
"AH","Leaf189"
"AI","Leaf2"
"AJ","Leaf202"
"AK","Leaf203"
"AL","Leaf220"
"AM","Leaf222"
"AN","Leaf225"
"AO","Leaf231"
"AP","Leaf233"
"AQ","Leaf234"
"AR","Leaf242"
"AS","Leaf26"
"AT","Leaf262"
"AU","Leaf263"
"AV","Leaf265"
"AW","Leaf281"
"AX","Leaf285"
"AY","Leaf288"
"AZ","Leaf3"
"BA","Leaf324"
"BB","Leaf33"
"BC","Leaf334"
"BD","Leaf336"
"BE","Leaf337"
"BF","Leaf344"
"BG","Leaf351"
"BH","Leaf354"
"BI","Leaf357"
"BJ","Leaf359"
"BK","Leaf363"
"BL","Leaf371"
"BM","Leaf380"
"BN","Leaf391"
"BO","Leaf396"
"BP","Leaf405"
"BQ","Leaf41"
"BR","Leaf416"
"BS","Leaf420"
"BT","Leaf427"
"BU","Leaf443"
"BV","Leaf5"
"BW","Leaf68"
"BX","Leaf70"
"BY","Leaf82"
"BZ","Leaf83"
"CA","Leaf86"
"CB","Leaf88"
"CC","Leaf90"
