scope,method,tested_pairs,positive_pairs,neutral_pairs,positive_prevalence,average_precision,auroc,brier_score,mean_predicted_probability,threshold,native_selected_edges,true_positives,false_positives,false_negatives,native_precision,native_recall,native_f1,density_matched_edges,density_matched_true_positives,density_matched_precision,density_matched_recall,density_matched_f1
all_schafer_tested_pairs,score_model,1524,38,1486,0.024934383202099737,0.25426624530300374,0.8989162003258483,0.7865561299146144,0.8982077439986789,0.6599999999999999,1524,38,1486,0,0.024934383202099737,1.0,0.04865556978233034,38,11,0.2894736842105263,0.2894736842105263,0.2894736842105263
conet_eligible_pairs,score_model,552,23,529,0.041666666666666664,0.3181054173087817,0.8601956110791484,0.78262062666823,0.9043623035867349,0.6599999999999999,552,23,529,0,0.041666666666666664,1.0,0.07999999999999999,23,7,0.30434782608695654,0.30434782608695654,0.30434782608695654
all_schafer_tested_pairs,observability_model,1524,38,1486,0.024934383202099737,0.01830884520291567,0.34640858539349717,0.663116449308877,0.8223162529703554,0.5399999999999999,1524,38,1486,0,0.024934383202099737,1.0,0.04865556978233034,38,0,0.0,0.0,
conet_eligible_pairs,observability_model,552,23,529,0.041666666666666664,0.04975116939612707,0.5740116709131257,0.6011047137876682,0.7877685177761672,0.5399999999999999,552,23,529,0,0.041666666666666664,1.0,0.07999999999999999,23,0,0.0,0.0,
all_schafer_tested_pairs,compact_combined_model,1524,38,1486,0.024934383202099737,0.08519577365880639,0.7917227456258412,0.3970112639928872,0.634142697545188,0.58,1253,38,1215,0,0.030327214684756583,1.0,0.05886909372579395,38,1,0.02631578947368421,0.02631578947368421,0.02631578947368421
conet_eligible_pairs,compact_combined_model,552,23,529,0.041666666666666664,0.08486519981527862,0.6977891016684474,0.42243975872053174,0.6573537979289974,0.58,477,23,454,0,0.04821802935010482,1.0,0.092,23,1,0.043478260869565216,0.043478260869565216,0.043478260869565216
all_schafer_tested_pairs,mean_three_score_rank,1524,38,1486,0.024934383202099737,0.22850951875335163,0.9049373096266912,0.30191722198921556,0.5459221331680588,,0,0,0,38,,0.0,,38,10,0.2631578947368421,0.2631578947368421,0.2631578947368421
conet_eligible_pairs,mean_three_score_rank,552,23,529,0.041666666666666664,0.3009188889175613,0.8504972466507768,0.3339179359253013,0.5791921967857256,,0,0,0,23,,0.0,,23,7,0.30434782608695654,0.30434782608695654,0.30434782608695654
all_schafer_tested_pairs,mean_pln_sparcc_rank,1524,38,1486,0.024934383202099737,0.23345756874294188,0.8961889919954664,0.31973134406466935,0.5553443845011324,,0,0,0,38,,0.0,,38,11,0.2894736842105263,0.2894736842105263,0.2894736842105263
conet_eligible_pairs,mean_pln_sparcc_rank,552,23,529,0.041666666666666664,0.27748269447220264,0.8547711021615847,0.34026134681420206,0.581347601393102,,0,0,0,23,,0.0,,23,7,0.30434782608695654,0.30434782608695654,0.30434782608695654
