model,C,mean_ap_lift
score_model,0.001,1.0320624890655454
score_model,0.01,1.0462653536940785
score_model,0.1,1.0498792764906701
score_model,1.0,1.0518346706102863
score_model,10.0,1.0518054682578544
observability_model,0.001,0.9869105568131753
observability_model,0.01,0.9322297394842298
observability_model,0.1,0.9420628861888874
observability_model,1.0,0.9426493792472359
observability_model,10.0,0.9478762587487488
compact_combined_model,0.001,0.9946529029914153
compact_combined_model,0.01,1.039498909192185
compact_combined_model,0.1,1.0351930777850424
compact_combined_model,1.0,1.027653602394982
compact_combined_model,10.0,1.0251415162883872
