dataset,method,tested_pairs,positive_pairs,zero_score_pairs,zero_score_fraction,unique_score_values,largest_tie_fraction,current_auprc
butyrate_assembly_2021,pln,104,76,35,0.33653846153846156,70,0.33653846153846156,0.7879621170132769
butyrate_assembly_2021,glmnet,104,76,22,0.21153846153846154,83,0.21153846153846154,0.6780671170000211
butyrate_assembly_2021,spieceasi,104,76,103,0.9903846153846154,2,0.9903846153846154,0.7343117408906882
butyrate_assembly_2021,spring,104,76,104,1.0,1,1.0,0.7307692307692307
butyrate_assembly_2021,sparcc,104,76,0,0.0,104,0.009615384615384616,0.8135387794967293
carlstrom_phyllosphere_2019,pln,989,123,989,1.0,1,1.0,0.1243680485338726
carlstrom_phyllosphere_2019,glmnet,989,123,953,0.9635995955510617,37,0.9635995955510617,0.14360540320687903
carlstrom_phyllosphere_2019,spieceasi,989,123,971,0.9817997977755308,19,0.9817997977755308,0.13420731022274832
carlstrom_phyllosphere_2019,spring,989,123,970,0.980788675429727,20,0.980788675429727,0.13347910279400574
carlstrom_phyllosphere_2019,sparcc,989,123,0,0.0,989,0.0010111223458038423,0.11740722396575028
schafer_phyllosphere_2022,pln,1524,38,1461,0.9586614173228346,64,0.9586614173228346,0.07748781040398287
schafer_phyllosphere_2022,glmnet,1524,38,1380,0.905511811023622,145,0.905511811023622,0.08157844690737756
schafer_phyllosphere_2022,spieceasi,1524,38,1522,0.9986876640419947,3,0.9986876640419947,0.024934383202099737
schafer_phyllosphere_2022,spring,1524,38,1481,0.9717847769028871,44,0.9717847769028871,0.024934383202099737
schafer_phyllosphere_2022,sparcc,1524,38,0,0.0,1524,0.0006561679790026247,0.1269023179648214
friedman_microcosm_2017,pln,56,33,0,0.0,28,0.03571428571428571,0.6135299806464815
friedman_microcosm_2017,glmnet,56,33,2,0.03571428571428571,28,0.03571428571428571,0.5981143605534811
friedman_microcosm_2017,spieceasi,56,33,56,1.0,2,0.9642857142857143,0.5865800865800866
friedman_microcosm_2017,spring,56,33,30,0.5357142857142857,14,0.5357142857142857,0.5976359499086771
friedman_microcosm_2017,sparcc,56,33,0,0.0,28,0.03571428571428571,0.6870071386923089
