analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_positives,test_pairs,test_positives,feature_set,model_fitted,selected_method,auprc,auroc,f1,threshold
butyrate_assembly_2021,taxon_panel,0.2,0,5,3,3,67,46,selected_unsupervised,False,Mean rank,0.7186312397058489,0.5434782608695652,0.7346938775510204,0.32410256410256433
butyrate_assembly_2021,taxon_panel,0.2,0,5,3,3,67,46,network_scores,False,,0.6865671641791045,0.5,0.8141592920353983,1.0
butyrate_assembly_2021,taxon_panel,0.2,0,5,3,3,67,46,direct_abundance,False,,0.6865671641791045,0.5,0.8141592920353983,1.0
butyrate_assembly_2021,taxon_panel,0.2,0,5,3,3,67,46,combined,False,,0.6865671641791045,0.5,0.8141592920353983,1.0
butyrate_assembly_2021,distributed_pairs,0.2,0,5,3,2,101,74,selected_unsupervised,True,SparCC,0.8075287351139605,0.5770770770770771,0.3958333333333333,0.793846153846154
butyrate_assembly_2021,distributed_pairs,0.2,0,5,3,2,101,74,network_scores,True,,0.8234502292186489,0.6046046046046046,0.10256410256410256,0.5076305148607589
butyrate_assembly_2021,distributed_pairs,0.2,0,5,3,2,101,74,direct_abundance,True,,0.8739011358185377,0.7592592592592592,0.25287356321839083,0.5182466517848988
butyrate_assembly_2021,distributed_pairs,0.2,0,5,3,2,101,74,combined,True,,0.8671464361881286,0.7382382382382382,0.10126582278481013,0.5253444039679146
butyrate_assembly_2021,taxon_panel,0.2,4,5,5,5,54,34,selected_unsupervised,False,Mean rank,0.6623026918365823,0.5522058823529412,0.759493670886076,0.27538461538461534
butyrate_assembly_2021,taxon_panel,0.2,4,5,5,5,54,34,network_scores,False,,0.6296296296296297,0.5,0.7727272727272727,1.0
butyrate_assembly_2021,taxon_panel,0.2,4,5,5,5,54,34,direct_abundance,False,,0.6296296296296297,0.5,0.7727272727272727,1.0
butyrate_assembly_2021,taxon_panel,0.2,4,5,5,5,54,34,combined,False,,0.6296296296296297,0.5,0.7727272727272727,1.0
butyrate_assembly_2021,distributed_pairs,0.2,4,5,5,3,99,73,selected_unsupervised,True,Poisson GLMNet,0.6755009617749985,0.39884088514225496,0.42592592592592593,0.606153846153846
butyrate_assembly_2021,distributed_pairs,0.2,4,5,5,3,99,73,network_scores,True,,0.6969824798056341,0.3329820864067439,0.2765957446808511,0.5036444653302189
butyrate_assembly_2021,distributed_pairs,0.2,4,5,5,3,99,73,direct_abundance,True,,0.7898579532951628,0.5611169652265543,0.5283018867924528,0.4943393985585317
butyrate_assembly_2021,distributed_pairs,0.2,4,5,5,3,99,73,combined,True,,0.7612162279430472,0.5152792413066385,0.30434782608695654,0.49887997864940237
butyrate_assembly_2021,taxon_panel,0.2,5,5,4,4,66,45,selected_unsupervised,False,Mean rank,0.6588916080938729,0.4899470899470899,0.6590909090909091,0.36717948717948695
butyrate_assembly_2021,taxon_panel,0.2,5,5,4,4,66,45,network_scores,False,,0.6818181818181818,0.5,0.8108108108108109,1.0
butyrate_assembly_2021,taxon_panel,0.2,5,5,4,4,66,45,direct_abundance,False,,0.6818181818181818,0.5,0.8108108108108109,1.0
butyrate_assembly_2021,taxon_panel,0.2,5,5,4,4,66,45,combined,False,,0.6818181818181818,0.5,0.8108108108108109,1.0
butyrate_assembly_2021,distributed_pairs,0.2,5,5,4,2,100,74,selected_unsupervised,True,SparCC,0.8138191894911022,0.5722453222453222,0.782051282051282,0.196923076923077
butyrate_assembly_2021,distributed_pairs,0.2,5,5,4,2,100,74,network_scores,True,,0.8315685015238309,0.6055093555093555,0.6875,0.497926492468052
butyrate_assembly_2021,distributed_pairs,0.2,5,5,4,2,100,74,direct_abundance,True,,0.7206405443730717,0.4132016632016632,0.7354838709677419,0.49471195219085984
butyrate_assembly_2021,distributed_pairs,0.2,5,5,4,2,100,74,combined,True,,0.7520521776374026,0.4516632016632017,0.697986577181208,0.4930376200429518
butyrate_assembly_2021,taxon_panel,0.2,7,5,4,4,65,45,selected_unsupervised,False,Mean rank,0.6573835874005437,0.46111111111111114,0.6436781609195402,0.3723076923076927
butyrate_assembly_2021,taxon_panel,0.2,7,5,4,4,65,45,network_scores,False,,0.6923076923076923,0.5,0.8181818181818182,1.0
butyrate_assembly_2021,taxon_panel,0.2,7,5,4,4,65,45,direct_abundance,False,,0.6923076923076923,0.5,0.8181818181818182,1.0
butyrate_assembly_2021,taxon_panel,0.2,7,5,4,4,65,45,combined,False,,0.6923076923076923,0.5,0.8181818181818182,1.0
butyrate_assembly_2021,distributed_pairs,0.2,7,5,4,2,100,74,selected_unsupervised,True,SparCC,0.8174240801395503,0.5951143451143451,0.0,0.984615384615385
butyrate_assembly_2021,distributed_pairs,0.2,7,5,4,2,100,74,network_scores,True,,0.6964019430500183,0.42567567567567566,0.56,0.5013075154258412
butyrate_assembly_2021,distributed_pairs,0.2,7,5,4,2,100,74,direct_abundance,True,,0.8548478558693333,0.656964656964657,0.48,0.5053216139430023
butyrate_assembly_2021,distributed_pairs,0.2,7,5,4,2,100,74,combined,True,,0.8133266060257719,0.5847193347193348,0.40816326530612246,0.5066273136245438
butyrate_assembly_2021,taxon_panel,0.2,9,5,6,6,50,28,selected_unsupervised,False,Mean rank,0.5593716588028622,0.5048701298701299,0.6461538461538462,0.3005128205128203
butyrate_assembly_2021,taxon_panel,0.2,9,5,6,6,50,28,network_scores,False,,0.56,0.5,0.717948717948718,1.0
butyrate_assembly_2021,taxon_panel,0.2,9,5,6,6,50,28,direct_abundance,False,,0.56,0.5,0.717948717948718,1.0
butyrate_assembly_2021,taxon_panel,0.2,9,5,6,6,50,28,combined,False,,0.56,0.5,0.717948717948718,1.0
butyrate_assembly_2021,distributed_pairs,0.2,9,5,6,6,98,70,selected_unsupervised,False,Mean rank,0.7242722235000727,0.5448979591836735,0.8383233532934131,0.16666666666666666
butyrate_assembly_2021,distributed_pairs,0.2,9,5,6,6,98,70,network_scores,False,,0.7142857142857143,0.5,0.8333333333333334,1.0
butyrate_assembly_2021,distributed_pairs,0.2,9,5,6,6,98,70,direct_abundance,False,,0.7142857142857143,0.5,0.8333333333333334,1.0
butyrate_assembly_2021,distributed_pairs,0.2,9,5,6,6,98,70,combined,False,,0.7142857142857143,0.5,0.8333333333333334,1.0
butyrate_assembly_2021,taxon_panel,0.2,10,5,6,5,52,31,selected_unsupervised,True,PLNNetwork,0.7214214950305774,0.6052227342549923,0.5384615384615384,0.529230769230769
butyrate_assembly_2021,taxon_panel,0.2,10,5,6,5,52,31,network_scores,True,,0.6518445977287032,0.5960061443932412,0.6181818181818182,0.49285954259020387
butyrate_assembly_2021,taxon_panel,0.2,10,5,6,5,52,31,direct_abundance,True,,0.6490003831811277,0.4807987711213518,0.725,0.46806807721015203
butyrate_assembly_2021,taxon_panel,0.2,10,5,6,5,52,31,combined,True,,0.6592115777770601,0.4869431643625192,0.725,0.462438054402121
butyrate_assembly_2021,distributed_pairs,0.2,10,5,6,5,98,71,selected_unsupervised,True,SparCC,0.8033413847763018,0.5837245696400627,0.7299270072992701,0.310769230769231
butyrate_assembly_2021,distributed_pairs,0.2,10,5,6,5,98,71,network_scores,True,,0.7508578350476274,0.5237350026082421,0.7733333333333333,0.4934781862830295
butyrate_assembly_2021,distributed_pairs,0.2,10,5,6,5,98,71,direct_abundance,True,,0.7888340953163486,0.5805946791862284,0.8343558282208589,0.49496098140965566
butyrate_assembly_2021,distributed_pairs,0.2,10,5,6,5,98,71,combined,True,,0.78687021775541,0.5905059989567032,0.8198757763975155,0.4995456715648811
butyrate_assembly_2021,taxon_panel,0.2,11,5,7,5,51,34,selected_unsupervised,True,Poisson GLMNet,0.5863871790872083,0.34169550173010377,0.5396825396825397,0.353846153846154
butyrate_assembly_2021,taxon_panel,0.2,11,5,7,5,51,34,network_scores,True,,0.603628688999387,0.35986159169550175,0.4745762711864407,0.49929259677955024
butyrate_assembly_2021,taxon_panel,0.2,11,5,7,5,51,34,direct_abundance,True,,0.6284974150234173,0.42560553633217996,0.6666666666666666,0.49444569298825797
butyrate_assembly_2021,taxon_panel,0.2,11,5,7,5,51,34,combined,True,,0.6080867730109164,0.39100346020761245,0.5625,0.4989785470435056
butyrate_assembly_2021,distributed_pairs,0.2,11,5,7,7,97,69,selected_unsupervised,False,Mean rank,0.7255548117567364,0.5460662525879917,0.8104575163398693,0.27538461538461534
butyrate_assembly_2021,distributed_pairs,0.2,11,5,7,7,97,69,network_scores,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,distributed_pairs,0.2,11,5,7,7,97,69,direct_abundance,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,distributed_pairs,0.2,11,5,7,7,97,69,combined,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,taxon_panel,0.2,13,5,3,2,67,46,selected_unsupervised,True,SparCC,0.7702345342348407,0.5900621118012422,0.6818181818181818,0.316923076923077
butyrate_assembly_2021,taxon_panel,0.2,13,5,3,2,67,46,network_scores,True,,0.7024990321488499,0.5434782608695652,0.36923076923076925,0.5017266603897843
butyrate_assembly_2021,taxon_panel,0.2,13,5,3,2,67,46,direct_abundance,True,,0.7499882700947834,0.5134575569358178,0.6888888888888889,0.5215173121291723
butyrate_assembly_2021,taxon_panel,0.2,13,5,3,2,67,46,combined,True,,0.7701865317251217,0.5175983436853002,0.6666666666666666,0.5228149297427724
butyrate_assembly_2021,distributed_pairs,0.2,13,5,3,3,101,73,selected_unsupervised,False,Mean rank,0.7374694374055375,0.550880626223092,0.802547770700637,0.307179487179487
butyrate_assembly_2021,distributed_pairs,0.2,13,5,3,3,101,73,network_scores,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,distributed_pairs,0.2,13,5,3,3,101,73,direct_abundance,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,distributed_pairs,0.2,13,5,3,3,101,73,combined,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
butyrate_assembly_2021,taxon_panel,0.2,14,5,3,3,69,48,selected_unsupervised,False,Mean rank,0.7454236743210829,0.5798611111111112,0.7021276595744681,0.3830769230769233
butyrate_assembly_2021,taxon_panel,0.2,14,5,3,3,69,48,network_scores,False,,0.6956521739130435,0.5,0.8205128205128205,1.0
butyrate_assembly_2021,taxon_panel,0.2,14,5,3,3,69,48,direct_abundance,False,,0.6956521739130435,0.5,0.8205128205128205,1.0
butyrate_assembly_2021,taxon_panel,0.2,14,5,3,3,69,48,combined,False,,0.6956521739130435,0.5,0.8205128205128205,1.0
butyrate_assembly_2021,distributed_pairs,0.2,14,5,3,3,101,73,selected_unsupervised,False,Mean rank,0.7353082378357301,0.5445205479452055,0.7482993197278912,0.35384615384615387
butyrate_assembly_2021,distributed_pairs,0.2,14,5,3,3,101,73,network_scores,False,,0.7227722772277227,0.5,0.8390804597701149,1.0
