analysis_set,design,taxon_fraction,feature_set,valid_repeats,mean_calibration_pairs,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_f1,sd_f1,score_only_auprc,change_from_scores
butyrate_assembly_2021,distributed_pairs,0.2,combined,132,4.6893939393939394,0.7348484848484849,0.7605969730118237,0.05337012728218402,0.5365629810492368,0.08631474441659365,0.6271165362686295,0.22986909663407515,0.7412932529222468,0.019303720089576926
butyrate_assembly_2021,distributed_pairs,0.2,direct_abundance,132,4.6893939393939394,0.7348484848484849,0.7633459966419527,0.05381554606262493,0.5398436168369749,0.08647420825108912,0.6489614138269781,0.20296427678441703,0.7412932529222468,0.022052743719705892
butyrate_assembly_2021,distributed_pairs,0.2,network_scores,132,4.6893939393939394,0.7348484848484849,0.7412932529222468,0.0500239319233342,0.5021276287435626,0.07190612038114837,0.6571829833552535,0.21678866858199788,0.7412932529222468,0.0
butyrate_assembly_2021,distributed_pairs,0.2,selected_unsupervised,132,4.6893939393939394,0.7348484848484849,0.7653532974987913,0.04723974426292646,0.5487371821172494,0.053570911968067916,0.6964296902227791,0.1630984169479162,0.7412932529222468,0.024060044576544537
butyrate_assembly_2021,distributed_pairs,0.4,combined,186,14.951612903225806,0.9838709677419355,0.7947175610604892,0.05451712761787976,0.5919240210894372,0.09297400311524846,0.7478954052994089,0.09506556514114678,0.7593502744222019,0.035367286638287254
butyrate_assembly_2021,distributed_pairs,0.4,direct_abundance,186,14.951612903225806,0.9838709677419355,0.7949801826662063,0.05535047811910197,0.5911674271722663,0.09526827651361772,0.7484270284529232,0.09563124923494763,0.7593502744222019,0.03562990824400436
butyrate_assembly_2021,distributed_pairs,0.4,network_scores,186,14.951612903225806,0.9838709677419355,0.7593502744222019,0.05989912326169088,0.5198620489300556,0.07411467319454378,0.7567152614400343,0.09899371627773437,0.7593502744222019,0.0
butyrate_assembly_2021,distributed_pairs,0.4,selected_unsupervised,186,14.951612903225806,0.9838709677419355,0.7780855068456227,0.0516500736041515,0.5538540181658753,0.06020451828882967,0.7869540294876747,0.08613450913697544,0.7593502744222019,0.01873523242342079
butyrate_assembly_2021,distributed_pairs,0.6,combined,185,37.22702702702703,1.0,0.8323306815731747,0.05200292121901712,0.6667493643177755,0.07741681792820675,0.8118259615057012,0.057824690087196824,0.7814149100112437,0.050915771561930945
butyrate_assembly_2021,distributed_pairs,0.6,direct_abundance,185,37.22702702702703,1.0,0.8334173397911563,0.054806414102643926,0.6709556399424178,0.07993491922416839,0.8181856198058512,0.056263527284408414,0.7814149100112437,0.05200242977991254
butyrate_assembly_2021,distributed_pairs,0.6,network_scores,185,37.22702702702703,1.0,0.7814149100112437,0.05254649858939733,0.5382136568252607,0.06250566463508374,0.8048156475226824,0.05270714133369528,0.7814149100112437,0.0
butyrate_assembly_2021,distributed_pairs,0.6,selected_unsupervised,185,37.22702702702703,1.0,0.787608179950452,0.053917272403874644,0.5604265141567254,0.05820308301727503,0.82639641771239,0.046720526408834916,0.7814149100112437,0.0061932699392082124
butyrate_assembly_2021,taxon_panel,0.2,combined,132,4.6893939393939394,0.6060606060606061,0.7330846216184369,0.10061915297020083,0.5112708222205237,0.09007437965384675,0.5642149975225509,0.28363558428875135,0.7184963993058233,0.014588222312613586
butyrate_assembly_2021,taxon_panel,0.2,direct_abundance,132,4.6893939393939394,0.6060606060606061,0.7343353626764283,0.1014359798083841,0.5128371621292261,0.09319589555367648,0.5672069759037551,0.2744973566262375,0.7184963993058233,0.015838963370604975
butyrate_assembly_2021,taxon_panel,0.2,network_scores,132,4.6893939393939394,0.6060606060606061,0.7184963993058233,0.0953916816666226,0.4925794071761111,0.06561592245481115,0.6123216938917225,0.2728212179076552,0.7184963993058233,0.0
butyrate_assembly_2021,taxon_panel,0.2,selected_unsupervised,132,4.6893939393939394,0.6060606060606061,0.7360412568263264,0.10525177410031403,0.529377762020784,0.07571863127126101,0.6234858958703835,0.2269078864230822,0.7184963993058233,0.017544857520503054
butyrate_assembly_2021,taxon_panel,0.4,combined,186,14.951612903225806,0.9193548387096774,0.7762356339532952,0.15171065415754725,0.5277549349083872,0.15016233328402195,0.5402311828065705,0.28712741452804846,0.7600753100152904,0.016160323938004817
butyrate_assembly_2021,taxon_panel,0.4,direct_abundance,186,14.951612903225806,0.9193548387096774,0.776052300827001,0.15453102998329069,0.5337596239127633,0.15083502965559753,0.5238154022052587,0.2838682007084216,0.7600753100152904,0.015976990811710667
butyrate_assembly_2021,taxon_panel,0.4,network_scores,186,14.951612903225806,0.9193548387096774,0.7600753100152904,0.13837129205864804,0.49991305528306534,0.11067745139950991,0.6443437029048347,0.2614659775632212,0.7600753100152904,0.0
butyrate_assembly_2021,taxon_panel,0.4,selected_unsupervised,186,14.951612903225806,0.9193548387096774,0.7863604182266779,0.1354479466333863,0.5531289758347397,0.10171031685104585,0.7144696671801948,0.22452373991509003,0.7600753100152904,0.02628510821138752
butyrate_assembly_2021,taxon_panel,0.6,combined,169,36.19526627218935,1.0,0.8012951029016545,0.1627650342745298,0.6024237654646566,0.20643721656153047,0.6503725758642183,0.2363740819546305,0.7330488661213665,0.06824623678028796
butyrate_assembly_2021,taxon_panel,0.6,direct_abundance,169,36.19526627218935,1.0,0.8064762405906694,0.16469556308628328,0.6255400915672911,0.2012694110281182,0.6463998782729565,0.23313957498246585,0.7330488661213665,0.07342737446930281
butyrate_assembly_2021,taxon_panel,0.6,network_scores,169,36.19526627218935,1.0,0.7330488661213665,0.19657014360936478,0.4748640609644162,0.18603484784682023,0.7207929784070952,0.22169226682468196,0.7330488661213665,0.0
butyrate_assembly_2021,taxon_panel,0.6,selected_unsupervised,169,36.19526627218935,1.0,0.7618051028932132,0.17974719715043205,0.5192624586796399,0.17253165304665125,0.75729781539574,0.19884397485491434,0.7330488661213665,0.028756236771846688
carlstrom_phyllosphere_2019,distributed_pairs,0.2,combined,200,36.4,0.99,0.17080664414540994,0.03265588962777208,0.5708670853015271,0.059308364786568896,0.15982681956946385,0.07507508443104285,0.13420333616568972,0.03660330797972022
carlstrom_phyllosphere_2019,distributed_pairs,0.2,direct_abundance,200,36.4,0.99,0.1712591048359192,0.03281244997572534,0.5733664055724915,0.0616187364082986,0.16514252533585985,0.07891223223555502,0.13420333616568972,0.03705576867022947
carlstrom_phyllosphere_2019,distributed_pairs,0.2,network_scores,200,36.4,0.99,0.13420333616568972,0.018775439352835755,0.502315953076359,0.047008781661919644,0.14711352105076622,0.06441151120246873,0.13420333616568972,0.0
carlstrom_phyllosphere_2019,distributed_pairs,0.2,selected_unsupervised,200,36.4,0.99,0.12607251477407558,0.012670276550787054,0.4754813692095821,0.03288243450729591,0.1523931111524198,0.06984090395046698,0.13420333616568972,-0.00813082139161414
carlstrom_phyllosphere_2019,distributed_pairs,0.4,combined,200,151.795,1.0,0.21642275569591746,0.03216551849439141,0.6516720222133743,0.03526546005675719,0.24176250752259448,0.05680382815745331,0.15400857683441627,0.06241417886150119
