analysis_set,method,recall,mean_precision,se_precision,folds,lower_se,upper_se,system
butyrate_assembly_2021,LENS,0,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.01,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.02,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.03,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.04,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.05,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.06,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.07,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.08,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.09,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.1,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.11,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.12,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.13,1,0,5,1,1,Butyrate
butyrate_assembly_2021,LENS,0.14,0.963333333333333,0.0226077666104176,5,0.940725566722916,0.985941099943751,Butyrate
butyrate_assembly_2021,LENS,0.15,0.963333333333333,0.0226077666104176,5,0.940725566722916,0.985941099943751,Butyrate
butyrate_assembly_2021,LENS,0.16,0.963333333333333,0.0226077666104176,5,0.940725566722916,0.985941099943751,Butyrate
butyrate_assembly_2021,LENS,0.17,0.963333333333333,0.0226077666104176,5,0.940725566722916,0.985941099943751,Butyrate
butyrate_assembly_2021,LENS,0.18,0.963333333333333,0.0226077666104176,5,0.940725566722916,0.985941099943751,Butyrate
butyrate_assembly_2021,LENS,0.19,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.2,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.21,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.22,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.23,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.24,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.25,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.26,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.27,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.28,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.29,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.3,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.31,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.32,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.33,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.34,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.35,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.36,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.37,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.38,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.39,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.4,0.936666666666667,0.0270801280154532,5,0.909586538651213,0.96374679468212,Butyrate
butyrate_assembly_2021,LENS,0.41,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.42,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.43,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.44,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.45,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.46,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.47,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.48,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.49,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.5,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.51,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.52,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.53,0.899059829059829,0.0101006694103086,5,0.888959159649521,0.909160498470138,Butyrate
butyrate_assembly_2021,LENS,0.54,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.55,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.56,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.57,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.58,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.59,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.6,0.896282051282051,0.0111295048278004,5,0.885152546454251,0.907411556109852,Butyrate
butyrate_assembly_2021,LENS,0.61,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.62,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.63,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.64,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.65,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.66,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.67,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.68,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.69,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.7,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.71,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.72,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.73,0.891282051282051,0.0118140173487751,5,0.879468033933276,0.903096068630827,Butyrate
butyrate_assembly_2021,LENS,0.74,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.75,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.76,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.77,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.78,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.79,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.8,0.87937728937729,0.011410322555797,5,0.867966966821492,0.890787611933087,Butyrate
butyrate_assembly_2021,LENS,0.81,0.864509803921569,0.0105416093952883,5,0.85396819452628,0.875051413316857,Butyrate
butyrate_assembly_2021,LENS,0.82,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.83,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.84,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.85,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.86,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.87,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.88,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
butyrate_assembly_2021,LENS,0.89,0.857843137254902,0.0121811506272443,5,0.845661986627658,0.870024287882146,Butyrate
