analysis_set,repeat,budget_fraction,budget_pairs,calibration_pool_pairs,calibration_taxa,test_taxa,test_pairs,test_positives,method,auprc,auroc,model_fitted
butyrate_assembly_2021,0,0.0,0,50,16,10,9,2,PLNNetwork,0.2222222222222222,0.2142857142857143,False
butyrate_assembly_2021,0,0.0,0,50,16,10,9,2,Poisson GLMNet,0.5833333333333333,0.8571428571428572,False
butyrate_assembly_2021,0,0.0,0,50,16,10,9,2,SparCC,0.1736111111111111,0.0,False
butyrate_assembly_2021,0,0.0,0,50,16,10,9,2,Mean rank,0.24285714285714285,0.35714285714285715,False
butyrate_assembly_2021,0,0.0,0,50,16,10,9,2,SPIEC-EASI,0.2222222222222222,0.5,False
butyrate_assembly_2021,0,0.2,10,50,16,10,9,2,Supervised combined,0.39285714285714285,0.5714285714285714,True
butyrate_assembly_2021,0,0.4,20,50,16,10,9,2,Supervised combined,0.6428571428571428,0.6428571428571428,True
butyrate_assembly_2021,0,0.6,30,50,16,10,9,2,Supervised combined,0.45,0.7142857142857142,True
butyrate_assembly_2021,0,0.8,40,50,16,10,9,2,Supervised combined,0.41666666666666663,0.6428571428571429,True
butyrate_assembly_2021,1,0.0,0,49,16,10,8,4,PLNNetwork,0.4583333333333333,0.21875,False
butyrate_assembly_2021,1,0.0,0,49,16,10,8,4,Poisson GLMNet,0.4583333333333333,0.3125,False
butyrate_assembly_2021,1,0.0,0,49,16,10,8,4,SparCC,0.5,0.375,False
butyrate_assembly_2021,1,0.0,0,49,16,10,8,4,Mean rank,0.47619047619047616,0.375,False
butyrate_assembly_2021,1,0.0,0,49,16,10,8,4,SPIEC-EASI,0.5,0.5,False
butyrate_assembly_2021,1,0.2,10,49,16,10,8,4,Supervised combined,0.7708333333333333,0.75,True
butyrate_assembly_2021,1,0.4,20,49,16,10,8,4,Supervised combined,0.5249999999999999,0.5,True
butyrate_assembly_2021,1,0.6,30,49,16,10,8,4,Supervised combined,0.5666666666666667,0.5625,True
butyrate_assembly_2021,1,0.8,40,49,16,10,8,4,Supervised combined,0.6083333333333333,0.625,True
butyrate_assembly_2021,2,0.0,0,39,16,10,14,13,PLNNetwork,0.9890109890109888,0.9230769230769231,False
