analysis_set,method,budget_fraction,valid_repeats,mean_budget_pairs,mean_calibration_pool_pairs,calibration_taxa,test_taxa,mean_test_pairs,mean_test_positives,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc
butyrate_assembly_2021,Mean rank,0.0,200,0.0,36.2,16.0,10.0,15.9,11.515,0.0,0.7674324220916149,0.1935756331851387,0.5433217471415707,0.18905811581259074
butyrate_assembly_2021,PLNNetwork,0.0,200,0.0,36.2,16.0,10.0,15.9,11.515,0.0,0.7647718413843358,0.1883442919873017,0.5171188812364506,0.18243688146145534
butyrate_assembly_2021,Poisson GLMNet,0.0,200,0.0,36.2,16.0,10.0,15.9,11.515,0.0,0.7520016586316622,0.17866328124065095,0.5168411610314975,0.20130703899119456
butyrate_assembly_2021,SPIEC-EASI,0.0,200,0.0,36.2,16.0,10.0,15.9,11.515,0.0,0.714892368986039,0.18966324845311816,0.5059942227320323,0.016396983474187433
butyrate_assembly_2021,SparCC,0.0,200,0.0,36.2,16.0,10.0,15.9,11.515,0.0,0.8010138105930715,0.18554301980670998,0.5652197528423052,0.17397291080935215
butyrate_assembly_2021,Supervised combined,0.2,200,7.64,36.2,16.0,10.0,15.9,11.515,0.83,0.7781834727157192,0.18230380783231764,0.5394044316553364,0.24027810650183706
butyrate_assembly_2021,Supervised combined,0.4,200,14.88,36.2,16.0,10.0,15.9,11.515,0.98,0.7967049606785876,0.1625574644392699,0.5486956814280312,0.23529352654519006
butyrate_assembly_2021,Supervised combined,0.6,200,22.11,36.2,16.0,10.0,15.9,11.515,0.985,0.8063920746866792,0.15545151779300195,0.5699375546971354,0.23559926735898967
butyrate_assembly_2021,Supervised combined,0.8,200,29.35,36.2,16.0,10.0,15.9,11.515,0.995,0.8038232201313457,0.1562144290344759,0.5835179670483227,0.2283817996674012
carlstrom_phyllosphere_2019,Mean rank,0.0,200,0.0,349.07,33.0,22.0,155.92,19.54,0.0,0.1493396612784263,0.0710220824208138,0.4745680730913124,0.08326357460059922
carlstrom_phyllosphere_2019,PLNNetwork,0.0,200,0.0,349.07,33.0,22.0,155.92,19.54,0.0,0.12389188160333235,0.043574456672116596,0.5,0.0
carlstrom_phyllosphere_2019,Poisson GLMNet,0.0,200,0.0,349.07,33.0,22.0,155.92,19.54,0.0,0.16301506330229956,0.06819212610787155,0.5242442405493146,0.041518108220769144
carlstrom_phyllosphere_2019,SPIEC-EASI,0.0,200,0.0,349.07,33.0,22.0,155.92,19.54,0.0,0.13866484040068883,0.050787753124038854,0.503482931108403,0.015875888676806303
carlstrom_phyllosphere_2019,SparCC,0.0,200,0.0,349.07,33.0,22.0,155.92,19.54,0.0,0.13076043090395406,0.05038783221972927,0.450552716951955,0.06916726319637033
carlstrom_phyllosphere_2019,Supervised combined,0.2,200,70.22,349.07,33.0,22.0,155.92,19.54,1.0,0.1956018164739295,0.07976708601756469,0.579042524621982,0.08331714138211234
carlstrom_phyllosphere_2019,Supervised combined,0.4,200,140.04,349.07,33.0,22.0,155.92,19.54,1.0,0.2047376851996222,0.08565487489479891,0.5959196262088551,0.0858911884744899
carlstrom_phyllosphere_2019,Supervised combined,0.6,200,209.845,349.07,33.0,22.0,155.92,19.54,1.0,0.20923401115948828,0.08343071512804812,0.6110331758575445,0.08383094924465781
carlstrom_phyllosphere_2019,Supervised combined,0.8,200,279.665,349.07,33.0,22.0,155.92,19.54,1.0,0.21032614988181955,0.08524383782796698,0.616008550175532,0.08665827536028349
friedman_microcosm_2017,Mean rank,0.0,200,0.0,10.0,5.0,3.0,3.0,3.435,0.0,0.6432291666666665,0.18255862541503826,0.5644722222222223,0.19771234739433494
friedman_microcosm_2017,PLNNetwork,0.0,200,0.0,10.0,5.0,3.0,3.0,3.435,0.0,0.616,0.16891254811654102,0.5188333333333334,0.21715666364241049
friedman_microcosm_2017,Poisson GLMNet,0.0,200,0.0,10.0,5.0,3.0,3.0,3.435,0.0,0.616625,0.1581177398012822,0.5076666666666667,0.17295646871604423
friedman_microcosm_2017,SPIEC-EASI,0.0,200,0.0,10.0,5.0,3.0,3.0,3.435,0.0,0.57125,0.1487190560131436,0.491875,0.045316967159804655
friedman_microcosm_2017,SparCC,0.0,200,0.0,10.0,5.0,3.0,3.0,3.435,0.0,0.6326041666666666,0.18621181229703107,0.53175,0.18650944688215892
friedman_microcosm_2017,Supervised combined,0.2,200,2.0,10.0,5.0,3.0,3.0,3.435,0.94,0.595625,0.17127768842498275,0.5010555555555556,0.15263509402342212
friedman_microcosm_2017,Supervised combined,0.4,200,4.0,10.0,5.0,3.0,3.0,3.435,1.0,0.6035833333333334,0.1772631440041111,0.4954166666666666,0.19962853826832247
