analysis_set,design,taxon_fraction,repeat,calibration_pairs,test_pairs,test_positives,method,auprc,auroc
butyrate_assembly_2021,taxon_panel,0.2,0,3,67,46,PLNNetwork,0.7410443709683694,0.5714285714285714
butyrate_assembly_2021,taxon_panel,0.2,0,3,67,46,Poisson GLMNet,0.6320261721951472,0.39906832298136646
butyrate_assembly_2021,taxon_panel,0.2,0,3,67,46,SparCC,0.7704809060389964,0.5755693581780539
butyrate_assembly_2021,taxon_panel,0.2,0,3,67,46,Mean rank,0.7186312397058489,0.5434782608695652
butyrate_assembly_2021,taxon_panel,0.2,0,3,67,46,SPIEC-EASI,0.6933809214795587,0.5108695652173914
butyrate_assembly_2021,distributed_pairs,0.2,0,3,101,74,PLNNetwork,0.7834098563700195,0.5635635635635635
butyrate_assembly_2021,distributed_pairs,0.2,0,3,101,74,Poisson GLMNet,0.6789526756256616,0.4266766766766767
butyrate_assembly_2021,distributed_pairs,0.2,0,3,101,74,SparCC,0.8075287351139605,0.5770770770770771
butyrate_assembly_2021,distributed_pairs,0.2,0,3,101,74,Mean rank,0.7391080411542192,0.534034034034034
butyrate_assembly_2021,distributed_pairs,0.2,0,3,101,74,SPIEC-EASI,0.7362857907412362,0.5067567567567568
butyrate_assembly_2021,taxon_panel,0.2,4,5,54,34,PLNNetwork,0.6253187442994281,0.5147058823529412
butyrate_assembly_2021,taxon_panel,0.2,4,5,54,34,Poisson GLMNet,0.6332511466571991,0.5205882352941176
butyrate_assembly_2021,taxon_panel,0.2,4,5,54,34,SparCC,0.6759469375944901,0.5441176470588235
butyrate_assembly_2021,taxon_panel,0.2,4,5,54,34,Mean rank,0.6623026918365823,0.5522058823529412
butyrate_assembly_2021,taxon_panel,0.2,4,5,54,34,SPIEC-EASI,0.6296296296296297,0.5
butyrate_assembly_2021,distributed_pairs,0.2,4,5,99,73,PLNNetwork,0.7961030499643356,0.58377239199157
butyrate_assembly_2021,distributed_pairs,0.2,4,5,99,73,Poisson GLMNet,0.6755009617749985,0.39884088514225496
butyrate_assembly_2021,distributed_pairs,0.2,4,5,99,73,SparCC,0.8260728087089064,0.6116965226554267
butyrate_assembly_2021,distributed_pairs,0.2,4,5,99,73,Mean rank,0.7484315258245087,0.553213909378293
butyrate_assembly_2021,distributed_pairs,0.2,4,5,99,73,SPIEC-EASI,0.7409713574097134,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,5,4,66,45,PLNNetwork,0.788793098076969,0.6111111111111112
butyrate_assembly_2021,taxon_panel,0.2,5,4,66,45,Poisson GLMNet,0.5940359216225513,0.33333333333333326
butyrate_assembly_2021,taxon_panel,0.2,5,4,66,45,SparCC,0.7607621104228983,0.544973544973545
butyrate_assembly_2021,taxon_panel,0.2,5,4,66,45,Mean rank,0.6588916080938729,0.4899470899470899
butyrate_assembly_2021,taxon_panel,0.2,5,4,66,45,SPIEC-EASI,0.6888888888888889,0.5111111111111111
butyrate_assembly_2021,distributed_pairs,0.2,5,4,100,74,PLNNetwork,0.7862593321402698,0.5514553014553014
butyrate_assembly_2021,distributed_pairs,0.2,5,4,100,74,Poisson GLMNet,0.6817674475824005,0.4152806652806652
butyrate_assembly_2021,distributed_pairs,0.2,5,4,100,74,SparCC,0.8138191894911022,0.5722453222453222
butyrate_assembly_2021,distributed_pairs,0.2,5,4,100,74,Mean rank,0.7399340227918152,0.5166320166320166
butyrate_assembly_2021,distributed_pairs,0.2,5,4,100,74,SPIEC-EASI,0.7435135135135135,0.5067567567567568
butyrate_assembly_2021,taxon_panel,0.2,7,4,65,45,PLNNetwork,0.749145990873337,0.5322222222222222
butyrate_assembly_2021,taxon_panel,0.2,7,4,65,45,Poisson GLMNet,0.6204416965551207,0.3688888888888889
butyrate_assembly_2021,taxon_panel,0.2,7,4,65,45,SparCC,0.740378027290164,0.49666666666666665
butyrate_assembly_2021,taxon_panel,0.2,7,4,65,45,Mean rank,0.6573835874005437,0.46111111111111114
butyrate_assembly_2021,taxon_panel,0.2,7,4,65,45,SPIEC-EASI,0.6991452991452991,0.5111111111111111
butyrate_assembly_2021,distributed_pairs,0.2,7,4,100,74,PLNNetwork,0.8289908306403998,0.6143451143451144
butyrate_assembly_2021,distributed_pairs,0.2,7,4,100,74,Poisson GLMNet,0.699970465699767,0.4371101871101871
butyrate_assembly_2021,distributed_pairs,0.2,7,4,100,74,SparCC,0.8174240801395503,0.5951143451143451
butyrate_assembly_2021,distributed_pairs,0.2,7,4,100,74,Mean rank,0.7680623742752358,0.5766632016632016
butyrate_assembly_2021,distributed_pairs,0.2,7,4,100,74,SPIEC-EASI,0.74,0.5
butyrate_assembly_2021,taxon_panel,0.2,9,6,50,28,PLNNetwork,0.6431112930742909,0.6055194805194806
butyrate_assembly_2021,taxon_panel,0.2,9,6,50,28,Poisson GLMNet,0.4840281239374419,0.29139610389610393
butyrate_assembly_2021,taxon_panel,0.2,9,6,50,28,SparCC,0.6615237518870616,0.5698051948051948
