"x","y","rho","n_complete","feature_x","feature_y","system","panel"
1,1,1,104,"pln_score_percentile","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
2,1,-0.168303588133431,104,"glmnet_score_percentile","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
3,1,0.512718305552812,104,"sparcc_score_percentile","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
4,1,-0.275876050192468,104,"direct_prevalence_min","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
5,1,-0.321570052093075,104,"direct_prevalence_max","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
6,1,-0.342340151917956,104,"direct_joint_prevalence","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
7,1,-0.264710225992747,104,"direct_presence_jaccard","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
8,1,0.219759726916978,104,"presence_phi_abs","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
9,1,0.228366145075439,104,"presence_log_odds_abs","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
10,1,0.45912182131759,104,"spearman_all_abs","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
11,1,0.240948687251694,103,"spearman_copresent_abs","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
12,1,-0.273671676555654,104,"log_ratio_variance","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
13,1,0.293371947095534,104,"abundance_contrast_min","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
14,1,0.25386262484217,104,"abundance_contrast_max","pln_score_percentile","Butyrate","Butyrate
104 tested pairs"
1,2,-0.168303588133431,104,"pln_score_percentile","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
2,2,1,104,"glmnet_score_percentile","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
3,2,0.0960538650366379,104,"sparcc_score_percentile","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
4,2,0.374444938850159,104,"direct_prevalence_min","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
5,2,0.463697249908692,104,"direct_prevalence_max","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
6,2,0.475634568068413,104,"direct_joint_prevalence","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
7,2,0.38921931427322,104,"direct_presence_jaccard","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
8,2,-0.231995730943911,104,"presence_phi_abs","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
9,2,-0.245032845908183,104,"presence_log_odds_abs","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
10,2,-0.194139113079184,104,"spearman_all_abs","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
11,2,-0.563991981836552,103,"spearman_copresent_abs","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
12,2,0.650412391514479,104,"log_ratio_variance","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
13,2,-0.055694197399459,104,"abundance_contrast_min","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
14,2,-0.110294985476476,104,"abundance_contrast_max","glmnet_score_percentile","Butyrate","Butyrate
104 tested pairs"
1,3,0.512718305552812,104,"pln_score_percentile","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
2,3,0.0960538650366379,104,"glmnet_score_percentile","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
3,3,1,104,"sparcc_score_percentile","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
4,3,-0.137547619889454,104,"direct_prevalence_min","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
5,3,-0.0860545171483664,104,"direct_prevalence_max","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
6,3,-0.15219838713556,104,"direct_joint_prevalence","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
7,3,-0.151324159752202,104,"direct_presence_jaccard","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
8,3,0.0475408087058572,104,"presence_phi_abs","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
9,3,0.0701328560743892,104,"presence_log_odds_abs","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
10,3,0.294676197588819,104,"spearman_all_abs","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
11,3,-0.00441505952642446,103,"spearman_copresent_abs","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
12,3,-0.0723354315587325,104,"log_ratio_variance","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
13,3,0.233073722394111,104,"abundance_contrast_min","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
14,3,0.253547423450336,104,"abundance_contrast_max","sparcc_score_percentile","Butyrate","Butyrate
104 tested pairs"
1,4,-0.275876050192468,104,"pln_score_percentile","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
2,4,0.374444938850159,104,"glmnet_score_percentile","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
3,4,-0.137547619889454,104,"sparcc_score_percentile","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
4,4,1,104,"direct_prevalence_min","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
5,4,0.314898530292413,104,"direct_prevalence_max","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
