"system","feature","missing","distinct"
"butyrate_assembly_2021","pln_score_percentile",0,70
"butyrate_assembly_2021","glmnet_score_percentile",0,83
"butyrate_assembly_2021","sparcc_score_percentile",0,104
"butyrate_assembly_2021","direct_prevalence_min",0,21
"butyrate_assembly_2021","direct_prevalence_max",0,15
"butyrate_assembly_2021","direct_joint_prevalence",0,75
"butyrate_assembly_2021","direct_presence_jaccard",0,101
"butyrate_assembly_2021","presence_phi_abs",0,104
"butyrate_assembly_2021","presence_log_odds_abs",0,101
"butyrate_assembly_2021","spearman_all_abs",0,104
"butyrate_assembly_2021","spearman_copresent_abs",1,103
"butyrate_assembly_2021","log_ratio_variance",0,104
"butyrate_assembly_2021","abundance_contrast_min",0,104
"butyrate_assembly_2021","abundance_contrast_max",0,104
"carlstrom_phyllosphere_2019","pln_score_percentile",0,1
"carlstrom_phyllosphere_2019","glmnet_score_percentile",0,37
"carlstrom_phyllosphere_2019","sparcc_score_percentile",0,989
"carlstrom_phyllosphere_2019","direct_prevalence_min",0,31
"carlstrom_phyllosphere_2019","direct_prevalence_max",0,30
"carlstrom_phyllosphere_2019","direct_joint_prevalence",0,48
"carlstrom_phyllosphere_2019","direct_presence_jaccard",0,307
"carlstrom_phyllosphere_2019","presence_phi_abs",0,591
"carlstrom_phyllosphere_2019","presence_log_odds_abs",0,436
"carlstrom_phyllosphere_2019","spearman_all_abs",0,985
"carlstrom_phyllosphere_2019","spearman_copresent_abs",124,778
"carlstrom_phyllosphere_2019","log_ratio_variance",0,989
"carlstrom_phyllosphere_2019","abundance_contrast_min",20,960
"carlstrom_phyllosphere_2019","abundance_contrast_max",20,953
"schafer_phyllosphere_2022","pln_score_percentile",0,64
"schafer_phyllosphere_2022","glmnet_score_percentile",0,145
"schafer_phyllosphere_2022","sparcc_score_percentile",0,1524
"schafer_phyllosphere_2022","direct_prevalence_min",0,55
"schafer_phyllosphere_2022","direct_prevalence_max",0,9
"schafer_phyllosphere_2022","direct_joint_prevalence",0,105
"schafer_phyllosphere_2022","direct_presence_jaccard",0,376
"schafer_phyllosphere_2022","presence_phi_abs",0,665
"schafer_phyllosphere_2022","presence_log_odds_abs",0,386
"schafer_phyllosphere_2022","spearman_all_abs",0,1514
"schafer_phyllosphere_2022","spearman_copresent_abs",143,1093
"schafer_phyllosphere_2022","log_ratio_variance",0,1524
"schafer_phyllosphere_2022","abundance_contrast_min",62,1460
"schafer_phyllosphere_2022","abundance_contrast_max",62,1443
