analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,reserved_taxa,test_taxa_with_pairs,restricted_pool,distributed_pool
butyrate_assembly_2021,1,ok,17,5,12,10,10,36,87
butyrate_assembly_2021,2,ok,30,22,8,10,10,14,74
butyrate_assembly_2021,3,one_test_class,8,8,0,10,9,50,96
butyrate_assembly_2021,4,no_test_pairs,0,0,0,10,0,59,104
butyrate_assembly_2021,5,ok,9,8,1,10,10,47,95
butyrate_assembly_2021,6,ok,7,3,4,10,8,52,97
butyrate_assembly_2021,7,ok,24,21,3,10,10,26,80
butyrate_assembly_2021,8,ok,14,12,2,10,9,39,90
butyrate_assembly_2021,9,ok,15,7,8,10,10,40,89
butyrate_assembly_2021,10,ok,22,14,8,10,10,23,82
butyrate_assembly_2021,11,ok,8,6,2,10,9,50,96
butyrate_assembly_2021,12,ok,20,19,1,10,9,26,84
butyrate_assembly_2021,13,ok,16,14,2,10,10,36,88
butyrate_assembly_2021,14,ok,8,6,2,10,9,52,96
butyrate_assembly_2021,15,ok,8,7,1,10,9,49,96
butyrate_assembly_2021,16,ok,29,22,7,10,10,13,75
butyrate_assembly_2021,17,ok,28,22,6,10,10,14,76
butyrate_assembly_2021,18,ok,16,11,5,10,10,38,88
butyrate_assembly_2021,19,one_test_class,8,8,0,10,9,48,96
butyrate_assembly_2021,20,ok,13,5,8,10,10,40,91
