analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,1,10,distributed,lambda=0.01,3,0.8055555555555555
butyrate_assembly_2021,1,10,distributed,lambda=0.1,3,0.8055555555555555
butyrate_assembly_2021,1,10,distributed,lambda=1,3,0.8055555555555555
butyrate_assembly_2021,1,10,distributed,lambda=10,3,0.8055555555555555
butyrate_assembly_2021,1,13,restricted,lambda=0.01,2,0.9375396825396825
butyrate_assembly_2021,1,13,restricted,lambda=0.1,2,0.9375396825396825
butyrate_assembly_2021,1,13,restricted,lambda=1,2,0.9375396825396825
butyrate_assembly_2021,1,13,restricted,lambda=10,2,0.9375396825396825
butyrate_assembly_2021,1,13,distributed,lambda=0.01,3,0.8791666666666665
butyrate_assembly_2021,1,13,distributed,lambda=0.1,3,0.8791666666666665
butyrate_assembly_2021,1,13,distributed,lambda=1,3,0.8791666666666665
butyrate_assembly_2021,1,13,distributed,lambda=10,3,0.8791666666666665
butyrate_assembly_2021,2,13,distributed,lambda=0.01,2,0.8472619047619048
butyrate_assembly_2021,2,13,distributed,lambda=0.1,2,0.8472619047619048
butyrate_assembly_2021,2,13,distributed,lambda=1,2,0.8472619047619048
butyrate_assembly_2021,2,13,distributed,lambda=10,2,0.8472619047619048
butyrate_assembly_2021,5,5,restricted,lambda=0.01,2,0.5
butyrate_assembly_2021,5,5,restricted,lambda=0.1,2,0.5
butyrate_assembly_2021,5,5,restricted,lambda=1,2,0.5
butyrate_assembly_2021,5,5,restricted,lambda=10,2,0.5
butyrate_assembly_2021,5,5,distributed,lambda=0.01,2,0.6666666666666666
butyrate_assembly_2021,5,5,distributed,lambda=0.1,2,0.6666666666666666
butyrate_assembly_2021,5,5,distributed,lambda=1,2,0.6666666666666666
butyrate_assembly_2021,5,5,distributed,lambda=10,2,0.6666666666666666
butyrate_assembly_2021,5,10,restricted,lambda=0.01,3,0.861111111111111
butyrate_assembly_2021,5,10,restricted,lambda=0.1,3,0.861111111111111
butyrate_assembly_2021,5,10,restricted,lambda=1,3,0.861111111111111
butyrate_assembly_2021,5,10,restricted,lambda=10,3,0.861111111111111
butyrate_assembly_2021,5,10,distributed,lambda=0.01,3,0.7407407407407408
butyrate_assembly_2021,5,10,distributed,lambda=0.1,3,0.7407407407407408
butyrate_assembly_2021,5,10,distributed,lambda=1,3,0.7407407407407408
butyrate_assembly_2021,5,10,distributed,lambda=10,3,0.7407407407407408
butyrate_assembly_2021,5,13,restricted,lambda=0.01,3,0.6222222222222221
butyrate_assembly_2021,5,13,restricted,lambda=0.1,3,0.6222222222222221
butyrate_assembly_2021,5,13,restricted,lambda=1,3,0.6407407407407407
butyrate_assembly_2021,5,13,restricted,lambda=10,3,0.7796296296296296
butyrate_assembly_2021,5,13,distributed,lambda=0.01,3,0.7425925925925926
butyrate_assembly_2021,5,13,distributed,lambda=0.1,3,0.7425925925925926
butyrate_assembly_2021,5,13,distributed,lambda=1,3,0.8074074074074074
butyrate_assembly_2021,5,13,distributed,lambda=10,3,0.8074074074074074
butyrate_assembly_2021,6,5,restricted,lambda=0.01,2,0.7916666666666666
butyrate_assembly_2021,6,5,restricted,lambda=0.1,2,0.7916666666666666
butyrate_assembly_2021,6,5,restricted,lambda=1,2,0.7916666666666666
butyrate_assembly_2021,6,5,restricted,lambda=10,2,0.7916666666666666
butyrate_assembly_2021,6,5,distributed,lambda=0.01,2,0.7916666666666666
