analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,reserved_taxa,test_taxa_with_pairs,restricted_pool,distributed_pool
carlstrom_phyllosphere_2019,1,ok,186,28,158,22,22,297,803
carlstrom_phyllosphere_2019,2,ok,126,14,112,22,22,392,863
carlstrom_phyllosphere_2019,3,ok,126,7,119,22,22,392,863
carlstrom_phyllosphere_2019,4,ok,195,14,181,22,22,275,794
carlstrom_phyllosphere_2019,5,ok,165,23,142,22,22,338,824
carlstrom_phyllosphere_2019,6,ok,165,31,134,22,22,338,824
carlstrom_phyllosphere_2019,7,ok,186,27,159,22,22,297,803
carlstrom_phyllosphere_2019,8,ok,176,20,156,22,22,318,813
carlstrom_phyllosphere_2019,9,ok,176,28,148,22,22,318,813
carlstrom_phyllosphere_2019,10,ok,186,27,159,22,22,297,803
carlstrom_phyllosphere_2019,11,ok,165,30,135,22,22,338,824
carlstrom_phyllosphere_2019,12,ok,153,13,140,22,22,357,836
carlstrom_phyllosphere_2019,13,ok,176,13,163,22,22,318,813
carlstrom_phyllosphere_2019,14,ok,176,33,143,22,22,318,813
carlstrom_phyllosphere_2019,15,ok,153,17,136,22,22,357,836
carlstrom_phyllosphere_2019,16,ok,140,7,133,22,22,375,849
carlstrom_phyllosphere_2019,17,ok,176,24,152,22,22,318,813
carlstrom_phyllosphere_2019,18,ok,186,28,158,22,22,297,803
carlstrom_phyllosphere_2019,19,ok,176,23,153,22,22,318,813
carlstrom_phyllosphere_2019,20,ok,176,23,153,22,22,318,813
