analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,LENS restricted,0.15502056345011456,0.45840867992766726,True,lambda=0.01,0.0,5.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,LENS distributed,0.15502056345011456,0.45840867992766726,True,lambda=0.01,0.0,5.0,0.22727272727272727,0.053763440860215055
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,LENS restricted,0.15502056345011456,0.45840867992766726,True,lambda=0.01,0.0,10.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,LENS distributed,0.15502056345011456,0.45840867992766726,True,lambda=0.01,0.0,10.0,0.2727272727272727,0.08064516129032258
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,LENS restricted,0.15502056345011456,0.45840867992766726,True,lambda=0.01,1.0,19.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,LENS distributed,0.15502056345011456,0.45840867992766726,True,lambda=0.01,0.0,20.0,0.36363636363636365,0.14516129032258066
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,LENS restricted,0.1419969433100068,0.40235081374321885,False,lambda=10,3.0,47.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,LENS distributed,0.20461600527535373,0.4934448462929476,False,lambda=10,5.0,45.0,0.7272727272727273,0.5913978494623656
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,LENS restricted,0.17880307058905281,0.4315099457504521,False,lambda=1,11.0,89.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,LENS distributed,0.18734962080005335,0.4706148282097649,False,lambda=10,7.0,93.0,0.8181818181818182,0.7419354838709677
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,PLNNetwork,0.15053763440860216,0.5,,,,,,
