analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,1,50,restricted,lambda=0.01,3,0.09280303030303032
carlstrom_phyllosphere_2019,1,50,restricted,lambda=0.1,3,0.09280303030303032
carlstrom_phyllosphere_2019,1,50,restricted,lambda=1,3,0.09280303030303032
carlstrom_phyllosphere_2019,1,50,restricted,lambda=10,3,0.09280303030303032
carlstrom_phyllosphere_2019,1,50,distributed,lambda=0.01,3,0.18888888888888888
carlstrom_phyllosphere_2019,1,50,distributed,lambda=0.1,3,0.15873015873015872
carlstrom_phyllosphere_2019,1,50,distributed,lambda=1,3,0.16428571428571428
carlstrom_phyllosphere_2019,1,50,distributed,lambda=10,3,0.28230625583566754
carlstrom_phyllosphere_2019,1,100,restricted,lambda=0.01,3,0.3493252051223066
carlstrom_phyllosphere_2019,1,100,restricted,lambda=0.1,3,0.33114821957300916
carlstrom_phyllosphere_2019,1,100,restricted,lambda=1,3,0.412797619047619
carlstrom_phyllosphere_2019,1,100,restricted,lambda=10,3,0.27032613987004434
carlstrom_phyllosphere_2019,1,100,distributed,lambda=0.01,3,0.08867311824687303
carlstrom_phyllosphere_2019,1,100,distributed,lambda=0.1,3,0.09427020483307032
carlstrom_phyllosphere_2019,1,100,distributed,lambda=1,3,0.10791346073990371
carlstrom_phyllosphere_2019,1,100,distributed,lambda=10,3,0.2619268695998476
carlstrom_phyllosphere_2019,1,200,restricted,lambda=0.01,3,0.3601918435358333
carlstrom_phyllosphere_2019,1,200,restricted,lambda=0.1,3,0.40704520330395505
carlstrom_phyllosphere_2019,1,200,restricted,lambda=1,3,0.398853905865674
carlstrom_phyllosphere_2019,1,200,restricted,lambda=10,3,0.1680990491616311
carlstrom_phyllosphere_2019,1,200,distributed,lambda=0.01,3,0.26206649101547924
carlstrom_phyllosphere_2019,1,200,distributed,lambda=0.1,3,0.2795087355113376
carlstrom_phyllosphere_2019,1,200,distributed,lambda=1,3,0.3180824166597664
carlstrom_phyllosphere_2019,1,200,distributed,lambda=10,3,0.3298441200248768
carlstrom_phyllosphere_2019,1,275,restricted,lambda=0.01,3,0.3401517039378647
carlstrom_phyllosphere_2019,1,275,restricted,lambda=0.1,3,0.36665647279372765
carlstrom_phyllosphere_2019,1,275,restricted,lambda=1,3,0.4215450490638623
carlstrom_phyllosphere_2019,1,275,restricted,lambda=10,3,0.21743247359835327
carlstrom_phyllosphere_2019,1,275,distributed,lambda=0.01,3,0.16778142484540937
carlstrom_phyllosphere_2019,1,275,distributed,lambda=0.1,3,0.16420361338747966
carlstrom_phyllosphere_2019,1,275,distributed,lambda=1,3,0.16775016673768162
carlstrom_phyllosphere_2019,1,275,distributed,lambda=10,3,0.20801146422084268
carlstrom_phyllosphere_2019,2,50,restricted,lambda=0.01,3,0.06405228758169934
carlstrom_phyllosphere_2019,2,50,restricted,lambda=0.1,3,0.06405228758169934
carlstrom_phyllosphere_2019,2,50,restricted,lambda=1,3,0.06405228758169934
carlstrom_phyllosphere_2019,2,50,restricted,lambda=10,3,0.06405228758169934
carlstrom_phyllosphere_2019,2,50,distributed,lambda=0.01,3,0.1418300653594771
carlstrom_phyllosphere_2019,2,50,distributed,lambda=0.1,3,0.12794117647058822
carlstrom_phyllosphere_2019,2,50,distributed,lambda=1,3,0.11405228758169933
carlstrom_phyllosphere_2019,2,50,distributed,lambda=10,3,0.11544117647058823
carlstrom_phyllosphere_2019,2,100,restricted,lambda=0.01,3,0.2496934094457314
carlstrom_phyllosphere_2019,2,100,restricted,lambda=0.1,3,0.23767952994402272
carlstrom_phyllosphere_2019,2,100,restricted,lambda=1,3,0.22176298024755373
carlstrom_phyllosphere_2019,2,100,restricted,lambda=10,3,0.13791002420312765
carlstrom_phyllosphere_2019,2,100,distributed,lambda=0.01,3,0.18500881834215166
carlstrom_phyllosphere_2019,2,100,distributed,lambda=0.1,3,0.2172960372960373
carlstrom_phyllosphere_2019,2,100,distributed,lambda=1,3,0.22319084565461378
carlstrom_phyllosphere_2019,2,100,distributed,lambda=10,3,0.20563692774775263
carlstrom_phyllosphere_2019,2,200,restricted,lambda=0.01,3,0.15201732125744463
carlstrom_phyllosphere_2019,2,200,restricted,lambda=0.1,3,0.15527553600744912
carlstrom_phyllosphere_2019,2,200,restricted,lambda=1,3,0.16975988493525818
carlstrom_phyllosphere_2019,2,200,restricted,lambda=10,3,0.16747624185389173
carlstrom_phyllosphere_2019,2,200,distributed,lambda=0.01,3,0.3239044917014906
carlstrom_phyllosphere_2019,2,200,distributed,lambda=0.1,3,0.3334811298817275
carlstrom_phyllosphere_2019,2,200,distributed,lambda=1,3,0.29858585227817963
carlstrom_phyllosphere_2019,2,200,distributed,lambda=10,3,0.187986268331631
carlstrom_phyllosphere_2019,2,275,restricted,lambda=0.01,3,0.23287891033674013
carlstrom_phyllosphere_2019,2,275,restricted,lambda=0.1,3,0.2314893403986303
carlstrom_phyllosphere_2019,2,275,restricted,lambda=1,3,0.19969910608799382
carlstrom_phyllosphere_2019,2,275,restricted,lambda=10,3,0.1466024330059595
carlstrom_phyllosphere_2019,2,275,distributed,lambda=0.01,3,0.32731204657284324
carlstrom_phyllosphere_2019,2,275,distributed,lambda=0.1,3,0.307125897817038
carlstrom_phyllosphere_2019,2,275,distributed,lambda=1,3,0.27999968953548254
carlstrom_phyllosphere_2019,2,275,distributed,lambda=10,3,0.22648220717371426
carlstrom_phyllosphere_2019,3,5,restricted,lambda=0.01,2,0.75
carlstrom_phyllosphere_2019,3,5,restricted,lambda=0.1,2,0.75
carlstrom_phyllosphere_2019,3,5,restricted,lambda=1,2,0.75
carlstrom_phyllosphere_2019,3,5,restricted,lambda=10,2,0.75
carlstrom_phyllosphere_2019,3,10,restricted,lambda=0.01,3,0.6666666666666666
carlstrom_phyllosphere_2019,3,10,restricted,lambda=0.1,3,0.6666666666666666
carlstrom_phyllosphere_2019,3,10,restricted,lambda=1,3,0.6666666666666666
carlstrom_phyllosphere_2019,3,10,restricted,lambda=10,3,0.6666666666666666
carlstrom_phyllosphere_2019,3,10,distributed,lambda=0.01,2,0.375
carlstrom_phyllosphere_2019,3,10,distributed,lambda=0.1,2,0.375
carlstrom_phyllosphere_2019,3,10,distributed,lambda=1,2,0.375
carlstrom_phyllosphere_2019,3,10,distributed,lambda=10,2,0.375
carlstrom_phyllosphere_2019,3,20,restricted,lambda=0.01,3,0.5555555555555555
carlstrom_phyllosphere_2019,3,20,restricted,lambda=0.1,3,0.49999999999999994
carlstrom_phyllosphere_2019,3,20,restricted,lambda=1,3,0.49999999999999994
carlstrom_phyllosphere_2019,3,20,restricted,lambda=10,3,0.65
carlstrom_phyllosphere_2019,3,20,distributed,lambda=0.01,3,0.31666666666666665
carlstrom_phyllosphere_2019,3,20,distributed,lambda=0.1,3,0.3444444444444444
carlstrom_phyllosphere_2019,3,20,distributed,lambda=1,3,0.42777777777777776
carlstrom_phyllosphere_2019,3,20,distributed,lambda=10,3,0.25317460317460316
carlstrom_phyllosphere_2019,3,50,restricted,lambda=0.01,3,0.5554340539634657
carlstrom_phyllosphere_2019,3,50,restricted,lambda=0.1,3,0.45262050948325455
carlstrom_phyllosphere_2019,3,50,restricted,lambda=1,3,0.2783500268794386
carlstrom_phyllosphere_2019,3,50,restricted,lambda=10,3,0.30048701298701297
