analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
butyrate_assembly_2021,1,ok,17,5,12,5,OneNet,0.516317016317016,0.625,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,1,ok,17,5,12,5,LENS restricted,0.283712121212121,0.4,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,1,ok,17,5,12,5,LENS distributed,0.283712121212121,0.4,TRUE,lambda=0.01,4,1,0.2,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,1,ok,17,5,12,10,OneNet,0.516317016317016,0.625,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,1,ok,17,5,12,10,LENS restricted,0.283712121212121,0.4,TRUE,lambda=0.01,9,1,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,1,ok,17,5,12,10,LENS distributed,0.448135198135198,0.5,FALSE,lambda=10,7,3,0.3,0.117647058823529,Butyrate (17/20 partitions),10
butyrate_assembly_2021,1,ok,17,5,12,13,OneNet,0.516317016317016,0.625,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,1,ok,17,5,12,13,LENS restricted,0.283712121212121,0.4,TRUE,lambda=10,11,2,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,1,ok,17,5,12,13,LENS distributed,0.453589743589744,0.516666666666667,FALSE,lambda=10,10,3,0.4,0.294117647058823,Butyrate (17/20 partitions),13
butyrate_assembly_2021,2,ok,30,22,8,5,OneNet,0.807333033379639,0.568181818181818,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,2,ok,30,22,8,5,LENS restricted,0.702398541859328,0.403409090909091,TRUE,lambda=0.01,4,1,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,2,ok,30,22,8,5,LENS distributed,0.702398541859328,0.403409090909091,TRUE,lambda=0.01,5,0,0.3,0.1,Butyrate (17/20 partitions),5
butyrate_assembly_2021,2,ok,30,22,8,10,OneNet,0.807333033379639,0.568181818181818,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,2,ok,30,22,8,10,LENS restricted,0.702398541859328,0.403409090909091,TRUE,lambda=0.01,9,1,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,2,ok,30,22,8,10,LENS distributed,0.702398541859328,0.403409090909091,TRUE,lambda=0.01,9,1,0.5,0.333333333333333,Butyrate (17/20 partitions),10
butyrate_assembly_2021,2,ok,30,22,8,13,OneNet,0.807333033379639,0.568181818181818,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,2,ok,30,22,8,13,LENS restricted,0.702398541859328,0.403409090909091,TRUE,lambda=0.01,12,1,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,2,ok,30,22,8,13,LENS distributed,0.702398541859328,0.403409090909091,TRUE,lambda=10,11,2,0.5,0.333333333333333,Butyrate (17/20 partitions),13
butyrate_assembly_2021,5,ok,9,8,1,5,OneNet,0.986111111111111,0.9375,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,5,ok,9,8,1,5,LENS restricted,0.970486111111111,0.75,TRUE,lambda=10,2,3,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,5,ok,9,8,1,5,LENS distributed,0.970486111111111,0.75,TRUE,lambda=10,3,2,0.2,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,5,ok,9,8,1,10,OneNet,0.986111111111111,0.9375,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,5,ok,9,8,1,10,LENS restricted,0.931795634920635,0.5,FALSE,lambda=10,6,4,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,5,ok,9,8,1,10,LENS distributed,0.931795634920635,0.5,FALSE,lambda=10,7,3,0.5,0.444444444444444,Butyrate (17/20 partitions),10
butyrate_assembly_2021,5,ok,9,8,1,13,OneNet,0.986111111111111,0.9375,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,5,ok,9,8,1,13,LENS restricted,0.970486111111111,0.75,FALSE,lambda=10,8,5,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,5,ok,9,8,1,13,LENS distributed,0.931795634920635,0.5,FALSE,lambda=10,8,5,0.5,0.444444444444444,Butyrate (17/20 partitions),13
butyrate_assembly_2021,6,ok,7,3,4,5,OneNet,0.365079365079365,0.166666666666667,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,6,ok,7,3,4,5,LENS restricted,0.477777777777778,0.5,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,6,ok,7,3,4,5,LENS distributed,0.477777777777778,0.5,TRUE,lambda=10,3,2,0.25,0.142857142857143,Butyrate (17/20 partitions),5
butyrate_assembly_2021,6,ok,7,3,4,10,OneNet,0.365079365079365,0.166666666666667,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,6,ok,7,3,4,10,LENS restricted,0.533333333333333,0.583333333333333,FALSE,lambda=10,7,3,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,6,ok,7,3,4,10,LENS distributed,0.533333333333333,0.583333333333333,FALSE,lambda=10,7,3,0.25,0.142857142857143,Butyrate (17/20 partitions),10
butyrate_assembly_2021,6,ok,7,3,4,13,OneNet,0.365079365079365,0.166666666666667,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,6,ok,7,3,4,13,LENS restricted,0.533333333333333,0.583333333333333,FALSE,lambda=1,9,4,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,6,ok,7,3,4,13,LENS distributed,0.533333333333333,0.583333333333333,FALSE,lambda=10,9,4,0.375,0.285714285714286,Butyrate (17/20 partitions),13
butyrate_assembly_2021,7,ok,24,21,3,5,OneNet,0.891364135120265,0.46031746031746,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,7,ok,24,21,3,5,LENS restricted,0.874678151235033,0.523809523809524,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,7,ok,24,21,3,5,LENS distributed,0.874678151235033,0.523809523809524,TRUE,lambda=0.01,4,1,0.3,0.125,Butyrate (17/20 partitions),5
butyrate_assembly_2021,7,ok,24,21,3,10,OneNet,0.891364135120265,0.46031746031746,,"",,,,,Butyrate (17/20 partitions),10
