analysis_set,budget_pairs,method,partitions,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_test_pairs,fallback_rate,mean_training_interactions,mean_test_taxon_coverage
butyrate_assembly_2021,13,Fixed mean,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,,,
butyrate_assembly_2021,13,LENS distributed,17,0.7446119394592988,0.1723501581496001,0.4912881021627152,0.1908432254001639,16.705882352941178,0.17647058823529413,9.235294117647058,0.4638888888888889
butyrate_assembly_2021,13,LENS restricted,17,0.720905436757153,0.19966415638543278,0.47685892538833713,0.21578606672189138,16.705882352941178,0.29411764705882354,9.588235294117647,0.0
butyrate_assembly_2021,13,OneNet,17,0.7548015211159496,0.16022921130621562,0.4784087000031272,0.23386952039615203,16.705882352941178,,,
butyrate_assembly_2021,13,PLNNetwork,17,0.7277567851056351,0.1920464856549591,0.4381687842601155,0.24507336400258528,16.705882352941178,,,
butyrate_assembly_2021,13,Poisson GLMNet,17,0.7142301351346024,0.18675083384067245,0.4561496488547572,0.19152261595559095,16.705882352941178,,,
butyrate_assembly_2021,13,SPIEC-EASI,17,0.7070369304097379,0.19838314179809607,0.5026737967914439,0.007547854138125805,16.705882352941178,,,
butyrate_assembly_2021,13,SparCC,17,0.7925773176898,0.1830998757888209,0.5652131666063555,0.21560469044848235,16.705882352941178,,,
carlstrom_phyllosphere_2019,275,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,275,LENS distributed,20,0.23200183152862625,0.08136877178412358,0.6433984458569564,0.08814868125079589,168.2,0.0,35.3,0.9954545454545455
carlstrom_phyllosphere_2019,275,LENS restricted,20,0.21111756171916235,0.06746827713848544,0.6204303114008927,0.08098630918265026,168.2,0.0,32.1,0.0
carlstrom_phyllosphere_2019,275,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,275,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,275,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,275,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,275,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
schafer_phyllosphere_2022,357,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,357,LENS distributed,20,0.3225036557941757,0.11723918728692513,0.9013410786473122,0.044208478447737315,255.15,0.0,9.2,0.9088235294117647
schafer_phyllosphere_2022,357,LENS restricted,20,0.27070524037131766,0.1481655863454777,0.8193980156195757,0.1490639899096565,255.15,0.05,8.25,0.0
schafer_phyllosphere_2022,357,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
schafer_phyllosphere_2022,357,PLNNetwork,20,0.1365618820941636,0.0780302895518384,0.6417341607695988,0.09360811453828383,255.15,,,
schafer_phyllosphere_2022,357,Poisson GLMNet,20,0.2041479647736467,0.19418432644268446,0.6409145409291043,0.13108786525756214,255.15,,,
schafer_phyllosphere_2022,357,SPIEC-EASI,20,0.03337116181703984,0.01935614865443817,0.49906462047422534,0.001264765751360091,255.15,,,
schafer_phyllosphere_2022,357,SparCC,20,0.1785151274820085,0.09219247633928891,0.8766388197184132,0.05291334332209507,255.15,,,
